Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.3913, 0.36138, 0.020598, 6.317, 4.7203, 0.32982, 0.85159, 3.4872, 0.36253, 9.502, 121.96, 3.2488, 0.00082362, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10807
1, -0.4020, 0.36138, 0.014815, 9.4558, 4.7203, 0.39991, 0.85159, 2.4808, 0.4224, 6.1358, 121.96, 3.2488, 0.00082362, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10781
2, -0.4104, 0.46307, 0.017877, 6.317, 4.7203, 0.32982, 0.85159, 2.4808, 0.4224, 9.502, 121.96, 4.2348, 0.00082362, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10018
3, -0.4120, 0.36138, 0.013147, 6.317, 4.7203, 0.32982, 0.85159, 2.4808, 0.4224, 5.7293, 121.96, 3.2488, 0.00082362, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10946
4, -0.4159, 0.44727, 0.017218, 6.317, 4.7203, 0.32982, 0.85159, 2.4808, 0.4224, 9.502, 121.96, 3.2488, 0.00082362, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10018
5, -0.4169, 0.36138, 0.016375, 6.317, 4.7203, 0.32982, 0.85159, 3.0836, 0.4224, 9.502, 121.96, 3.2488, 0.00082362, 0.098312, 1.8839, 0.0047786, 5.1822, 0.10018
6, -0.4185, 0.36138, 0.014815, 6.317, 5.5724, 0.32982, 0.85159, 2.4808, 0.4224, 9.502, 74.04, 3.2488, 0.00082362, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10216
7, -0.4200, 0.36138, 0.014815, 7.8828, 4.7203, 0.32982, 0.62056, 2.4808, 0.54639, 9.502, 121.96, 3.2488, 0.00082362, 0.12949, 1.771, 0.0047786, 5.1822, 0.10018
8, -0.4210, 0.36138, 0.014815, 6.317, 4.7203, 0.32982, 0.42976, 2.4808, 0.4224, 9.502, 121.96, 3.2488, 0.0010012, 0.12949, 1.1247, 0.0047786, 3.8164, 0.10018
9, -0.4221, 0.4097, 0.014815, 6.317, 4.7203, 0.28699, 0.85159, 2.4808, 0.4224, 9.502, 121.96, 3.2488, 0.00082362, 0.12949, 1.7262, 0.0047786, 5.1822, 0.10018
10, -0.4239, 0.36138, 0.014815, 6.317, 4.7203, 0.32982, 0.85159, 2.6132, 0.4224, 9.502, 93.289, 3.2488, 0.00082362, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10018
11, -0.4241, 0.36138, 0.014815, 8.2905, 4.7203, 0.32982, 0.85159, 2.5815, 0.4224, 9.502, 63.399, 3.2488, 0.00082362, 0.12949, 2.4408, 0.0047786, 5.1822, 0.10018
12, -0.4241, 0.36138, 0.014815, 6.317, 4.3588, 0.3599, 0.85159, 2.4808, 0.4224, 9.502, 121.96, 3.2488, 0.00082362, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10018
13, -0.4252, 0.38253, 0.014815, 6.317, 4.7203, 0.32982, 0.85159, 2.4808, 0.4224, 9.502, 121.96, 3.2488, 0.0012205, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10018
14, -0.4255, 0.40213, 0.014815, 6.317, 4.4556, 0.3893, 0.85159, 2.4808, 0.4224, 9.502, 121.96, 3.2488, 0.00082362, 0.082586, 1.8839, 0.0031064, 6.9059, 0.10018
15, -0.4257, 0.36138, 0.014815, 6.317, 4.7203, 0.32982, 0.85159, 2.4808, 0.38196, 9.502, 121.96, 4.0509, 0.00082362, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10018
16, -0.4265, 0.36138, 0.014815, 6.9203, 6.7051, 0.32982, 0.85159, 2.4808, 0.4224, 9.502, 121.96, 3.2488, 0.00082362, 0.12949, 1.8839, 0.0066757, 3.8913, 0.10018
17, -0.4265, 0.36138, 0.014234, 5.7752, 4.7203, 0.32982, 0.85159, 2.4808, 0.4224, 9.502, 121.96, 3.2488, 0.00041739, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10018
18, -0.4269, 0.36138, 0.014815, 6.317, 4.8489, 0.32982, 0.85159, 2.4808, 0.4224, 10, 62.454, 3.2488, 0.00082362, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10018
19, -0.4270, 0.34087, 0.014815, 8.4339, 4.7203, 0.32982, 0.85159, 2.4808, 0.4224, 9.502, 121.96, 3.2488, 0.001044, 0.12949, 1.8839, 0.0053235, 5.1822, 0.10018
20, -0.4290, 0.36138, 0.014815, 6.317, 4.7203, 0.32982, 0.85159, 2.4808, 0.40166, 9.502, 121.96, 3.3691, 0.00082362, 0.12949, 2.2533, 0.0047786, 5.1822, 0.10018
21, -0.4295, 0.40106, 0.014815, 6.317, 4.7203, 0.32982, 0.85159, 2.4808, 0.4224, 10, 121.96, 3.2488, 0.00082362, 0.12949, 1.8839, 0.0044357, 5.3014, 0.10018
22, -0.4295, 0.36138, 0.014815, 6.6029, 4.7203, 0.28484, 0.89866, 2.4808, 0.31032, 9.502, 121.96, 3.2488, 0.00082362, 0.12949, 2.8061, 0.0047786, 5.1822, 0.10018
23, -0.4306, 0.45198, 0.014815, 6.317, 4.323, 0.32982, 0.89573, 2.4808, 0.53886, 10, 142.82, 3.2488, 0.00082362, 0.12949, 1.3868, 0.0047786, 5.1822, 0.10018
24, -0.4313, 0.36138, 0.014815, 6.317, 5.2349, 0.32982, 0.85159, 2.9533, 0.4224, 9.502, 113.02, 3.2488, 0.00082362, 0.12949, 1.8839, 0.0047786, 4.7847, 0.10018
25, -0.4314, 0.36138, 0.014815, 6.317, 4.7203, 0.29806, 0.6869, 2.4808, 0.4224, 9.502, 116.68, 3.2488, 0.00082362, 0.12949, 1.8839, 0.0047786, 5.1822, 0.10018
26, -0.4325, 0.36138, 0.014815, 6.317, 4.7203, 0.32982, 0.85159, 2.4808, 0.4224, 7.4248, 96.522, 3.2488, 0.0005622, 0.12949, 1.8839, 0.0047786, 5.6488, 0.10018
