Rank, Fitness, kfsr, krsr, kfmm, krmm, kf1x, kr1x, kfc, krc, krmmTriCoop, kx2, krx2, S0, R0, X0, X0_stimScale
33, -0.2153, 0.030416, 0.23534, 0.013853, 4.0079, 0.29646, 36.916, 2.043, 0.41407, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 23.612, 2.9366
34, -0.2153, 0.030416, 0.29726, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.6135, 0.024282, 664.95, 20.641, 2.7054
35, -0.2154, 0.030416, 0.23534, 0.0090435, 2.907, 0.29646, 37.789, 2.043, 0.38637, 2.1056, 0.05272, 7.6135, 0.019183, 664.95, 20.641, 2.9366
36, -0.2166, 0.01522, 0.23534, 0.013853, 1.8795, 0.41189, 33.943, 2.7985, 0.38637, 2.1056, 0.10581, 7.6135, 0.026068, 664.95, 20.641, 4.1004
37, -0.2173, 0.030416, 0.23534, 0.013853, 2.4378, 0.29646, 37.789, 2.043, 0.38637, 3.1316, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
38, -0.2174, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.38637, 2.8269, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
39, -0.2176, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 37.789, 2.0852, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
40, -0.2181, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 2.7762, 0.086371, 4.5835, 0.019183, 664.95, 20.641, 4.1004
41, -0.2184, 0.030416, 0.23534, 0.013853, 2.907, 0.36835, 37.789, 2.043, 0.38637, 2.7704, 0.089106, 7.6135, 0.019183, 664.95, 20.641, 2.9366
42, -0.2184, 0.01786, 0.23534, 0.015142, 2.907, 0.41189, 26.447, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
43, -0.2188, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 43.055, 2.043, 0.38637, 2.1056, 0.086371, 6.0281, 0.019183, 617.65, 25.129, 2.9366
44, -0.2190, 0.030416, 0.23534, 0.013853, 2.907, 0.30446, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
45, -0.2195, 0.018702, 0.23534, 0.013853, 1.8424, 0.29646, 37.789, 2.6272, 0.38637, 2.1056, 0.061895, 3.8139, 0.019183, 664.95, 20.641, 4.1826
46, -0.2216, 0.030416, 0.23534, 0.013853, 1.857, 0.29646, 37.789, 2.043, 0.38637, 2.1658, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
47, -0.2221, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
48, -0.2227, 0.017244, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.093066, 7.6135, 0.019183, 664.95, 20.641, 4.1004
49, -0.2227, 0.030416, 0.23534, 0.012334, 2.907, 0.29646, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
50, -0.2228, 0.030416, 0.20961, 0.017352, 2.907, 0.29646, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 8.1514, 0.019183, 664.95, 16.504, 2.9366
51, -0.2233, 0.01786, 0.23534, 0.013853, 3.7116, 0.41189, 26.746, 2.8189, 0.24904, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
52, -0.2242, 0.01786, 0.23534, 0.013853, 2.907, 0.38534, 23.834, 2.8189, 0.38637, 2.1056, 0.11854, 7.6135, 0.019183, 664.95, 20.641, 4.1004
53, -0.2244, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 38.778, 2.043, 0.38637, 2.1056, 0.081096, 7.6135, 0.019183, 664.95, 20.641, 2.9366
54, -0.2247, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.8929
55, -0.2248, 0.017858, 0.15987, 0.013853, 3.9507, 0.29646, 35.183, 2.6532, 0.50695, 2.5554, 0.14352, 7.6135, 0.014972, 883.02, 20.641, 3.3657
56, -0.2251, 0.030416, 0.23534, 0.013853, 3.0308, 0.29646, 37.789, 2.043, 0.31355, 2.1056, 0.097365, 7.6135, 0.019183, 664.95, 20.641, 2.9366
57, -0.2254, 0.027898, 0.23534, 0.013853, 2.907, 0.28555, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.393
58, -0.2260, 0.020822, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
59, -0.2272, 0.030416, 0.23534, 0.017403, 2.907, 0.29646, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.9949, 0.019183, 664.95, 20.641, 2.9366
60, -0.2287, 0.030416, 0.23534, 0.013853, 4.0576, 0.29646, 37.789, 2.043, 0.56481, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.8381
61, -0.2291, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.50533, 2.1056, 0.11132, 7.6135, 0.019183, 664.95, 20.641, 2.9366
62, -0.2293, 0.030981, 0.23534, 0.0078047, 2.907, 0.29646, 37.789, 2.043, 0.51209, 2.1056, 0.12789, 7.6135, 0.019183, 664.95, 20.641, 2.9366
63, -0.2312, 0.030416, 0.15987, 0.013853, 2.907, 0.40902, 37.789, 2.2283, 0.50695, 2.1056, 0.14928, 7.6135, 0.014972, 573.78, 19.885, 3.2975
64, -0.2320, 0.030416, 0.23534, 0.015047, 2.907, 0.27794, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
65, -0.2326, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 40.595, 2.043, 0.38637, 2.1056, 0.081373, 7.6135, 0.019183, 664.95, 20.641, 2.9366
66, -0.2349, 0.01786, 0.23534, 0.0093416, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 1.8306, 0.086371, 8.2459, 0.019183, 664.95, 20.641, 3.7474
67, -0.2355, 0.030416, 0.23534, 0.013853, 3.8513, 0.29646, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 8.2162, 0.019183, 664.95, 20.641, 2.9366
68, -0.2355, 0.030416, 0.23534, 0.013853, 3.0422, 0.29646, 37.789, 2.043, 0.36529, 2.4131, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.6953
