Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
0, -1.7938, 3.0887, 0.0045048, 0.01, 2.8548, 0.19772, 2.2983, 10, 10.538, 0.0022119, 2.3769, 0.0049795, 0.10182, 0.064893, 4.0981, 86.94, 0.029889, 2.7669, 0.20713,0.32572
1, -1.7997, 3.0887, 0.0062, 0.01, 2.1424, 0.19772, 2.2079, 10, 10.288, 0.0015632, 3.2559, 0.0049795, 0.10182, 0.03694, 4.0981, 86.94, 0.029889, 2.7669, 0.20713,0.51256
2, -1.8130, 3.0887, 0.0044502, 0.01, 2.4427, 0.19772, 2.2983, 10, 10.538, 0.0015632, 2.232, 0.0050957, 0.10182, 0.064893, 4.0981, 86.94, 0.029889, 2.7669, 0.20713,0.51256
3, -1.8185, 3.0887, 0.0037846, 0.01, 1.9247, 0.21473, 2.4897, 10, 10.538, 0.0015632, 2.3769, 0.0049795, 0.10182, 0.064893, 4.0981, 80.872, 0.029889, 2.7669, 0.19984,0.51256
4, -1.8185, 3.0887, 0.0023136, 0.01, 2.5399, 0.1778, 2.2983, 10, 10.538, 0.0015632, 2.3769, 0.0049795, 0.10182, 0.092362, 4.0981, 86.94, 0.029889, 2.7669, 0.20713,0.51256
5, -1.8205, 3.0887, 0.0044502, 0.01, 1.9247, 0.19772, 2.2983, 10, 10.538, 0.0015632, 3.0081, 0.0049795, 0.10182, 0.064893, 4.0981, 99.927, 0.029889, 2.7669, 0.20713,0.51256
6, -1.8205, 3.0887, 0.0044502, 0.01, 1.9247, 0.19772, 2.2983, 10, 10.538, 0.0015632, 2.3769, 0.0049795, 0.10182, 0.064893, 4.0981, 86.94, 0.029889, 2.7669, 0.20713,0.45241
7, -1.8205, 3.0887, 0.0044502, 0.01, 1.9247, 0.19772, 2.2983, 10, 10.538, 0.0015632, 2.3769, 0.0049795, 0.10182, 0.064893, 4.0981, 86.94, 0.029889, 2.7669, 0.20713,0.51256
8, -1.8205, 3.0887, 0.0044502, 0.01, 1.9247, 0.19772, 2.2983, 10, 10.538, 0.0015632, 2.3769, 0.0049795, 0.10182, 0.064893, 4.0981, 94.899, 0.029889, 2.7669, 0.20713,0.51256
9, -1.8205, 3.0887, 0.0044502, 0.01, 1.9247, 0.19772, 2.2983, 10, 10.538, 0.0016406, 2.3769, 0.0049795, 0.10182, 0.064893, 4.0981, 86.94, 0.029889, 2.7669, 0.20713,0.51256
10, -1.8206, 3.0254, 0.0044502, 0.01, 1.9247, 0.19772, 2.2983, 10, 10.538, 0.0015632, 2.3769, 0.0049795, 0.10182, 0.064893, 4.0981, 86.94, 0.029889, 2.7669, 0.20713,0.51256
11, -1.8234, 3.0887, 0.0044502, 0.01, 1.9247, 0.19772, 2.2983, 10, 10.538, 0.0014241, 1.9171, 0.0049795, 0.10182, 0.064893, 5.1959, 86.94, 0.029889, 2.7669, 0.20713,0.51256
12, -1.8252, 3.0887, 0.0044502, 0.01, 1.8174, 0.19772, 2.2983, 10, 10.538, 0.0010719, 2.3769, 0.0049795, 0.10182, 0.064893, 4.0981, 86.94, 0.029889, 2.7669, 0.20713,0.51256
13, -1.8254, 3.0887, 0.0044502, 0.01, 1.9247, 0.19772, 2.2983, 10, 10.538, 0.001962, 3.1215, 0.0049795, 0.10182, 0.078659, 4.0981, 86.94, 0.029889, 2.7669, 0.20713,0.51256
14, -1.8256, 3.0887, 0.0044502, 0.01, 1.9247, 0.19772, 2.2983, 10, 10.538, 0.0015632, 2.3769, 0.0049795, 0.052276, 0.064893, 2.0855, 100, 0.029889, 2.7669, 0.20713,0.51256
15, -1.8262, 3.0887, 0.0041037, 0.01, 1.9247, 0.19772, 2.2983, 10, 10.538, 0.0015632, 2.3769, 0.0049795, 0.10182, 0.064893, 4.3732, 100, 0.030356, 2.7669, 0.20713,0.51256
16, -1.8275, 2.6203, 0.0044502, 0.01, 1.9247, 0.19772, 2.1236, 10, 10.538, 0.0012677, 2.3769, 0.0049795, 0.10047, 0.064893, 4.0981, 86.94, 0.029889, 2.7669, 0.20713,0.51256
17, -1.8283, 3.0887, 0.0044502, 0.01, 1.9247, 0.19057, 2.2983, 10, 10.538, 0.0022074, 2.6566, 0.0049795, 0.10182, 0.076911, 3.6823, 86.94, 0.029889, 2.7669, 0.20713,0.51256
18, -1.8325, 3.6283, 0.0044502, 0.01, 1.9247, 0.19772, 2.2983, 10, 10.538, 0.001, 1.7215, 0.0049795, 0.10182, 0.064893, 4.0981, 86.94, 0.029889, 2.7669, 0.20713,0.51256
