Rank, Fitness, kfsr, krsr, kfmm, krmm, kf1x, kr1x, kfc, krc, krmmTriCoop, kx2, krx2, S0, R0, X0, X0_stimScale
0, -0.1753, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.011322, 0.11974, 0.013507, 154.42, 16.977, 5.2178
1, -0.1755, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 33.023, 4.9067, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.2178
2, -0.1758, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.012017, 0.11974, 0.013507, 154.42, 16.977, 5.2178
3, -0.1794, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 1.2643, 0.01743, 0.11974, 0.013507, 154.42, 16.977, 5.2178
4, -0.1797, 0.089128, 1.598, 0.026241, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 1.0819, 0.018315, 0.12231, 0.013507, 154.42, 16.977, 5.2178
5, -0.1804, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 1.1158, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.2178
6, -0.1809, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.8953
7, -0.1812, 0.090833, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.1046, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.2178
8, -0.1814, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.17487, 0.89585, 0.020392, 0.11974, 0.013507, 154.42, 16.977, 5.2178
9, -0.1817, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.2178
10, -0.1817, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.27272, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.2178
11, -0.1819, 0.089128, 1.598, 0.020672, 1.423, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.2178
12, -0.1819, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.17971, 0.89585, 0.020765, 0.11974, 0.013507, 159.8, 16.977, 5.2178
13, -0.1820, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.12731, 0.013507, 154.42, 16.977, 5.2178
14, -0.1824, 0.089128, 1.598, 0.026601, 1.2354, 0.9314, 51.349, 6.2445, 0.13291, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.2178
15, -0.1827, 0.089128, 1.598, 0.020672, 2.3291, 1.0664, 51.349, 6.2445, 0.18887, 1.2677, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.2178
16, -0.1830, 0.089128, 1.598, 0.020672, 3.2405, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11277, 0.013507, 154.42, 15.486, 5.2178
17, -0.1832, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 17.883, 5.171
18, -0.1840, 0.089128, 1.273, 0.020672, 2.3291, 0.54345, 51.349, 6.2445, 0.18887, 1.0681, 0.016807, 0.11974, 0.013507, 154.42, 16.977, 5.2178
19, -0.1842, 0.089128, 1.598, 0.015146, 2.3291, 0.9314, 51.349, 6.2445, 0.11835, 1.2847, 0.026762, 0.14521, 0.013507, 154.42, 17.953, 5.2178
20, -0.1845, 0.089128, 1.598, 0.020672, 3.3149, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.14114, 0.013507, 154.42, 16.977, 5.2178
21, -0.1848, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.16173, 0.013507, 154.42, 20.876, 5.2178
22, -0.1849, 0.089128, 1.598, 0.01697, 1.2661, 0.9314, 51.349, 6.2445, 0.20742, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 15.437, 5.2178
23, -0.1850, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.1, 0.013507, 154.42, 16.977, 5.2178
24, -0.1851, 0.089128, 1.7561, 0.020672, 2.3291, 0.9314, 33.006, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.2178
25, -0.1851, 0.089128, 1.598, 0.012136, 2.3291, 0.9314, 51.349, 6.8434, 0.1, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.7348
26, -0.1852, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.025494, 0.11974, 0.013507, 154.42, 16.977, 5.2178
27, -0.1856, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.026082, 0.11974, 0.013507, 154.42, 16.977, 5.2178
28, -0.1859, 0.089128, 1.598, 0.020672, 1.4525, 0.9314, 51.349, 6.2445, 0.15037, 0.57714, 0.015496, 0.11974, 0.013507, 154.42, 16.977, 5.2178
29, -0.1859, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 5.4749, 0.18887, 0.89585, 0.018823, 0.11974, 0.015019, 154.42, 16.977, 5.2178
30, -0.1865, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.01551, 0.11974, 0.013507, 154.42, 18.309, 6.6772
31, -0.1873, 0.089128, 1.8815, 0.020672, 2.3291, 1.1385, 40.557, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
32, -0.1876, 0.089128, 1.598, 0.020672, 1.244, 0.85465, 51.349, 6.2445, 0.18887, 0.92545, 0.01294, 0.11974, 0.013507, 154.42, 15.324, 7.6359
33, -0.1878, 0.089128, 1.598, 0.020672, 2.2923, 0.81531, 43.161, 6.2445, 0.18887, 0.89585, 0.020765, 0.1, 0.013507, 154.42, 13.253, 5.2178
34, -0.1880, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.11509, 0.89585, 0.020765, 0.14149, 0.013507, 154.42, 16.977, 7.6359
35, -0.1881, 0.089128, 1.598, 0.01507, 2.3291, 0.9314, 51.349, 3.6269, 0.15411, 0.89585, 0.020765, 0.11974, 0.013507, 201.47, 16.977, 5.2178
36, -0.1886, 0.089128, 1.598, 0.020672, 2.3291, 1.387, 51.349, 6.2445, 0.18887, 1.003, 0.020765, 0.10283, 0.013507, 154.42, 11.683, 7.6359
37, -0.1887, 0.089128, 1.598, 0.020672, 2.3291, 1.1407, 51.349, 6.2445, 0.12253, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 4.529
38, -0.1888, 0.089128, 1.598, 0.020672, 2.3291, 1.147, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.2178
39, -0.1888, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.1, 0.89585, 0.020765, 0.11974, 0.013507, 165.97, 16.977, 4.8644
40, -0.1891, 0.089128, 1.598, 0.020672, 2.6193, 0.9314, 51.349, 6.2445, 0.10732, 1.0945, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
41, -0.1895, 0.089128, 1.598, 0.026188, 2.3291, 0.9314, 51.349, 6.2445, 0.23384, 0.89585, 0.020765, 0.15219, 0.013507, 152.71, 16.977, 7.6359
42, -0.1897, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.012216, 0.11974, 0.013507, 154.42, 16.977, 4.1533
43, -0.1897, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.10058, 1.0249, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
44, -0.1900, 0.089128, 1.598, 0.020672, 2.1558, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.12551, 0.013507, 154.42, 16.977, 7.6359
45, -0.1902, 0.089128, 1.598, 0.030672, 2.3291, 0.9314, 51.349, 6.2445, 0.17968, 0.89585, 0.018738, 0.11974, 0.013507, 154.42, 16.977, 7.6359
46, -0.1911, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.26216, 0.89585, 0.020765, 0.1, 0.013507, 154.42, 16.977, 6.5506
47, -0.1913, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.1981, 0.18887, 1.0386, 0.020765, 0.11974, 0.013507, 154.42, 14.229, 5.2178
48, -0.1916, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.11241, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
49, -0.1916, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
50, -0.1916, 0.089128, 1.598, 0.020672, 2.9177, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
51, -0.1916, 0.089128, 1.598, 0.017583, 3.1884, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
52, -0.1916, 0.089128, 1.598, 0.027099, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
53, -0.1917, 0.089128, 1.598, 0.030938, 2.3291, 1.1502, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.2178
54, -0.1917, 0.089128, 1.5373, 0.020409, 2.3291, 0.77639, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 20.405, 5.2178
55, -0.1918, 0.089128, 1.598, 0.030318, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.992, 7.6359
56, -0.1918, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.16188, 0.013507, 154.42, 16.977, 5.2178
57, -0.1920, 0.089128, 1.598, 0.011374, 2.9212, 0.79703, 51.349, 6.2445, 0.18887, 1.0539, 0.020765, 0.11974, 0.013507, 161.31, 15.766, 7.6359
58, -0.1925, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 39.984, 6.2445, 0.18887, 0.89585, 0.017457, 0.11974, 0.013507, 154.42, 16.977, 5.2178
59, -0.1927, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 5.9441, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 207.27, 11.363, 5.2178
60, -0.1930, 0.089128, 1.7085, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 6.9656
61, -0.1930, 0.089128, 1.5089, 0.020672, 2.3291, 0.9314, 62.63, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
62, -0.1935, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.023175, 0.11974, 0.013507, 154.42, 16.977, 7.6359
63, -0.1935, 0.089128, 1.598, 0.018283, 2.4094, 0.9314, 51.527, 6.2445, 0.18887, 0.89585, 0.015684, 0.10635, 0.013507, 154.42, 16.977, 7.6359
64, -0.1941, 0.089128, 1.598, 0.027316, 1.6973, 0.81258, 51.349, 6.2445, 0.18645, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
65, -0.1943, 0.089128, 1.598, 0.020672, 2.3291, 0.852, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.13965, 0.013507, 154.42, 16.977, 7.6359
66, -0.1944, 0.089128, 0.90111, 0.017933, 2.3291, 0.9314, 51.349, 6.3442, 0.18887, 0.89585, 0.025342, 0.11974, 0.013507, 104.96, 10.86, 7.6359
67, -0.1945, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 5.8001, 0.18887, 0.89585, 0.020765, 0.13779, 0.013507, 154.42, 16.977, 7.6359
68, -0.1946, 0.089128, 1.598, 0.029616, 1.9986, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.13949, 0.013507, 154.42, 21.456, 5.2178
69, -0.1948, 0.089128, 1.896, 0.020672, 2.3291, 0.9314, 34.635, 4.8695, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 24.208, 7.6359
70, -0.1951, 0.089128, 1.556, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
71, -0.1952, 0.088076, 2.0802, 0.020672, 2.3291, 0.9314, 30.832, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
72, -0.1954, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.012959, 154.42, 16.977, 5.2178
73, -0.1954, 0.089128, 1.598, 0.023453, 2.3291, 1.2013, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 5.2178
74, -0.1955, 0.089128, 1.598, 0.01068, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.16712, 0.013507, 154.42, 16.977, 5.2178
75, -0.1964, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 159.05, 16.977, 7.6359
76, -0.1966, 0.089128, 1.598, 0.020672, 2.3291, 1.1443, 51.349, 8.7418, 0.23188, 0.89585, 0.020765, 0.11974, 0.010879, 154.42, 18.055, 7.0695
77, -0.1967, 0.089128, 1.896, 0.020672, 3.3523, 0.9314, 48.1, 6.3384, 0.18887, 1.2897, 0.022141, 0.11974, 0.013507, 154.42, 22.68, 7.6359
78, -0.1969, 0.089128, 1.598, 0.014835, 2.3291, 0.9314, 51.349, 6.6192, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 7.6359
79, -0.1972, 0.089128, 1.896, 0.020672, 2.3291, 0.9314, 51.349, 6.5455, 0.18887, 1.2016, 0.020765, 0.11974, 0.013507, 154.42, 22.68, 7.6359
80, -0.1973, 0.10065, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.18887, 0.89585, 0.020765, 0.1, 0.013507, 137.74, 16.977, 7.2938
81, -0.1978, 0.089128, 1.598, 0.020672, 2.3291, 0.9314, 51.349, 6.2445, 0.19818, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 16.977, 4.0466
82, -0.1980, 0.089128, 1.896, 0.027261, 1.5767, 0.9314, 51.349, 6.5455, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 22.68, 7.6359
83, -0.1981, 0.089128, 1.896, 0.02355, 1.1902, 0.9314, 51.349, 6.5455, 0.18887, 0.89585, 0.020765, 0.11974, 0.013507, 154.42, 22.68, 7.6359
