Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.4181, 0.15774, 0.027599, 0.0034273, 631.92, 0.021785, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.7977, 0.0018908, 0.031132, 34.474, 0.027568, 3.2057, 0.084973
1, -0.4448, 0.15774, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.6308, 0.0027631, 0.031942, 47.101, 0.027568, 3.2057, 0.084973
2, -0.4573, 0.15774, 0.022362, 0.0027722, 924.1, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.6272, 0.0018908, 0.028278, 34.474, 0.027568, 3.2057, 0.084107
3, -0.4574, 0.15774, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.031216, 34.474, 0.027568, 3.2057, 0.084973
4, -0.4588, 0.15774, 0.022362, 0.0025722, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.030929, 34.474, 0.027568, 3.2057, 0.084973
5, -0.4632, 0.15774, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0025367, 0.030044, 20.519, 0.027568, 3.2057, 0.084973
6, -0.4674, 0.15774, 0.022362, 0.0034273, 515.25, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.028786, 34.474, 0.027568, 3.1821, 0.084973
7, -0.4769, 0.15774, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.027637, 34.474, 0.027568, 3.2057, 0.084973
8, -0.4778, 0.15774, 0.022362, 0.0036511, 631.92, 0.015572, 0.021552, 10, 4.9207, 0.9248, 0.77427, 1.308, 0.0018908, 0.029807, 34.474, 0.027568, 3.2057, 0.084973
9, -0.4849, 0.23519, 0.029822, 0.0034273, 473.22, 0.01458, 0.028406, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.031617, 34.474, 0.027568, 3.2057, 0.084973
10, -0.4860, 0.15774, 0.022362, 0.0034273, 881.29, 0.018732, 0.022817, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0017987, 0.023251, 34.474, 0.024944, 3.2057, 0.084973
11, -0.4914, 0.15774, 0.022362, 0.0034273, 631.92, 0.017634, 0.021552, 9.2453, 4.9207, 1.0694, 0.80888, 1.308, 0.0018908, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
12, -0.4947, 0.14503, 0.022362, 0.0022109, 631.92, 0.014454, 0.021552, 9.2453, 4.9207, 1.3212, 0.5626, 1.308, 0.0018908, 0.028264, 38.394, 0.018819, 4.3154, 0.084973
13, -0.5007, 0.15774, 0.023244, 0.0034273, 631.92, 0.01458, 0.020844, 10, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.029272, 34.474, 0.027568, 3.2057, 0.084973
14, -0.5043, 0.15774, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.023961, 51.05, 0.027568, 3.2057, 0.084973
15, -0.5075, 0.15774, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.023607, 34.474, 0.027568, 3.2057, 0.084973
16, -0.5097, 0.15774, 0.022362, 0.0034273, 631.92, 0.017964, 0.027708, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0025135, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
17, -0.5097, 0.15774, 0.017553, 0.0034273, 631.92, 0.01458, 0.023661, 9.2453, 4.9207, 1.234, 0.5626, 1.308, 0.0018908, 0.024698, 34.474, 0.030234, 2.4245, 0.084973
18, -0.5108, 0.11737, 0.018757, 0.0034273, 631.92, 0.017253, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0012862, 0.022142, 21.657, 0.027568, 3.2057, 0.084973
19, -0.5115, 0.15774, 0.022362, 0.003597, 631.92, 0.015616, 0.021552, 9.2453, 4.9207, 1.0694, 0.66931, 1.308, 0.0018908, 0.02144, 40.429, 0.027568, 3.2057, 0.084973
20, -0.5115, 0.15774, 0.022362, 0.0036764, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.027642, 34.474, 0.025753, 3.2057, 0.084973
21, -0.5131, 0.15917, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.8339, 0.0018908, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
22, -0.5151, 0.15774, 0.022362, 0.0034273, 446.65, 0.01458, 0.021552, 9.2453, 4.9058, 1.0694, 0.5626, 1.686, 0.0018908, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
23, -0.5173, 0.15774, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.6016, 0.0018908, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
24, -0.5192, 0.15774, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 10, 4.9207, 1.0694, 0.76503, 1.308, 0.0014142, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
25, -0.5200, 0.15774, 0.022362, 0.0034273, 631.92, 0.014025, 0.021552, 9.2453, 4.9207, 0.97446, 0.5626, 1.308, 0.0018908, 0.029528, 34.474, 0.027568, 3.2057, 0.084973
26, -0.5237, 0.15774, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0833, 0.5626, 1.4731, 0.0018908, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
27, -0.5257, 0.15774, 0.022362, 0.0050618, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.383, 0.0018908, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
28, -0.5258, 0.15774, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.48391, 1.5143, 0.0018908, 0.02144, 45.46, 0.027568, 3.2057, 0.082442
29, -0.5269, 0.15774, 0.027921, 0.0041247, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.3438, 0.0018908, 0.02144, 34.474, 0.033985, 3.2057, 0.084973
30, -0.5284, 0.15774, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 9.1527, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.02144, 42.279, 0.027568, 3.2057, 0.084973
31, -0.5285, 0.15774, 0.022362, 0.0034273, 631.92, 0.019108, 0.025641, 7.3961, 4.9207, 1.0694, 0.28633, 1.308, 0.0018908, 0.02144, 34.474, 0.022275, 3.8152, 0.084973
32, -0.5287, 0.15774, 0.022362, 0.0034273, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.56772, 1.31, 0.0018908, 0.02144, 42.058, 0.027568, 3.2057, 0.084973
33, -0.5294, 0.15774, 0.022362, 0.0036417, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0011363, 0.02144, 41.313, 0.027568, 3.2057, 0.084973
34, -0.5294, 0.15774, 0.022362, 0.0034273, 359.41, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
35, -0.5294, 0.15774, 0.022362, 0.0034273, 347.19, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0020565, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
36, -0.5294, 0.15774, 0.022362, 0.0039074, 482.19, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018081, 0.02144, 48.282, 0.027568, 3.2057, 0.084973
37, -0.5294, 0.15774, 0.022362, 0.0034273, 417.38, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
38, -0.5294, 0.15774, 0.022362, 0.0034273, 792.96, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0010211, 0.02144, 35.351, 0.027568, 3.2057, 0.084973
39, -0.5294, 0.15774, 0.022362, 0.0049106, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.02144, 32.041, 0.027568, 3.2057, 0.084973
40, -0.5295, 0.15774, 0.022362, 0.0041173, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
41, -0.5295, 0.15774, 0.022362, 0.0035255, 631.92, 0.01458, 0.021552, 9.2453, 4.9207, 1.0694, 0.5626, 1.308, 0.0018908, 0.02144, 34.474, 0.027568, 3.2057, 0.084973
