Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eMLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus, eDLoop
3874, -14.5316, 0.014797, 1.3106, 9.8661, 0.019378, 0.0032544, 0.20079, 0.014401, 980.7, 0.035123, 291.22, 1.6976, 0.0088566, 0.66197, 39.881, 5.3639, 0.65834, 2.0662, 0.2161,1e-26,0.33418, 0.12299, 1e-26
3875, -14.5541, 0.33665, 754.57, 0.083261, 0.47151, 1.6601, 147.33, 0.013151, 0.1412, 0.013733, 28.637, 0.30416, 0.0014879, 0.01633, 7.8691, 2.4477, 935.27, 0.10632, 3.8094,1e-26,2.8819, 0.0011594, 1e-26
3876, -14.5703, 0.063579, 1.0009, 0.96176, 0.086858, 0.37503, 55.295, 0.0050392, 0.045076, 0.45198, 318.09, 0.95666, 0.076946, 0.11387, 7.7438, 0.0036787, 322.78, 3.4845, 0.096616,1e-26,39.528, 0.0047739, 1e-26
3877, -14.5711, 0.64638, 0.023761, 0.0024118, 1.2122, 0.03903, 0.044359, 0.074149, 0.20891, 0.0010079, 10.239, 0.030755, 2.3796, 0.098274, 12.935, 0.021115, 0.17442, 2.7127, 7.5567,1e-26,2.5694, 2.9943, 1e-26
3878, -14.5716, 0.55846, 0.21732, 0.21198, 246.01, 0.25099, 0.058947, 0.43039, 112.2, 0.0024974, 0.28085, 0.0062631, 2.2082, 0.28801, 39.956, 0.0031096, 8.919, 3.7285, 0.061984,1e-26,0.92328, 3.1746, 1e-26
3879, -14.5823, 5.2757, 0.035802, 0.074731, 173.82, 2.2737, 150.22, 3.578, 3.9508, 2.3907, 0.14473, 0.41417, 0.32335, 0.019454, 7.3185, 1.5305, 37.844, 0.087074, 0.05,1e-26,3.5139, 0.14683, 1e-26
3880, -14.5930, 0.028713, 2.83, 0.0012571, 424.33, 8.7583, 155.72, 0.011643, 0.11975, 0.0017169, 310.33, 1.7144, 0.028465, 0.11537, 7.8515, 0.012718, 0.69274, 2.6247, 2.4496,1e-26,7.9744, 0.028666, 1e-26
3881, -14.5955, 0.006956, 7.0284, 0.2468, 174.47, 0.013786, 7.4225, 0.014455, 1000, 0.69835, 18.883, 0.16635, 1.2801, 0.60238, 2.4577, 7.112, 15.042, 4.4372, 1.4473,1e-26,0.84966, 5.2729, 1e-26
3882, -14.5998, 3.9666, 0.035802, 0.052633, 173.82, 2.2737, 150.22, 5.2567, 2.8753, 1.5942, 0.20372, 0.38135, 0.32335, 0.019454, 7.3185, 2.1782, 37.844, 0.074249, 0.055847,1e-26,3.5139, 0.20098, 1e-26
3883, -14.6068, 0.077621, 2.7893, 8.5737, 0.048668, 0.09322, 0.10551, 1.3152, 1.523, 0.075769, 163.89, 0.001505, 4.2512, 0.69643, 1.0826, 5.6959, 490.67, 0.052191, 0.68123,1e-26,531.88, 0.001773, 1e-26
3884, -14.6081, 0.95625, 3.6298, 0.90079, 11.578, 2.0818, 2.7315, 0.15822, 0.073742, 0.0072414, 88.708, 7.1097, 0.0014902, 0.23059, 3.7323, 0.096565, 70.92, 0.38261, 1.2477,1e-26,8.9098, 0.041779, 1e-26
3885, -14.6200, 2.2628, 0.0387, 0.054348, 229.63, 0.7006, 269.47, 0.2778, 265.46, 0.001466, 31.094, 0.0018705, 0.13862, 0.09805, 17.978, 0.0017692, 955.22, 0.73232, 0.43818,1e-26,5.22, 2.7419, 1e-26
3886, -14.6268, 5.691, 30.983, 6.6256, 0.063702, 0.12689, 3.1439, 0.12512, 0.17294, 0.078064, 138.85, 1.4025, 0.0015975, 0.65576, 4.403, 0.065383, 97.463, 0.16904, 8.4704,1e-26,74.557, 1.4745, 1e-26
3887, -14.6312, 3.9666, 0.035802, 0.052633, 173.82, 2.2737, 150.22, 5.2567, 2.8753, 1.5942, 0.18316, 0.25958, 0.32335, 0.019454, 7.3185, 1.5305, 37.844, 0.087074, 0.069107,1e-26,3.5139, 0.14683, 1e-26
3888, -14.6561, 2.886, 33.524, 0.0011548, 0.75756, 0.013267, 4.761, 3.9991, 734.81, 1.4058, 0.011862, 0.056806, 0.029754, 0.12401, 6.7721, 0.0010636, 637.39, 0.52694, 0.21636,1e-26,552.94, 1.4729, 1e-26
3889, -14.6625, 0.0052098, 0.04624, 0.86108, 2.6947, 0.11927, 0.010038, 1.8589, 401.97, 0.0018354, 13.207, 0.0024275, 0.019461, 0.77654, 45.034, 0.0015019, 386.53, 0.73324, 0.086884,1e-26,428.55, 0.0010419, 1e-26
3890, -14.6800, 0.068099, 0.072057, 0.0013643, 103.22, 0.11835, 0.082689, 0.016518, 731.55, 0.094879, 1.6079, 0.71158, 0.0016169, 0.75619, 3.2429, 0.01972, 342.57, 0.2874, 0.6857,1e-26,0.51849, 0.0055112, 1e-26
3891, -14.6854, 0.0093293, 754.52, 0.0043653, 253.89, 0.0045602, 12.323, 0.0023435, 152.35, 1.6269, 0.064071, 0.38998, 9.6008, 0.054077, 23.786, 0.10974, 709.09, 0.85955, 2.3225,1e-26,29.674, 0.001, 1e-26
3892, -14.6890, 0.084707, 5.9424, 0.032928, 2.8509, 1.7264, 4.8948, 5.1207, 4.4256, 0.50183, 87.418, 0.50836, 7.7981, 0.013438, 20.889, 0.035658, 1.1225, 1.0113, 2.2625,1e-26,653.09, 0.0024377, 1e-26
3893, -14.6914, 0.040169, 46.911, 0.0088996, 0.017761, 0.49771, 5.632, 0.035196, 13.72, 0.020826, 96.17, 0.077189, 0.39932, 0.010476, 10.376, 0.0059186, 258.67, 0.17491, 0.060636,1e-26,0.9173, 0.08273, 1e-26
3894, -14.6959, 0.0033787, 0.0070452, 0.078585, 0.023462, 0.0029076, 5.3803, 0.35145, 0.29284, 0.031587, 155.47, 0.11939, 0.38505, 0.19559, 37.661, 0.2207, 0.14719, 0.45543, 3.7724,1e-26,201.66, 1.0464, 1e-26
