Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
0, -2.1046, 0.26454, 0.029176, 1.8598, 0.75333, 2.8598, 187.6, 5.1168, 0.027049, 0.70609, 29, 2.0617, 2.4223, 0.36667, 1.7557, 13.76, 0.032918, 2.7959, 0.02298,0.05
1, -2.1187, 0.26454, 0.029176, 1.8598, 0.93958, 1.6849, 141.76, 5.8307, 0.031184, 0.5908, 29, 2.0617, 1.5212, 0.36667, 1.7575, 12.777, 0.033754, 2.8443, 0.02298,0.05
2, -2.1372, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.024453, 0.5908, 37.796, 2.0617, 1.8547, 0.36667, 3.0483, 13.76, 0.037117, 2.5452, 0.02298,0.071021
3, -2.1439, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 225.66, 6.8778, 0.031184, 0.80174, 29, 2.0617, 2.015, 0.36667, 3.0483, 13.76, 0.037117, 2.5452, 0.02298,0.05
4, -2.1547, 0.26454, 0.029176, 1.8598, 0.88116, 2.8598, 187.6, 5.1168, 0.024378, 0.50898, 29, 2.0617, 1.8547, 0.36667, 3.0604, 13.76, 0.037117, 2.5452, 0.02298,0.05
5, -2.1617, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.031184, 0.5908, 29, 2.0617, 2.5965, 0.36667, 1.7952, 13.76, 0.037117, 2.5452, 0.02298,0.061923
6, -2.1787, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.031184, 0.5908, 29, 2.0617, 2.474, 0.36667, 1.9934, 13.76, 0.037117, 2.5452, 0.02298,0.05
7, -2.1832, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.025727, 0.5908, 29, 2.0617, 1.8547, 0.36667, 3.0483, 17.773, 0.037117, 2.5452, 0.02298,0.05
8, -2.1834, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.031184, 0.5908, 29, 1.9801, 1.8547, 0.36667, 1.7711, 18.011, 0.037117, 2.5452, 0.02298,0.05
9, -2.1861, 0.26454, 0.029176, 1.8598, 0.85803, 1.7275, 187.6, 6.9235, 0.031184, 0.66416, 29, 2.0617, 1.8547, 0.36667, 2.2706, 20.37, 0.037117, 2.5452, 0.02298,0.05
10, -2.1932, 0.24338, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.024233, 0.72087, 29, 2.0617, 2.5095, 0.36667, 3.6819, 13.76, 0.037117, 2.5452, 0.02298,0.05
11, -2.1969, 0.2525, 0.029176, 1.8598, 0.93958, 1.855, 187.6, 6.353, 0.031184, 0.5908, 29, 2.0617, 1.8547, 0.36667, 1.6552, 13.76, 0.037117, 2.5452, 0.02298,0.05
12, -2.1972, 0.26454, 0.038691, 1.8598, 0.93958, 2.8598, 187.6, 6.2145, 0.031184, 0.5908, 29, 2.0617, 2.5232, 0.34341, 2.5707, 13.76, 0.045722, 2.5452, 0.02298,0.068943
13, -2.1997, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.031184, 0.5908, 29, 2.0617, 1.8547, 0.36667, 1.6983, 13.76, 0.037117, 2.5452, 0.02298,0.05
14, -2.2043, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.026375, 0.5908, 29, 2.0617, 1.8547, 0.36667, 3.0483, 13.76, 0.037117, 2.5452, 0.02298,0.05
15, -2.2059, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.031184, 0.5908, 38.23, 2.0617, 1.8547, 0.36667, 1.7541, 13.76, 0.037117, 2.5452, 0.02298,0.06874
16, -2.2078, 0.26454, 0.029176, 1.8598, 0.93958, 2.4473, 197.03, 5.1168, 0.031184, 0.5908, 29, 1.608, 1.8547, 0.36667, 2.6115, 16.824, 0.040527, 2.5452, 0.02298,0.05
17, -2.2095, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.031184, 0.5908, 29, 1.7137, 1.8547, 0.36667, 2.6154, 13.76, 0.037117, 2.5452, 0.02298,0.05
18, -2.2107, 0.26454, 0.029176, 1.8598, 0.93958, 3.0297, 187.6, 5.1168, 0.027876, 0.53893, 26.458, 2.0617, 1.8547, 0.36667, 2.6909, 13.76, 0.037117, 2.5452, 0.02298,0.05
19, -2.2126, 0.24644, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.031184, 0.5908, 29, 2.0617, 2.476, 0.36667, 3.0483, 12.149, 0.037117, 2.8169, 0.02298,0.05
20, -2.2133, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.028528, 0.5908, 29, 2.0617, 1.8547, 0.36667, 2.5137, 13.76, 0.037117, 2.5452, 0.02298,0.05
21, -2.2205, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 5.1168, 0.031184, 0.5892, 29, 2.0617, 1.8547, 0.36667, 1.5892, 13.76, 0.037117, 2.5452, 0.024499,0.05
22, -2.2206, 0.26454, 0.029176, 1.8598, 0.93958, 2.8598, 187.6, 6.6496, 0.031184, 0.5908, 39.917, 1.8195, 1.8547, 0.36667, 3.0483, 13.76, 0.037117, 2.5452, 0.021975,0.070233
23, -2.2207, 0.26454, 0.029176, 2.1297, 0.93958, 2.8598, 187.6, 5.1168, 0.031184, 0.67074, 29, 2.0617, 1.8547, 0.36667, 1.5628, 13.76, 0.037117, 2.5452, 0.02298,0.05
24, -2.2215, 0.26454, 0.029176, 1.8598, 0.77858, 1.5213, 168.97, 7.3968, 0.031184, 0.5908, 43.484, 2.0617, 1.8547, 0.3901, 3.0483, 13.76, 0.037117, 2.5452, 0.02298,0.05
25, -2.2238, 0.26454, 0.0403, 1.8598, 0.93958, 2.8598, 187.6, 4.1902, 0.018978, 0.5908, 29, 2.7339, 2.6422, 0.44799, 3.0483, 13.76, 0.050019, 2.5452, 0.02298,0.05
26, -2.2257, 0.26454, 0.029176, 1.8598, 0.93958, 2.6556, 187.6, 5.1168, 0.031184, 0.5908, 29, 2.0617, 1.8547, 0.36667, 1.7539, 13.76, 0.037117, 2.5452, 0.02298,0.05
