Rank, Fitness, kfsr, krsr, kfmm, krmm, kf1x, kr1x, kfc, krc, krmmTriCoop, kx2, krx2, S0, R0, X0, X0_stimScale
0, -0.1638, 0.036342, 229.34, 0.0034115, 361.08, 0.059742, 3.2437, 2.1427, 0.1003, 1.6505, 0.010406, 0.84429, 6.915, 224.84, 11.965, 2.2801
1, -0.1667, 0.036342, 229.34, 0.0034115, 276.07, 0.045687, 3.2437, 2.1427, 0.15577, 2.3591, 0.01, 0.84429, 6.915, 224.84, 13.611, 2.4459
2, -0.1669, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 2.0758, 0.01, 0.84429, 6.915, 224.84, 13.611, 2.4459
3, -0.1670, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15878, 2.1589, 0.01045, 0.84429, 6.915, 224.84, 13.611, 2.4459
4, -0.1671, 0.036342, 229.34, 0.0050649, 495.9, 0.045687, 3.2437, 2.1427, 0.15577, 2.4428, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
5, -0.1671, 0.036342, 229.34, 0.0034115, 284.04, 0.045687, 3.2437, 2.1427, 0.15577, 2.4327, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
6, -0.1672, 0.036342, 229.34, 0.0034115, 234.05, 0.045687, 3.2437, 2.1602, 0.15577, 2.2273, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
7, -0.1672, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 2.5923, 2.1427, 0.15577, 1.6505, 0.011577, 1.0815, 6.915, 224.84, 13.611, 2.4459
8, -0.1673, 0.036342, 229.34, 0.0034115, 509.1, 0.045687, 3.2437, 2.1427, 0.1, 2.2106, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
9, -0.1675, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 2.4124, 0.011598, 0.85028, 6.915, 224.84, 13.978, 2.4459
10, -0.1676, 0.036342, 229.34, 0.0038969, 361.08, 0.046396, 3.2437, 2.1427, 0.15577, 2.4626, 0.014546, 0.84429, 6.915, 224.84, 13.611, 2.4459
11, -0.1679, 0.036342, 229.34, 0.0050788, 361.08, 0.045687, 3.2437, 2.1427, 0.16173, 1.8786, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
12, -0.1679, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.10067, 1.6505, 0.01, 0.84429, 6.915, 224.84, 13.611, 2.4459
13, -0.1679, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.01, 0.84429, 6.915, 224.84, 13.611, 2.4459
14, -0.1681, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 2.1654, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4717
15, -0.1684, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 2.125, 0.011598, 0.80677, 6.915, 224.84, 13.611, 2.4459
16, -0.1685, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.9352, 0.013534, 0.84429, 6.915, 224.84, 13.611, 2.4459
17, -0.1686, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.742, 2.4459
18, -0.1686, 0.036342, 229.34, 0.0020736, 361.08, 0.045687, 3.2437, 2.1427, 0.14431, 1.6505, 0.011598, 0.82432, 6.915, 224.84, 13.611, 2.4459
19, -0.1686, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.8395, 6.915, 224.84, 13.611, 2.4459
20, -0.1687, 0.036342, 229.34, 0.003447, 263.03, 0.045687, 2.1262, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 173.99, 19.157, 2.4459
21, -0.1688, 0.036342, 229.34, 0.0039484, 361.08, 0.045687, 3.2437, 2.1427, 0.1, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
22, -0.1688, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.1, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
23, -0.1688, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.11153, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
24, -0.1688, 0.036342, 229.34, 0.0043602, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
25, -0.1688, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15015, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
26, -0.1688, 0.036342, 229.34, 0.0037371, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
27, -0.1688, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
28, -0.1688, 0.036342, 229.34, 0.0034115, 425.39, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
29, -0.1688, 0.036342, 229.34, 0.0028856, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
30, -0.1688, 0.036342, 229.34, 0.0027808, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
31, -0.1688, 0.036342, 229.34, 0.0024762, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
32, -0.1688, 0.036342, 229.34, 0.0017464, 361.08, 0.045687, 3.2437, 2.1427, 0.14849, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
33, -0.1688, 0.036342, 229.34, 0.0017366, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
34, -0.1688, 0.036342, 229.34, 0.0049218, 361.08, 0.045687, 3.2437, 2.1427, 0.19865, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
35, -0.1688, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.19202, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
36, -0.1688, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.20066, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
37, -0.1688, 0.036342, 229.34, 0.0027417, 361.08, 0.045687, 3.2437, 2.1427, 0.21508, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
38, -0.1688, 0.036342, 229.34, 0.0018148, 368.44, 0.045687, 3.2437, 2.1427, 0.21412, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
39, -0.1688, 0.036342, 229.41, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
40, -0.1689, 0.036342, 233.7, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.7872, 6.915, 224.84, 13.611, 2.4459
41, -0.1690, 0.036342, 229.34, 0.003505, 361.08, 0.045687, 3.4778, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 230.74, 13.611, 2.4459
42, -0.1691, 0.036342, 229.34, 0.0034694, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.012174, 0.84429, 6.915, 224.84, 13.611, 2.4459
43, -0.1691, 0.036342, 229.34, 0.0038454, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.8984, 224.84, 13.611, 2.4459
44, -0.1693, 0.036342, 199.66, 0.0034115, 268.1, 0.0415, 3.2437, 1.9271, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 12.671, 2.4459
45, -0.1694, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.012694, 0.84429, 6.915, 224.84, 13.611, 2.4459
46, -0.1694, 0.036342, 229.34, 0.0034115, 222.32, 0.045687, 3.2437, 2.1427, 0.18953, 1.6505, 0.011598, 0.83567, 6.915, 224.84, 13.972, 2.4459
47, -0.1694, 0.036342, 226.22, 0.0034115, 184.18, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
48, -0.1694, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.4202, 0.15577, 1.6505, 0.011344, 0.84429, 6.915, 185.25, 19.29, 2.4459
49, -0.1694, 0.036342, 230.25, 0.0036279, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
50, -0.1694, 0.036342, 229.34, 0.0034115, 360.4, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.012826, 0.84429, 6.915, 224.84, 13.611, 2.4459
51, -0.1695, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.012967, 0.84429, 6.915, 224.84, 13.611, 2.4459
52, -0.1695, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.10322, 1.6505, 0.01, 0.79741, 6.915, 224.84, 13.611, 2.4459
53, -0.1695, 0.054248, 199.66, 0.0034115, 361.08, 0.032448, 3.2437, 1.9271, 0.1334, 1.6505, 0.011066, 0.84429, 6.915, 164.65, 12.153, 2.4459
54, -0.1696, 0.036342, 271.27, 0.001865, 361.08, 0.045687, 1.9676, 2.1427, 0.15577, 1.6103, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
55, -0.1697, 0.036342, 182.63, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.13928, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 7.6887, 2.4459
56, -0.1697, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 7.0249, 224.84, 13.611, 2.4459
57, -0.1700, 0.036342, 229.34, 0.0034115, 343.38, 0.045687, 3.2437, 2.1427, 0.15577, 1.3278, 0.010039, 0.84429, 6.915, 224.84, 13.611, 2.4459
58, -0.1700, 0.036342, 229.34, 0.0034164, 267.46, 0.045687, 3.2437, 2.1427, 0.21657, 1.6505, 0.011598, 1.2185, 6.915, 224.84, 18.413, 2.4459
59, -0.1701, 0.036342, 229.34, 0.0026927, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 14.187, 2.4459
60, -0.1701, 0.036342, 186.79, 0.0032205, 361.08, 0.032671, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 206.79, 13.611, 2.4459
61, -0.1702, 0.036342, 229.34, 0.0034115, 529.89, 0.045687, 3.3136, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
62, -0.1704, 0.036588, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.17984, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.994, 2.4459
63, -0.1705, 0.038394, 229.34, 0.0050343, 361.08, 0.064407, 2.8866, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 7.5024, 168.22, 13.611, 2.4459
64, -0.1705, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.0629, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
65, -0.1705, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.6505, 0.014846, 0.84429, 6.915, 224.84, 13.611, 2.4459
66, -0.1708, 0.036342, 229.34, 0.0034115, 361.08, 0.045687, 3.2437, 2.1427, 0.15577, 1.3762, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
67, -0.1709, 0.036342, 229.34, 0.0034115, 361.08, 0.048607, 3.2437, 2.1427, 0.15577, 1.6505, 0.011598, 0.84429, 6.915, 224.84, 13.611, 2.4459
