Rank, Fitness, kfsr, krsr, kfmm, krmm, kf1x, kr1x, kfc, krc, krmmTriCoop, kx2, krx2, S0, R0, X0, X0_stimScale
2196, -0.7619, 0.065152, 0.18449, 8.6244, 58.521, 0.016243, 0.4419, 0.11545, 0.31922, 1.8833, 0.094832, 16.38, 3.6301, 26.035, 14.248, 1
2197, -0.7621, 0.046393, 0.25424, 9.6525, 50.135, 0.01798, 0.35365, 0.11545, 0.39002, 3.3006, 0.08424, 16.38, 3.6301, 38.372, 11.302, 1
2198, -0.7622, 0.065152, 0.29483, 7.3449, 58.521, 0.023738, 0.22296, 0.11545, 0.31922, 1.8833, 0.094832, 16.38, 3.6301, 26.035, 25.702, 1
2199, -0.7624, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 37.043, 11.302, 1
2200, -0.7624, 0.046393, 0.13169, 7.3449, 69.92, 0.0096647, 0.35365, 0.1, 0.39002, 1.9923, 0.059875, 16.38, 3.6301, 25.544, 15.074, 1
2201, -0.7636, 0.034902, 0.26014, 10, 74.918, 0.016439, 0.4419, 0.11545, 0.31922, 1.8833, 0.094832, 23.731, 3.6301, 26.035, 18.51, 1
2202, -0.7638, 0.046393, 0.14689, 7.3449, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 2.2147, 0.039279, 16.38, 3.6301, 26.035, 11.537, 1
2203, -0.7641, 0.046393, 0.22236, 7.3449, 53.922, 0.016243, 0.45312, 0.1, 0.31922, 1.5476, 0.078882, 16.38, 3.3465, 26.035, 18.51, 1
2204, -0.7641, 0.065152, 0.23318, 8.6684, 58.521, 0.016243, 0.4419, 0.11545, 0.31922, 2.0119, 0.092709, 16.38, 2.4914, 26.035, 18.746, 1
2205, -0.7644, 0.065152, 0.22236, 5.0167, 58.521, 0.016243, 0.55689, 0.11545, 0.31922, 1.8833, 0.094832, 16.38, 3.6301, 30.547, 18.51, 1
2206, -0.7645, 0.025379, 0.22236, 7.3449, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 2.5295, 0.059875, 16.38, 3.6301, 26.035, 15.074, 1
2207, -0.7646, 0.065152, 0.22236, 7.3449, 58.521, 0.016243, 0.4419, 0.11545, 0.31922, 1.4471, 0.094832, 20.664, 3.6301, 26.035, 18.51, 1
2208, -0.7647, 0.025015, 0.22236, 7.3449, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 2.5295, 0.059875, 16.38, 3.6301, 26.035, 15.074, 1
2209, -0.7649, 0.048313, 0.22236, 7.3449, 69.92, 0.016243, 0.35365, 0.10987, 0.39002, 2.5295, 0.059875, 16.38, 3.6301, 26.035, 16.318, 1
2210, -0.7650, 0.046393, 0.22236, 7.3449, 31.755, 0.016243, 0.32383, 0.17052, 0.21751, 1.8833, 0.059875, 16.38, 4.7269, 26.035, 18.51, 1
2211, -0.7660, 0.065152, 0.22236, 6.5344, 58.521, 0.016243, 0.4419, 0.11545, 0.31922, 1.8833, 0.080643, 16.38, 3.6301, 21.074, 18.51, 1
2212, -0.7661, 0.065152, 0.22236, 7.3449, 58.521, 0.016243, 0.4419, 0.1301, 0.31922, 1.1294, 0.094832, 16.38, 3.6301, 26.035, 24.458, 1
2213, -0.7662, 0.065152, 0.28866, 7.3449, 58.521, 0.008486, 0.4419, 0.10544, 0.31922, 1.8833, 0.094832, 16.38, 3.6301, 26.035, 18.51, 1
2214, -0.7664, 8.3328, 0.13636, 0.015485, 14.787, 0.001882, 18.75, 3.7064, 0.69833, 2.7712, 0.050853, 0.24612, 0.06518, 45.278, 10.554, 1
2215, -0.7670, 0.046393, 0.22236, 7.3449, 69.92, 0.013008, 0.35365, 0.11545, 0.39002, 2.5295, 0.059875, 16.38, 3.6301, 26.035, 15.074, 1
2216, -0.7671, 0.046393, 0.22236, 7.3449, 58.521, 0.016243, 0.32383, 0.11545, 0.31922, 1.3912, 0.059875, 16.38, 3.6301, 26.035, 18.51, 1
2217, -0.7672, 0.065152, 0.22236, 7.3449, 58.521, 0.016243, 0.4419, 0.11545, 0.31922, 1.8833, 0.094832, 16.38, 3.6301, 26.035, 14.414, 1
2218, -0.7677, 0.046393, 0.22236, 5.4305, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 2.5295, 0.059875, 16.38, 2.0078, 26.035, 15.074, 1
2219, -0.7679, 0.05969, 0.16471, 7.3449, 58.521, 0.016243, 0.3998, 0.11545, 0.31922, 1.0878, 0.059875, 16.38, 2.5382, 26.035, 21.28, 1
2220, -0.7684, 0.064077, 0.22236, 7.3449, 43.482, 0.016243, 0.35365, 0.11545, 0.39002, 2.5295, 0.059875, 16.38, 1.8435, 28.347, 14.613, 1
2221, -0.7687, 0.046393, 0.11851, 7.3449, 48.746, 0.021754, 0.35785, 0.1, 0.31922, 1.8833, 0.052928, 16.38, 3.6301, 26.648, 18.51, 1
2222, -0.7694, 0.065152, 0.29082, 7.3449, 58.521, 0.010074, 0.4419, 0.11545, 0.31922, 1.8833, 0.12112, 16.38, 3.6301, 26.046, 18.51, 1
2223, -0.7695, 0.056594, 0.22236, 7.3449, 58.521, 0.016243, 0.20315, 0.11545, 0.31922, 1.8833, 0.059875, 21.922, 3.6301, 19.546, 22.744, 1
2224, -0.7698, 0.046393, 0.22236, 6.7513, 69.92, 0.016243, 0.35365, 0.11545, 0.41544, 3.7428, 0.048182, 16.38, 3.6301, 26.035, 8.7996, 1
