Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
0, -10.4835, 1.199, 64.843, 0.3839, 0.54278, 1.7829, 148.89, 10, 1.9089, 1.8205, 0.019797, 0.001622, 0.011528, 0.5023, 3.6766, 4.9768, 88.072, 0.1
1, -10.5703, 1.199, 64.843, 0.3839, 0.54278, 1.7829, 148.89, 7.4457, 1.9089, 2.3449, 0.019797, 0.001622, 0.007715, 0.5023, 3.6766, 4.9768, 88.072, 0.1
2, -10.5703, 1.199, 64.843, 0.3839, 0.54278, 1.7829, 148.89, 7.4457, 1.9089, 2.3449, 0.019797, 0.001, 0.0066409, 0.5023, 3.6766, 4.9768, 88.072, 0.1
3, -10.5716, 1.199, 65.153, 0.25785, 0.39291, 2.3554, 148.89, 6.6323, 1.9089, 2.3449, 0.028208, 0.001622, 0.007715, 0.5023, 3.6766, 4.9768, 88.072, 0.1
4, -10.5722, 1.199, 64.843, 0.3839, 0.54278, 1.7829, 112.16, 7.4457, 2.5649, 2.3449, 0.019027, 0.0012802, 0.007715, 0.5023, 3.6766, 4.9768, 88.072, 0.1
5, -10.5745, 1.199, 64.843, 0.3839, 0.54278, 1.7829, 148.89, 7.4457, 1.9279, 2.3449, 0.019797, 0.001622, 0.007715, 0.41978, 3.6766, 4.9768, 88.072, 0.1
6, -10.5794, 1.199, 64.843, 0.3839, 0.54278, 1.7829, 148.89, 7.4457, 1.9089, 2.3449, 0.016778, 0.001622, 0.007715, 0.5023, 3.6766, 4.9768, 88.072, 0.1
7, -10.5814, 1.199, 64.843, 0.3839, 0.54278, 1.7829, 115.86, 7.4457, 2.2083, 2.3449, 0.019797, 0.001, 0.007715, 0.59625, 3.6766, 4.9768, 88.072, 0.1
8, -10.5819, 1.199, 64.843, 0.38763, 0.54278, 1.8575, 190.19, 7.4457, 1.9089, 2.3449, 0.011658, 0.001622, 0.007715, 0.5023, 3.6766, 4.9768, 88.072, 0.1
9, -10.5822, 1.199, 65.153, 0.25785, 0.39291, 1.7829, 148.89, 7.4457, 1.9089, 2.3449, 0.019797, 0.001622, 0.007715, 0.54566, 3.6766, 4.9768, 88.072, 0.1
10, -10.5823, 1.199, 65.153, 0.25785, 0.39291, 1.7829, 148.89, 7.4457, 1.9089, 2.3449, 0.019797, 0.002021, 0.007715, 0.5023, 3.6766, 4.9768, 88.072, 0.1
11, -10.5823, 1.199, 65.153, 0.25785, 0.39291, 1.7829, 148.89, 7.4457, 1.9089, 2.3449, 0.019797, 0.001622, 0.007715, 0.5023, 3.6766, 4.9768, 88.072, 0.1
12, -10.5823, 1.199, 65.153, 0.25785, 0.39291, 1.7829, 148.89, 7.4457, 1.9089, 2.3449, 0.019797, 0.0015181, 0.007715, 0.5023, 3.6766, 4.9768, 88.072, 0.1
13, -10.5823, 1.199, 65.153, 0.25785, 0.39291, 1.7829, 148.89, 7.4457, 1.9089, 2.3449, 0.019797, 0.001622, 0.0097132, 0.5023, 3.6766, 4.9768, 88.072, 0.1
14, -10.5823, 1.199, 65.153, 0.25785, 0.39303, 1.7829, 148.89, 7.4457, 1.9089, 2.3449, 0.019797, 0.0018193, 0.007715, 0.5023, 3.6766, 4.9768, 88.072, 0.1
15, -10.5826, 1.199, 65.153, 0.30035, 0.39291, 1.7829, 148.89, 7.4457, 1.9089, 2.3449, 0.019797, 0.0022798, 0.007715, 0.5023, 3.6766, 4.9768, 88.072, 0.1
16, -10.5826, 1.199, 65.153, 0.25785, 0.39291, 1.7829, 138.17, 7.4457, 1.9089, 2.3449, 0.019797, 0.001622, 0.007715, 0.5023, 3.6766, 4.9768, 88.072, 0.1
17, -10.5826, 1.199, 65.153, 0.25785, 0.39291, 1.7829, 148.89, 7.4457, 1.9089, 2.3449, 0.019797, 0.0011163, 0.007715, 0.40798, 3.6766, 4.9768, 88.072, 0.1
18, -10.5840, 1.199, 65.153, 0.25785, 0.39291, 1.7829, 166.24, 7.4457, 1.9089, 2.3449, 0.013158, 0.0021818, 0.0082145, 0.5023, 3.6766, 4.9768, 88.072, 0.1
19, -10.5872, 1.199, 65.153, 0.25785, 0.39291, 1.7829, 172.17, 7.4457, 1.9089, 2.3449, 0.013386, 0.001622, 0.011389, 0.62948, 3.6766, 4.9768, 88.072, 0.1
