Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
0, -9.3449, 3.4807, 0.001648, 0.0030816, 11.333, 5.1017, 0.091191, 0.55579, 0.013387, 0.22803, 0.3759, 0.031702, 0.0011659, 0.034561, 11.24, 0.0067585, 0.31796, 0.13373
1, -9.7823, 3.4807, 0.001648, 0.0030816, 11.333, 5.1017, 0.091191, 0.57408, 0.013387, 0.21068, 0.3759, 0.024774, 0.0011659, 0.034561, 11.24, 0.013144, 0.31796, 0.13208
2, -10.0182, 3.4807, 0.001648, 0.0030816, 11.333, 5.1017, 0.091191, 0.57408, 0.013387, 0.15646, 0.3759, 0.024774, 0.0011659, 0.018892, 11.24, 0.0090163, 0.31796, 0.26193
3, -10.0184, 3.4807, 0.001648, 0.0030816, 11.333, 5.1017, 0.091191, 0.41619, 0.013387, 0.20917, 0.3759, 0.01837, 0.0011659, 0.018163, 10.568, 0.0090163, 0.28133, 0.26193
4, -10.0230, 3.4807, 0.001648, 0.0030816, 12.339, 5.1017, 0.04764, 0.57408, 0.013387, 0.2225, 0.3759, 0.033495, 0.0011659, 0.034561, 11.24, 0.0090163, 0.27118, 0.26193
5, -10.0931, 3.0868, 0.001648, 0.0030816, 11.333, 5.1017, 0.076296, 0.57408, 0.013387, 0.15646, 0.3759, 0.024774, 0.0011659, 0.019296, 11.24, 0.0090163, 0.31796, 0.26193
6, -10.1323, 3.4807, 0.001648, 0.0030816, 11.333, 3.3973, 0.091191, 0.57408, 0.014373, 0.15646, 0.54477, 0.024774, 0.0011659, 0.02017, 11.24, 0.0090163, 0.31796, 0.26193
7, -10.1389, 3.139, 0.0011684, 0.0030816, 11.333, 6.0799, 0.091191, 0.57408, 0.013387, 0.15646, 0.3759, 0.024774, 0.0011469, 0.021299, 11.24, 0.0090163, 0.31796, 0.26193
8, -10.2153, 3.4807, 0.001648, 0.0030816, 11.333, 5.1017, 0.091191, 0.57408, 0.018292, 0.21472, 0.3759, 0.024774, 0.0011659, 0.034561, 8.3137, 0.0088145, 0.31796, 0.26193
9, -10.2177, 3.4807, 0.001648, 0.0020787, 11.333, 5.1017, 0.11835, 0.57408, 0.013387, 0.15646, 0.3759, 0.024774, 0.0011659, 0.025342, 11.24, 0.0090163, 0.31796, 0.26193
10, -10.2340, 3.4807, 0.001648, 0.0045563, 10.633, 5.1017, 0.091191, 0.57408, 0.013387, 0.14652, 0.3759, 0.024774, 0.0011659, 0.021946, 11.24, 0.0090163, 0.31796, 0.26193
11, -10.2615, 3.4807, 0.001648, 0.0030816, 11.333, 4.8697, 0.091191, 0.57408, 0.017532, 0.20062, 0.23341, 0.024774, 0.0011659, 0.034561, 11.24, 0.0090163, 0.31796, 0.26193
12, -10.2804, 2.6719, 0.0010606, 0.0030816, 11.333, 6.5307, 0.13001, 0.53483, 0.013387, 0.16578, 0.3759, 0.030415, 0.0011659, 0.034561, 11.24, 0.0090163, 0.31796, 0.26193
13, -10.3024, 3.4807, 0.001648, 0.0030816, 11.333, 5.1017, 0.091191, 0.47094, 0.013387, 0.22889, 0.3759, 0.024774, 0.0011659, 0.048371, 11.24, 0.0090163, 0.26836, 0.26193
14, -10.3078, 3.4807, 0.001648, 0.0027215, 11.333, 6.7123, 0.091191, 0.43077, 0.01, 0.15646, 0.3759, 0.024774, 0.0011659, 0.034561, 6.5475, 0.0090163, 0.30269, 0.26193
15, -10.3086, 4.9951, 0.001648, 0.0019595, 11.333, 5.6531, 0.091191, 0.57408, 0.013387, 0.15646, 0.3759, 0.024774, 0.0011659, 0.031614, 11.47, 0.0090163, 0.31668, 0.26193
16, -10.3192, 3.6127, 0.001648, 0.0030816, 11.333, 5.1017, 0.11346, 0.57408, 0.013387, 0.15646, 0.3759, 0.024844, 0.0011659, 0.039285, 11.24, 0.012675, 0.31796, 0.26193
17, -10.3204, 3.4807, 0.001648, 0.0030816, 11.333, 6.0355, 0.10283, 0.57281, 0.013387, 0.15646, 0.3759, 0.024774, 0.0013401, 0.032567, 11.24, 0.0091579, 0.31796, 0.26193
18, -10.3209, 3.4807, 0.001648, 0.0030816, 11.333, 5.1017, 0.091191, 0.57408, 0.013387, 0.15646, 0.3759, 0.024774, 0.0011635, 0.034561, 9.2724, 0.0090163, 0.31299, 0.26193
19, -10.3231, 3.4807, 0.0018483, 0.0030816, 11.333, 5.1017, 0.091191, 0.53519, 0.013387, 0.15646, 0.3759, 0.024774, 0.0011659, 0.034561, 11.24, 0.0093699, 0.31796, 0.26193
20, -10.3253, 3.4807, 0.001648, 0.0030816, 11.333, 5.1017, 0.091191, 0.57408, 0.013387, 0.15646, 0.3759, 0.024774, 0.0011659, 0.031392, 11.24, 0.0090163, 0.31796, 0.26193
21, -10.3275, 3.1754, 0.001648, 0.0045015, 11.333, 5.1017, 0.091191, 0.57408, 0.013387, 0.15646, 0.3759, 0.024774, 0.0011659, 0.03138, 11.24, 0.0090163, 0.31796, 0.26193
22, -10.3323, 4.6728, 0.0024705, 0.0030816, 11.333, 5.1017, 0.091191, 0.57408, 0.013387, 0.15904, 0.47924, 0.024774, 0.0013516, 0.034561, 6.4135, 0.0090163, 0.31796, 0.26193
23, -10.3382, 4.2391, 0.001648, 0.0030816, 11.333, 5.1017, 0.091191, 0.57408, 0.013387, 0.15646, 0.54624, 0.024774, 0.0011659, 0.03709, 15.94, 0.0090163, 0.31796, 0.24733
24, -10.3420, 3.4807, 0.001648, 0.0030816, 7.4228, 5.1017, 0.10523, 0.57408, 0.013387, 0.15646, 0.3759, 0.024774, 0.0011659, 0.034561, 11.24, 0.0090163, 0.31796, 0.26193
