Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
28, -0.7320, 2.1212, 0.1953, 0.19176, 0.01, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014337, 0.0055601, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
29, -0.7322, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 6.7471, 0.39847, 142.13, 1.6447, 1.53, 0.014541, 0.0051449, 0.66215, 3.9596, 0.0047993, 4.5416, 0.096416
30, -0.7326, 2.1212, 0.1953, 0.19176, 0.013959, 0.37603, 11.623, 0.39847, 110.96, 2.0617, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
31, -0.7359, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.8824, 0.9455, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
32, -0.7362, 2.1212, 0.1953, 0.27238, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.013408, 0.0051449, 0.42635, 3.9596, 0.0041339, 4.5416, 0.096416
33, -0.7367, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 10.37, 0.21891, 75.352, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
34, -0.7374, 2.1212, 0.1953, 0.19176, 0.013269, 0.52746, 11.623, 0.21936, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.31152, 3.9596, 0.0047993, 4.5416, 0.1067
35, -0.7378, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.476, 0.39847, 110.96, 1.6447, 1.8576, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
36, -0.7382, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.997, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047734, 4.5416, 0.096416
37, -0.7385, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 15.955, 0.33997, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
38, -0.7417, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 10.557, 0.39847, 150.97, 1.6447, 1.53, 0.014104, 0.0061492, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
39, -0.7445, 2.1212, 0.18776, 0.19176, 0.013478, 0.37603, 11.623, 0.39847, 110.96, 1.6436, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
40, -0.7457, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 15.923, 0.39847, 110.96, 1.6447, 1.4984, 0.014104, 0.0047287, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
41, -0.7457, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.0297, 0.014104, 0.0031548, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
42, -0.7462, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.015149, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
43, -0.7465, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.8501, 0.0047993, 4.5416, 0.096416
44, -0.7465, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 146.25, 1.6447, 1.53, 0.014104, 0.0064216, 0.53496, 3.9596, 0.0047993, 4.5416, 0.096416
45, -0.7483, 2.3549, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.59747, 110.96, 1.6447, 1.6426, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
46, -0.7489, 2.6484, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.36371, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
47, -0.7501, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 15.193, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
48, -0.7501, 2.2049, 0.1953, 0.19176, 0.012332, 0.37603, 7.5229, 0.59571, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
49, -0.7505, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 13.664, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.4946, 3.9596, 0.0047993, 4.5416, 0.096416
50, -0.7511, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 10.324, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0056642, 4.5416, 0.096416
51, -0.7513, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
52, -0.7515, 2.1212, 0.1953, 0.19176, 0.01, 0.37603, 11.623, 0.52981, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.52233, 3.9596, 0.0047993, 4.5416, 0.096416
53, -0.7520, 2.1212, 0.1953, 0.26435, 0.012332, 0.42658, 5.8597, 0.39847, 123.94, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.8733, 0.096416
54, -0.7529, 2.5268, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0060465, 0.30083, 3.9596, 0.0047993, 4.5416, 0.096416
55, -0.7530, 2.1212, 0.1953, 0.24992, 0.012332, 0.37603, 13.98, 0.45175, 141.83, 1.1679, 2.0698, 0.01405, 0.0028877, 0.46428, 3.9596, 0.0047993, 4.1428, 0.096416
56, -0.7531, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.8298, 0.014104, 0.0063472, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
57, -0.7536, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.4747, 1.53, 0.014104, 0.0031999, 0.61553, 3.9596, 0.0047993, 4.5416, 0.096416
58, -0.7538, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 101.33, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5602, 0.096416
59, -0.7542, 2.1212, 0.18498, 0.19176, 0.012332, 0.47767, 11.623, 0.22654, 141.83, 1.1679, 1.53, 0.020801, 0.0051449, 0.32234, 4.0403, 0.0047993, 3.9289, 0.10313
60, -0.7570, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 84.122, 1.6447, 2.2021, 0.014104, 0.0060749, 0.62924, 3.9596, 0.0047993, 4.5416, 0.096416
61, -0.7575, 2.1212, 0.1953, 0.25474, 0.012332, 0.37603, 6.4999, 0.39847, 110.96, 1.6447, 1.53, 0.0090266, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
62, -0.7577, 2.1212, 0.1601, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.6456, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 3.8122, 0.096416
63, -0.7584, 2.2589, 0.15901, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 2.007, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
64, -0.7589, 2.1212, 0.1953, 0.19176, 0.012332, 0.4269, 11.623, 0.20058, 110.96, 1.6447, 0.88813, 0.014104, 0.0075133, 0.5966, 3.9596, 0.0056878, 4.5416, 0.096416
65, -0.7606, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 8.4536, 0.53362, 130.54, 1.6447, 1.53, 0.014104, 0.0051449, 0.28499, 3.9596, 0.0047993, 4.5416, 0.096416
66, -0.7615, 2.4643, 0.1953, 0.19176, 0.01397, 0.40943, 11.623, 0.39847, 141.83, 1.1679, 1.53, 0.017747, 0.003936, 0.46428, 3.9596, 0.0047993, 4.557, 0.096416
67, -0.7618, 3.0774, 0.20202, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 2.1424, 1.7346, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
68, -0.7623, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.46844, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
69, -0.7627, 2.1212, 0.1953, 0.26371, 0.012332, 0.39154, 8.1638, 0.3734, 59.333, 1.6447, 1.53, 0.014104, 0.0048198, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
70, -0.7635, 2.1212, 0.21778, 0.19176, 0.011455, 0.5529, 11.623, 0.39847, 141.83, 1.1679, 1.53, 0.024808, 0.0065631, 0.46428, 3.9596, 0.0047993, 4.9736, 0.096416
71, -0.7662, 2.1212, 0.21151, 0.19176, 0.012332, 0.37603, 16.485, 0.39847, 110.96, 1.6447, 1.53, 0.01023, 0.0062242, 0.46428, 3.4649, 0.0047993, 5.0575, 0.096416
72, -0.7672, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 84.507, 1.6447, 1.765, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.094663
73, -0.7678, 2.1212, 0.1953, 0.19176, 0.01, 0.40682, 11.623, 0.39847, 110.96, 1.6447, 1.0145, 0.010862, 0.0051449, 0.54355, 3.9596, 0.0047993, 4.5416, 0.096416
74, -0.7688, 2.1212, 0.22346, 0.25086, 0.012332, 0.37603, 11.623, 0.39847, 93.851, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
75, -0.7707, 2.9816, 0.27263, 0.16614, 0.012332, 0.37603, 11.623, 0.25474, 110.96, 1.6447, 2.0403, 0.016441, 0.0051449, 0.4922, 3.9596, 0.0047993, 4.5416, 0.093486
76, -0.7711, 2.1212, 0.1953, 0.19176, 0.012332, 0.46609, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0029809, 0.46428, 3.9596, 0.0069717, 4.3528, 0.096416
77, -0.7719, 2.1212, 0.1953, 0.19176, 0.01, 0.37603, 11.623, 0.39847, 65.724, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
78, -0.7719, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.48985, 110.96, 1.6447, 1.3752, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
79, -0.7722, 2.1212, 0.1953, 0.26595, 0.01578, 0.37603, 11.623, 0.39847, 77.951, 1.4632, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
80, -0.7723, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 59.42, 1.6447, 1.53, 0.019291, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
81, -0.7724, 2.1212, 0.15335, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 111.02, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
82, -0.7732, 2.1212, 0.1953, 0.24033, 0.012332, 0.30881, 10.11, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.50841, 3.9596, 0.0047993, 4.5416, 0.096416
83, -0.7737, 2.1212, 0.1953, 0.19176, 0.012332, 0.43131, 11.623, 0.39847, 141.83, 1.1679, 1.53, 0.020801, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.6783, 0.096416
84, -0.7748, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.52904, 145.35, 1.6447, 1.53, 0.014104, 0.0038166, 0.46428, 3.9596, 0.0047993, 5.368, 0.096416
85, -0.7798, 2.1212, 0.14643, 0.19176, 0.012332, 0.37603, 11.623, 0.55, 110.96, 1.9548, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
86, -0.7806, 1.8645, 0.1953, 0.27725, 0.012332, 0.37603, 11.026, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0044664, 4.5416, 0.096416
87, -0.7834, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0042846, 0.46428, 3.9596, 0.0047993, 5.3547, 0.096416
88, -0.7895, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 61.399, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
89, -0.7902, 2.1212, 0.1953, 0.19176, 0.012332, 0.34933, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
90, -0.7950, 2.1212, 0.1953, 0.19176, 0.012332, 0.32026, 11.623, 0.39847, 110.96, 2.1047, 0.87364, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
