Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus
3949, -95.7434, 0.0049205, 0.038374, 0.60416, 0.053157, 0.087986, 9.664, 0.0042624, 446.75, 1.3589, 4.3759, 0.57567, 0.13199, 0.032844, 9.6761, 5.2578, 18.028, 0.42558, 0.61778,1e-26,0.67615,0.0091265
3950, -96.0178, 0.0041701, 0.063021, 0.57041, 0.039951, 0.13701, 8.5432, 0.0040207, 446.75, 2.0102, 4.3759, 0.5833, 0.13199, 0.041807, 4.5896, 7.801, 19.976, 0.39621, 0.61778,1e-26,0.67615,0.0091265
3951, -96.1120, 0.0066654, 193.3, 0.44067, 0.45704, 1.3513, 0.079469, 0.0010857, 824.94, 0.73854, 0.074586, 0.26559, 0.0069195, 0.11525, 3.6382, 0.15747, 1.4105, 4.3132, 0.51393,1e-26,0.69126,0.17416
3952, -96.4860, 0.011977, 0.0011419, 2.7223, 1.2589, 0.0027015, 0.12281, 0.0022528, 9.9425, 0.069617, 0.49681, 1.5268, 0.0034788, 0.18116, 50.335, 0.0031572, 0.33814, 1.184, 9.6467,1e-26,632.12,0.073397
3953, -96.7874, 0.0014515, 0.0010889, 8.6744, 0.89034, 0.0085016, 459, 0.18023, 0.020391, 1.192, 3.0802, 0.0057545, 0.071314, 0.18214, 3.1792, 0.0058314, 43.008, 0.14349, 9.5047,1e-26,224.8,0.75051
3954, -96.8901, 7.9088, 4.1098, 0.59041, 0.15472, 0.55139, 111.59, 0.0038149, 72.714, 0.0024828, 14.878, 4.8606, 0.043043, 0.67161, 2.3833, 0.069637, 0.29451, 2.7265, 2.3859,1e-26,209.51,0.0035562
3955, -97.0709, 0.0049205, 0.038374, 0.60416, 0.039951, 0.087986, 8.6471, 0.0040963, 446.75, 1.3589, 4.3759, 0.5833, 0.13199, 0.032844, 6.4894, 4.6237, 29.869, 0.42558, 0.61778,1e-26,0.67615,0.0091265
3956, -97.1711, 0.54322, 16.222, 1.1014, 5.7234, 0.027257, 17.514, 0.0091282, 536.66, 0.40961, 30.273, 1.7048, 0.0092135, 0.067088, 14.792, 10, 280.74, 5.597, 3.8822,1e-26,839.63,2.0554
3957, -97.2766, 0.044446, 0.0014059, 0.1527, 0.50293, 0.0073386, 1.0782, 0.0019951, 0.023004, 1.7019, 368.33, 0.030914, 4.2658, 0.46602, 1.6541, 0.004052, 3.4638, 0.054179, 1.7878,1e-26,1.3031,0.0051812
3958, -97.9000, 0.10089, 0.00103, 0.64408, 1.2953, 0.09206, 0.027029, 0.0023291, 482.03, 2.8913, 0.064304, 0.10515, 5.4629, 0.73436, 79.755, 0.0010364, 3.9534, 1.5549, 0.056727,1e-26,83.768,0.0056785
