Rank, Fitness, kfsr, krsr, kfmm, krmm, kf1x, kr1x, kfc, krc, krmmTriCoop, kx2, krx2, S0, R0, X0, X0_stimScale
0, -0.1185, 0.001, 0.020093, 0.010695, 0.031189, 10, 203.72, 0.16657, 0.10038, 1.0312, 0.27238, 15.165, 3.3963, 14.249, 69.359, 5.0995
1, -0.1201, 0.001, 0.020093, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.27238, 13.181, 3.3963, 14.249, 73.619, 5.0995
2, -0.1204, 0.001, 0.020093, 0.0060114, 0.031189, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 72.954, 5.0995
3, -0.1213, 0.001, 0.020093, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 71.426, 5.0995
4, -0.1220, 0.001, 0.020093, 0.010695, 0.025115, 10, 179.45, 0.17046, 0.1, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 61.929, 5.0995
5, -0.1224, 0.001, 0.020093, 0.0057394, 0.032118, 10, 299.98, 0.17046, 0.10038, 0.88484, 0.27238, 17.653, 4.3101, 14.249, 101.25, 5.0995
6, -0.1242, 0.001, 0.020093, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 79.815, 5.0995
7, -0.1248, 0.001, 0.020141, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.25396, 12.277, 3.3963, 14.249, 60.271, 5.0995
8, -0.1255, 0.001, 0.020093, 0.010695, 0.031189, 7.8363, 203.72, 0.15478, 0.1, 0.88484, 0.22839, 12.277, 3.3963, 14.249, 106.08, 5.0995
9, -0.1257, 0.001, 0.020093, 0.011361, 0.037801, 10, 293.81, 0.17046, 0.10038, 0.88484, 0.27238, 17.495, 3.8122, 14.249, 106.08, 5.0995
10, -0.1263, 0.001, 0.020093, 0.0067559, 0.034226, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 84.922, 5.0995
11, -0.1272, 0.001, 0.024266, 0.010695, 0.031189, 10, 297.36, 0.17046, 0.10038, 0.88484, 0.34024, 12.277, 3.3963, 14.249, 106.08, 5.0995
12, -0.1279, 0.001, 0.020093, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 85.783, 5.0995
13, -0.1285, 0.001, 0.023865, 0.010695, 0.023343, 10, 245.41, 0.17046, 0.10038, 0.88484, 0.30659, 13.966, 3.3963, 14.249, 106.08, 5.0995
14, -0.1306, 0.001, 0.029976, 0.010695, 0.018146, 10, 267.19, 0.17046, 0.12817, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 106.08, 5.0995
15, -0.1310, 0.001, 0.026575, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.10038, 1.0114, 0.27238, 12.277, 3.3963, 14.249, 106.08, 5.0995
16, -0.1312, 0.001, 0.020093, 0.0061324, 0.031189, 10, 203.72, 0.17046, 0.1, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 91.24, 5.0995
17, -0.1314, 0.001, 0.020093, 0.010695, 0.042979, 10, 203.72, 0.17046, 0.1, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 89.707, 5.0995
18, -0.1316, 0.001, 0.020093, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.10038, 1.2024, 0.27238, 12.277, 2.9062, 14.249, 106.08, 5.0995
19, -0.1318, 0.001, 0.02972, 0.010695, 0.031189, 10, 203.72, 0.20617, 0.10038, 0.88484, 0.22211, 12.277, 3.3963, 14.249, 106.08, 5.0995
20, -0.1318, 0.001, 0.026859, 0.010695, 0.031189, 10, 213.81, 0.18849, 0.10038, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 106.08, 5.0995
21, -0.1319, 0.001, 0.020093, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.30745, 12.277, 3.3963, 14.249, 65.508, 5.5922
22, -0.1325, 0.001, 0.020093, 0.0071586, 0.031189, 10, 122.92, 0.17046, 0.1, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 66.971, 5.0995
23, -0.1335, 0.001, 0.020093, 0.010695, 0.031189, 10, 129.58, 0.17046, 0.10038, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 54.833, 5.0995
24, -0.1336, 0.001, 0.02952, 0.010695, 0.031189, 10, 273.08, 0.17046, 0.10038, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 121.88, 5.0995
25, -0.1336, 0.001, 0.020093, 0.0157, 0.031189, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.22439, 12.755, 2.6579, 14.249, 106.08, 4.9486
26, -0.1337, 0.001, 0.024409, 0.010695, 0.031189, 10, 209.51, 0.17046, 0.10038, 0.96424, 0.27238, 12.277, 3.3963, 14.249, 106.08, 5.0995
27, -0.1338, 0.00129, 0.028819, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.27238, 12.277, 3.1942, 14.249, 106.08, 5.0995
28, -0.1343, 0.001, 0.020093, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.10038, 1.1406, 0.27238, 16.979, 3.3963, 14.249, 106.08, 5.0995
29, -0.1347, 0.001, 0.020093, 0.010695, 0.031189, 10, 185.53, 0.17046, 0.1043, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 90.181, 5.0995
30, -0.1350, 0.001002, 0.020093, 0.010695, 0.024254, 7.7329, 203.72, 0.17046, 0.10038, 0.88484, 0.27238, 14.818, 4.2429, 14.249, 106.08, 5.0995
31, -0.1352, 0.0010548, 0.020093, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.10038, 1.2453, 0.27238, 15, 3.3963, 14.249, 106.08, 5.0995
32, -0.1356, 0.001, 0.025221, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 106.08, 5.0995
33, -0.1358, 0.001, 0.020093, 0.010695, 0.031189, 10, 203.72, 0.13714, 0.10038, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 106.08, 4.7915
34, -0.1358, 0.001, 0.020093, 0.0123, 0.020338, 10, 166.06, 0.17046, 0.10038, 0.88484, 0.14078, 12.277, 3.3963, 14.249, 80.413, 5.0995
35, -0.1360, 0.001, 0.026166, 0.010695, 0.033976, 10, 203.72, 0.17011, 0.10038, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 106.08, 5.0995
36, -0.1360, 0.001, 0.024695, 0.013506, 0.031189, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.27238, 12.277, 3.3963, 14.249, 106.08, 5.0995
37, -0.1361, 0.001, 0.020093, 0.010695, 0.031189, 10, 203.72, 0.17046, 0.14906, 1.2167, 0.27238, 11.37, 3.3963, 13.29, 106.08, 5.0995
38, -0.1361, 0.001, 0.024453, 0.0054901, 0.016018, 10, 203.72, 0.17046, 0.10038, 0.88484, 0.22963, 14.369, 3.3963, 14.249, 106.08, 5.0995
