Rank, Fitness, kfsr, krsr_nostim, krsr_stim, kfmm, krmm, kfc_nostim, kfc_stim, S0, R0, D1, D1_over_D2, X
42, -72.3708, 0.055546, 2.1942, 0.51819, 0.0021696, 0.013673, 0.10625, 0.033972, 2.5785, 418.83, 0.099175, 5, 7.4215
43, -72.3969, 0.098402, 2.007, 0.29651, 0.0042519, 0.017997, 0.068691, 0.014199, 1.4003, 500, 0.13788, 5, 10
44, -72.4521, 0.020098, 0.85038, 0.28187, 0.0046642, 0.01, 0.087454, 0.0397, 3.0006, 309.39, 0.10814, 5, 5.8297
45, -72.5381, 0.084992, 1.9435, 0.46058, 0.0023887, 0.010743, 0.08765, 0.015201, 1.8283, 500, 0.11595, 4.9094, 8.2588
46, -72.5510, 0.058909, 3.1176, 0.65839, 0.011651, 0.01431, 0.060536, 0.013591, 2.7855, 500, 0.11577, 3.3352, 7.4708
47, -72.6502, 0.069882, 1.6694, 0.56207, 0.0027241, 0.011418, 0.060054, 0.031979, 2.182, 396.31, 0.13161, 5, 5
48, -72.6734, 0.064081, 0.95382, 0.26326, 0.0059504, 0.016702, 0.075457, 0.032594, 0.80262, 500, 0.096414, 5, 5.2506
49, -72.7102, 0.032969, 1.4891, 0.28337, 0.003342, 0.01, 0.059194, 0.021531, 2.555, 500, 0.10891, 3.4293, 5
50, -72.7332, 0.07012, 0.95392, 0.18095, 0.0035501, 0.01, 0.064129, 0.024632, 0.88572, 500, 0.12125, 5, 10
51, -72.8476, 0.059226, 2.5101, 0.91959, 0.0070745, 0.013673, 0.1422, 0.044855, 1.3509, 500, 0.18311, 5, 7.9701
52, -72.9323, 0.10439, 1.7713, 0.12627, 0.0074837, 0.025712, 0.056192, 0.015434, 1.3799, 500, 0.11708, 5, 5.1628
53, -72.9427, 0.061404, 0.53169, 0.1, 0.0062348, 0.01, 0.089478, 0.033518, 0.38641, 500, 0.14222, 5, 5
54, -73.0002, 0.043822, 1.218, 0.3531, 0.0027254, 0.01, 0.09436, 0.029773, 1.7497, 500, 0.13344, 4.2833, 9.2322
55, -73.0380, 0.054672, 0.63981, 0.1, 0.0047514, 0.01, 0.057486, 0.02778, 1.0219, 372.3, 0.13458, 5, 6.2647
56, -73.0601, 0.065426, 0.87357, 0.31763, 0.0059621, 0.0163, 0.091083, 0.043586, 0.54389, 500, 0.127, 5, 5
57, -73.1477, 0.5063, 1.2038, 0.18549, 0.0013768, 0.02311, 0.30535, 0.050663, 0.1624, 440.03, 0.08691, 4.8737, 5
58, -73.4788, 0.077133, 1.7074, 0.49058, 0.0021755, 0.013673, 0.050264, 0.024015, 2.5748, 500, 0.096684, 4.757, 5
59, -73.5329, 0.073918, 1.4498, 0.19972, 0.0021929, 0.010254, 0.035554, 0.010936, 2.4307, 500, 0.13106, 5, 5.2124
60, -73.6261, 0.025057, 0.41104, 0.1, 0.0018724, 0.01, 0.13321, 0.026409, 1.8783, 301.6, 0.11446, 5, 5.6433
61, -73.7482, 0.060404, 1.1314, 0.1759, 0.001, 0.035458, 0.14233, 0.025405, 1.783, 500, 0.084142, 5, 8.7836
62, -73.7713, 0.017346, 0.59281, 0.25162, 0.0033714, 0.01, 0.072202, 0.038289, 2.064, 452.98, 0.13362, 5, 8.7836
