Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
491, -10.6548, 1.043, 0.016528, 0.15668, 5.0274, 0.02721, 0.25287, 3.1341, 14.069, 0.42092, 93.679, 0.0032151, 2.396, 0.029377, 2.6911, 44.281, 0.0028801, 3255.9, 0.21207,0.68352
492, -10.6622, 0.0078557, 0.0010312, 1.6016, 1.1753, 4.2186, 0.11522, 5.6941, 0.073856, 0.029299, 2.8599, 1.8245, 0.011581, 0.12693, 0.85319, 1.6234, 2.7495, 0.2099, 1.9105,2.5752
493, -10.6818, 0.99188, 0.016528, 0.16642, 7.0576, 0.02721, 0.35178, 3.0902, 15.458, 0.35038, 77.842, 0.0034257, 2.396, 0.029377, 2.0869, 44.281, 0.0028801, 1546.1, 0.37573,0.5118
494, -10.7044, 0.69595, 0.016528, 0.13434, 5.0274, 0.02721, 0.20601, 3.0902, 14.069, 0.35038, 80.718, 0.0029339, 2.396, 0.029377, 2.6911, 33.286, 0.0028577, 2562.5, 0.37573,0.68352
495, -10.7109, 0.69595, 0.016528, 0.083318, 7.9617, 0.036168, 0.32419, 3.0741, 14.483, 0.24249, 49.578, 0.0026132, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.37573,0.66554
496, -10.7491, 0.69595, 0.016528, 0.10132, 6.517, 0.02721, 0.22953, 3.4618, 14.483, 0.35038, 49.578, 0.0034257, 3.861, 0.039882, 3.1239, 44.281, 0.0038503, 2562.5, 0.37573,0.91635
497, -10.8440, 0.69595, 0.016528, 0.072335, 7.9617, 0.02721, 0.32419, 3.4313, 14.483, 0.34467, 49.578, 0.0028922, 2.6594, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.37573,0.68352
498, -10.8728, 0.35064, 0.016528, 0.10132, 6.517, 0.02721, 0.24339, 3.0741, 18.015, 0.35038, 25.409, 0.0034257, 2.637, 0.039882, 2.6911, 48.316, 0.0031888, 2562.5, 0.49775,0.68352
499, -10.9743, 0.69595, 0.016528, 0.18247, 5.5529, 0.031452, 0.31239, 2.1061, 14.483, 0.35038, 67.873, 0.0034257, 2.637, 0.030718, 2.6911, 44.281, 0.0038503, 2562.5, 0.19688,0.68352
500, -10.9858, 0.69595, 0.016528, 0.12421, 6.517, 0.02721, 0.27042, 3.4634, 14.884, 0.35038, 49.578, 0.0034257, 2.637, 0.039882, 2.6911, 44.281, 0.0038503, 1433.2, 0.53529,0.50308
501, -10.9909, 0.064793, 0.018885, 0.075122, 1.0983, 0.0038297, 0.76047, 0.25281, 0.20044, 2.8377, 0.017667, 0.55407, 0.34761, 0.29212, 0.80334, 1.1585, 1.9064, 3.0376, 0.44235,4.4682
502, -10.9924, 0.56848, 0.016528, 0.10442, 5.0274, 0.02721, 0.25287, 3.0902, 14.069, 0.35038, 118.53, 0.0034257, 1.2974, 0.029377, 2.6911, 44.281, 0.0024233, 2562.5, 0.55421,0.68352
