Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.4554, 1.2802, 0.004749, 1.4835, 407.83, 0.25196, 0.010701, 10, 0.022327, 0.33956, 0.015003, 39.24, 0.26022, 1, 14.518, 0.001, 0.58195, 63.273
1, -0.4554, 1.2802, 0.004749, 1.2472, 749.55, 0.25196, 0.01, 9.0941, 0.016869, 0.70152, 0.015003, 26.336, 0.26022, 1, 24.299, 0.001, 0.58195, 60.035
2, -0.4556, 1.2802, 0.004749, 1.1304, 749.55, 0.23372, 0.013337, 9.0941, 0.022302, 0.63774, 0.015003, 26.336, 0.26022, 1, 18.283, 0.001, 0.58195, 63.273
3, -0.4560, 1.2802, 0.004749, 0.93221, 749.55, 0.25196, 0.013337, 9.0941, 0.016869, 0.44255, 0.010309, 26.336, 0.31925, 1, 24.299, 0.001, 0.58195, 63.273
4, -0.4562, 1.3164, 0.004749, 1.1304, 749.55, 0.25196, 0.010836, 9.0941, 0.016869, 0.63774, 0.015003, 26.336, 0.37182, 1, 24.299, 0.001, 0.58195, 63.273
5, -0.4564, 1.2802, 0.0036225, 1.1304, 749.55, 0.25196, 0.013337, 7.237, 0.016869, 0.63774, 0.015003, 26.336, 0.26022, 1, 24.299, 0.001, 0.58195, 63.273
6, -0.4567, 1.3201, 0.0042657, 1.1304, 749.55, 0.25196, 0.01, 9.0941, 0.022448, 0.63774, 0.01, 26.336, 0.27969, 1, 14.849, 0.001, 0.58195, 63.273
7, -0.4568, 1.2802, 0.004749, 1.1304, 749.55, 0.25196, 0.01, 10, 0.016869, 0.63774, 0.015003, 26.336, 0.26022, 1, 27.932, 0.001, 0.58195, 70.342
8, -0.4571, 1.2802, 0.004749, 1.1304, 749.55, 0.25196, 0.013337, 9.0941, 0.018663, 0.63774, 0.015003, 26.336, 0.26022, 1, 24.299, 0.001, 0.58195, 63.273
9, -0.4571, 1.2802, 0.004749, 1.3715, 749.55, 0.25196, 0.012012, 9.0941, 0.016869, 0.63774, 0.015203, 26.336, 0.26022, 1, 24.299, 0.001, 0.58195, 63.273
10, -0.4572, 1.2802, 0.004749, 1.1304, 749.55, 0.25196, 0.014789, 9.0941, 0.019639, 0.63774, 0.015003, 26.336, 0.26022, 1, 24.299, 0.001, 0.58195, 63.273
11, -0.4572, 1.2802, 0.004749, 1.1304, 749.55, 0.25196, 0.013337, 9.0941, 0.019235, 0.63774, 0.015003, 28.01, 0.26022, 1, 24.299, 0.001, 0.58195, 63.273
12, -0.4572, 1.2802, 0.004749, 1.1304, 749.55, 0.25196, 0.013337, 9.0941, 0.018023, 0.63774, 0.015003, 26.336, 0.33954, 1, 24.299, 0.001, 0.58195, 63.273
13, -0.4573, 1.2802, 0.004749, 1.1304, 749.55, 0.25196, 0.01206, 9.0586, 0.016869, 0.63774, 0.015003, 26.336, 0.26022, 1, 17.694, 0.001, 0.58195, 63.273
14, -0.4573, 1.2802, 0.004749, 1.1304, 749.55, 0.25196, 0.013337, 9.0941, 0.018976, 0.93117, 0.015003, 26.336, 0.26022, 1, 17.117, 0.001, 0.58195, 63.273
15, -0.4573, 1.2802, 0.004749, 1.1304, 749.55, 0.25196, 0.013337, 9.0941, 0.016869, 0.32076, 0.014886, 26.336, 0.26022, 1, 24.299, 0.001, 0.58195, 63.273
16, -0.4573, 1.2802, 0.004749, 1.1304, 749.55, 0.25196, 0.010807, 9.0941, 0.016869, 0.63774, 0.015003, 26.336, 0.26022, 1, 24.299, 0.001, 0.58195, 63.273
17, -0.4575, 1.2802, 0.004749, 1.1304, 1000, 0.25196, 0.013337, 9.0941, 0.016869, 0.63774, 0.01, 26.336, 0.26022, 1, 24.299, 0.001, 0.58195, 63.273
18, -0.4575, 1.2802, 0.004749, 1.1304, 749.55, 0.25196, 0.013337, 9.0941, 0.016869, 0.63774, 0.01, 26.336, 0.26022, 1, 24.299, 0.001, 0.58195, 63.273
19, -0.4575, 1.2802, 0.004749, 1.1304, 944.02, 0.25196, 0.013337, 9.0941, 0.016869, 0.63774, 0.01, 26.336, 0.16172, 1, 24.299, 0.001, 0.58195, 63.273
20, -0.4575, 1.2802, 0.004749, 1.1304, 960.99, 0.25196, 0.013337, 9.0941, 0.016869, 0.39963, 0.015003, 26.336, 0.26022, 1, 24.299, 0.001, 0.58195, 63.273
21, -0.4575, 1.2802, 0.004749, 1.1304, 749.55, 0.25196, 0.013337, 9.0941, 0.019833, 0.77036, 0.015003, 26.336, 0.26022, 1, 24.299, 0.001, 0.58195, 63.273
22, -0.4576, 1.2802, 0.004749, 1.1304, 749.55, 0.25196, 0.013337, 9.0941, 0.016869, 0.63774, 0.010702, 26.336, 0.31519, 1, 35.563, 0.001, 0.58195, 63.273
