Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
29, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.26624, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.16951, 58.562
30, -4.0001, 1.554, 0.0014921, 0.0045038, 204.51, 3.0047, 0.067425, 0.20999, 84.269, 2.3173, 5.993, 47.567, 0.00075429, 0.44423, 3.0464, 0.01, 0.24312, 58.562
31, -4.0001, 1.554, 0.0014921, 0.0031783, 184.35, 3.0047, 0.067425, 0.2212, 81.081, 1.6911, 5.993, 47.567, 0.00038341, 0.60927, 2.1568, 0.01, 0.19256, 58.562
32, -4.0001, 1.554, 0.0014921, 0.0031783, 131.82, 2.7864, 0.065579, 0.2212, 63.093, 2.3173, 5.5432, 27.13, 0.00056061, 0.44423, 2.1568, 0.01, 0.23083, 78.556
33, -4.0001, 1.554, 0.0014921, 0.0031783, 259.91, 3.6324, 0.043299, 0.15193, 58.33, 2.1516, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
34, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.1253, 63.093, 2.3173, 7.2337, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
35, -4.0001, 1.554, 0.0014921, 0.0038838, 125.43, 4.3758, 0.067425, 0.20515, 94.064, 2.5228, 5.993, 47.567, 0.00053131, 0.44423, 2.1568, 0.01, 0.2955, 58.562
36, -4.0001, 1.1459, 0.0014921, 0.0031783, 204.51, 3.5682, 0.041744, 0.2212, 63.093, 2.3173, 5.993, 47.567, 0.00070648, 0.44423, 3.1516, 0.01, 0.2955, 58.562
37, -4.0001, 1.554, 0.0019531, 0.0031783, 215.64, 3.0047, 0.038719, 0.2212, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 3.2176, 0.01, 0.2955, 58.562
38, -4.0001, 1.4761, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.27688, 81.945, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.19531, 58.562
39, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.5868, 0.067425, 0.2212, 63.093, 2.3173, 7.816, 47.567, 0.00056061, 0.44423, 2.3483, 0.01, 0.24601, 58.562
40, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.1176, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
41, -4.0001, 2.1795, 0.0019976, 0.0031783, 180.27, 3.0047, 0.067425, 0.2212, 45.96, 1.8328, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.20423, 68.041
