Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -1.1075, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.8859, 0.18167, 1.8467, 14.382, 1.3345, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.35135
1, -1.1123, 0.15019, 0.034715, 0.001, 0.015173, 0.05783, 0.56605, 0.98487, 0.18167, 2.0786, 14.382, 2.4628, 0.092808, 0.75039, 3.0638, 0.0076468, 37.457, 0.31028
2, -1.1321, 0.15019, 0.034715, 0.0011023, 0.01257, 0.063088, 0.56605, 0.85242, 0.19957, 2.8624, 13.067, 1.3322, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
3, -1.1389, 0.15019, 0.034715, 0.0014766, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 1.5378, 0.13202, 1, 5.4711, 0.0076468, 37.457, 0.31028
4, -1.1405, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.22523, 2.8624, 14.382, 2.4628, 0.064418, 1, 5.4711, 0.0082414, 37.457, 0.31028
5, -1.1427, 0.15019, 0.034715, 0.001, 0.01257, 0.060668, 0.56605, 0.85242, 0.18167, 2.7312, 14.382, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
6, -1.1439, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 15.685, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
7, -1.1497, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.076472, 1, 5.0547, 0.0076468, 36.449, 0.31028
8, -1.1498, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.19923, 2.9604, 14.382, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
9, -1.1503, 0.15019, 0.0353, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 6.6734, 0.0076468, 37.457, 0.31028
10, -1.1530, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.7858, 14.382, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
11, -1.1553, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.5379, 14.382, 2.4628, 0.061769, 1, 3.5341, 0.0076468, 37.457, 0.31028
12, -1.1640, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 1.9308, 0.092808, 1, 4.2423, 0.0076468, 37.457, 0.31028
13, -1.1654, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.60499, 0.85242, 0.18507, 2.8624, 14.382, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
14, -1.1667, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85423, 0.21807, 2.8624, 14.382, 3.2418, 0.092808, 1, 7.3913, 0.0076468, 39.31, 0.31028
15, -1.1671, 0.15019, 0.034715, 0.001, 0.015554, 0.063088, 0.59073, 0.83808, 0.18167, 2.8624, 14.382, 2.4628, 0.10451, 1, 5.4711, 0.0076468, 37.457, 0.31028
16, -1.1681, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.76286, 0.21636, 2.8624, 14.382, 1.3441, 0.092808, 0.89989, 5.4711, 0.0086038, 37.457, 0.31028
17, -1.1690, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.033, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
18, -1.1712, 0.15019, 0.046594, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 3.164, 0.092808, 1, 5.4711, 0.0097451, 37.457, 0.31028
19, -1.1797, 0.15019, 0.034715, 0.0013185, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.058687, 1, 3.7647, 0.0076468, 37.457, 0.31028
20, -1.1824, 0.15019, 0.034715, 0.0012425, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
21, -1.1827, 0.15019, 0.034715, 0.001, 0.01257, 0.058847, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 1.9122, 0.092808, 0.78987, 5.4711, 0.0076468, 37.457, 0.31028
22, -1.1834, 0.15019, 0.034715, 0.001, 0.01257, 0.059796, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.079492, 1, 5.4711, 0.0076468, 37.457, 0.31028
23, -1.1850, 0.15019, 0.034715, 0.001, 0.01, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
24, -1.1850, 0.15019, 0.034715, 0.001, 0.01, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 6.6391, 0.0076468, 37.457, 0.31028
25, -1.1852, 0.15019, 0.034715, 0.001, 0.010044, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.12974, 1, 5.4711, 0.0076468, 37.457, 0.31028
26, -1.1857, 0.15019, 0.034715, 0.0011544, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
27, -1.1861, 0.15019, 0.034715, 0.001, 0.010357, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
28, -1.1862, 0.15019, 0.034715, 0.001, 0.010385, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
29, -1.1862, 0.11999, 0.034715, 0.001, 0.01257, 0.063088, 0.57785, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.11332, 0.92213, 5.4711, 0.0076468, 44.992, 0.31028
30, -1.1866, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8537, 14.382, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
31, -1.1867, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 16.435, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
32, -1.1884, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4011, 0.054009, 1, 5.0132, 0.0076468, 37.457, 0.31028
33, -1.1920, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.076628, 1, 3.1205, 0.0076468, 37.457, 0.31028
34, -1.1920, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.080495, 1, 4.6982, 0.0076468, 37.457, 0.31028
35, -1.1920, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 3.4526, 0.0076468, 37.457, 0.31028
36, -1.1920, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 6.938, 0.0076468, 37.457, 0.31028
37, -1.1920, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 6.9736, 0.0076468, 37.457, 0.31028
38, -1.1920, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 6.4099, 0.0076468, 37.457, 0.31028
39, -1.1920, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 7.3122, 0.0076468, 37.457, 0.31028
40, -1.1920, 0.15019, 0.034715, 0.001, 0.01257, 0.063088, 0.56605, 0.85242, 0.18167, 2.8624, 14.382, 2.4628, 0.092808, 1, 5.4711, 0.0076468, 37.457, 0.31028
