Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
0, -7.7763, 0.15779, 0.005735, 0.19915, 1.6405, 0.44545, 2.7426, 0.14476, 2.0821, 0.65118, 151.28, 0.0014882, 0.0037596, 0.061184, 3.0193, 0.68776, 420.66, 0.11222
1, -7.9899, 0.15838, 0.0044505, 0.19915, 1.6405, 0.4679, 1.7472, 0.14476, 2.0821, 0.45331, 151.28, 0.0021514, 0.0024776, 0.087787, 5.9931, 0.68776, 420.66, 0.12582
2, -8.0533, 0.15779, 0.005735, 0.22285, 1.6405, 0.44545, 2.7426, 0.11299, 2.0821, 0.65857, 151.28, 0.0019146, 0.0037596, 0.062065, 5.9931, 0.68776, 420.66, 0.12582
3, -8.0603, 0.15779, 0.0080962, 0.18902, 1.6405, 0.44545, 2.7426, 0.14476, 2.0821, 0.45331, 151.28, 0.0019866, 0.0024967, 0.094186, 5.9931, 0.81966, 586.21, 0.12582
4, -8.1208, 0.15779, 0.005735, 0.19915, 1.6405, 0.44545, 2.5893, 0.13994, 2.0821, 0.45331, 219.75, 0.0014882, 0.0037596, 0.087787, 5.9931, 0.68776, 500.85, 0.12582
5, -8.1299, 0.15779, 0.005735, 0.19915, 1.3266, 0.44545, 4.0979, 0.14476, 2.3408, 0.63392, 151.28, 0.0014882, 0.0037596, 0.087787, 5.9931, 0.68776, 420.66, 0.12582
6, -8.1531, 0.15779, 0.005735, 0.11322, 0.85337, 0.31258, 2.7426, 0.19062, 2.0821, 0.45331, 151.28, 0.0014882, 0.0021401, 0.087787, 5.9931, 0.68776, 420.66, 0.12582
7, -8.1914, 0.15779, 0.0055829, 0.19915, 1.6405, 0.44545, 2.7426, 0.14476, 2.0821, 0.45331, 151.28, 0.0014882, 0.0020802, 0.087787, 5.9931, 0.503, 455.28, 0.12582
8, -8.1953, 0.15779, 0.005735, 0.23401, 0.93186, 0.44545, 2.7426, 0.14476, 2.0821, 0.50564, 198.37, 0.0014882, 0.0040286, 0.087787, 5.9931, 0.68776, 420.66, 0.12582
9, -8.1978, 0.15779, 0.005735, 0.16549, 1.6405, 0.44545, 2.3098, 0.12797, 2.5859, 0.5969, 151.28, 0.0014882, 0.002121, 0.087787, 5.9931, 0.68776, 404.3, 0.13154
10, -8.2153, 0.15779, 0.0075946, 0.19915, 1.6405, 0.36594, 2.7426, 0.13261, 2.0821, 0.52311, 151.28, 0.0018028, 0.0037596, 0.087787, 5.9931, 0.68776, 420.66, 0.12582
11, -8.2171, 0.15779, 0.005735, 0.14433, 1.6405, 0.44545, 1.6918, 0.096884, 1.6892, 0.45331, 196.86, 0.0014882, 0.0037596, 0.059517, 5.9931, 0.69399, 420.66, 0.12582
12, -8.2186, 0.15779, 0.0056202, 0.19915, 1.6405, 0.44545, 2.7426, 0.14476, 2.0821, 0.45331, 151.28, 0.0014882, 0.0037596, 0.087787, 5.9931, 0.68776, 566.28, 0.12048
13, -8.2324, 0.15779, 0.005735, 0.19915, 1.4454, 0.3493, 2.7426, 0.14476, 2.0821, 0.54397, 151.28, 0.0014882, 0.0037596, 0.087787, 5.9931, 0.68776, 420.66, 0.12582
14, -8.2441, 0.15779, 0.005735, 0.19915, 1.6405, 0.55306, 2.7426, 0.14476, 2.0821, 0.45077, 180.33, 0.0014882, 0.0037596, 0.087787, 5.9931, 0.86105, 495.55, 0.12582
15, -8.2938, 0.15779, 0.0065286, 0.19915, 0.95975, 0.55358, 1.5766, 0.14476, 2.3984, 0.45331, 151.28, 0.0014882, 0.0037596, 0.087787, 5.9931, 0.68776, 420.66, 0.12582
16, -8.3000, 0.15779, 0.005735, 0.14971, 1.6405, 0.44545, 3.9837, 0.14476, 2.0821, 0.54989, 173.78, 0.0014882, 0.0037596, 0.087787, 5.0761, 0.73268, 420.66, 0.12582
17, -8.3082, 0.15779, 0.005735, 0.12619, 1.6405, 0.44545, 2.7426, 0.12694, 2.0821, 0.45331, 151.28, 0.0014882, 0.0037596, 0.087787, 8.4709, 0.68776, 630.76, 0.12582
18, -8.3098, 0.15779, 0.005735, 0.19915, 1.0421, 0.44545, 2.7426, 0.14476, 2.0821, 0.64817, 177.74, 0.00103, 0.0046605, 0.087787, 5.9931, 0.68776, 420.66, 0.11866
19, -8.3272, 0.091358, 0.005735, 0.19915, 1.7561, 0.44545, 2.7426, 0.18554, 2.0821, 0.45331, 151.28, 0.0019146, 0.0037596, 0.087787, 5.9931, 0.68776, 420.66, 0.12582
20, -8.3467, 0.19886, 0.005735, 0.19915, 1.6405, 0.34494, 3.0956, 0.14476, 2.0821, 0.45331, 151.28, 0.0014882, 0.0037596, 0.087787, 5.9931, 0.68776, 545.12, 0.12582
21, -8.3509, 0.16789, 0.005735, 0.177, 2.375, 0.44545, 2.7426, 0.14476, 2.3227, 0.51707, 151.28, 0.0014882, 0.0037596, 0.087787, 5.9931, 0.68776, 420.66, 0.12582
22, -8.3590, 0.15779, 0.004278, 0.19915, 1.6405, 0.36598, 2.7426, 0.14476, 2.0821, 0.45331, 151.28, 0.0014882, 0.0037596, 0.047228, 4.5029, 0.68776, 508.8, 0.12582
23, -8.3751, 0.15779, 0.005735, 0.19915, 1.6405, 0.44545, 2.7426, 0.14476, 2.0821, 0.45331, 151.28, 0.0014882, 0.0037596, 0.10332, 5.9931, 0.85847, 532.97, 0.12582
24, -8.3804, 0.15779, 0.005735, 0.19915, 1.6405, 0.44545, 1.8307, 0.14476, 2.0821, 0.45331, 151.28, 0.0014882, 0.0037596, 0.087787, 3.4317, 0.68776, 420.66, 0.12582
25, -8.3897, 0.15779, 0.005735, 0.19915, 1.6405, 0.44545, 2.7426, 0.14476, 2.0821, 0.45331, 151.28, 0.0014222, 0.0037596, 0.072193, 5.9931, 0.68776, 494.43, 0.12582
26, -8.3915, 0.15779, 0.005735, 0.19915, 1.6405, 0.44545, 1.936, 0.14476, 2.0821, 0.45331, 151.28, 0.0014882, 0.0037596, 0.10606, 8.8455, 0.68776, 401.62, 0.12582
27, -8.3985, 0.16934, 0.005735, 0.15271, 1.6405, 0.44545, 2.7426, 0.14476, 2.0821, 0.45331, 204.33, 0.0020156, 0.0037596, 0.099162, 5.9931, 0.68776, 420.66, 0.12582
28, -8.4043, 0.15779, 0.005735, 0.19915, 1.9899, 0.44545, 2.0844, 0.14609, 1.9705, 0.45331, 151.28, 0.0014882, 0.0037596, 0.087787, 5.9931, 0.68776, 420.66, 0.12582
29, -8.4046, 0.15779, 0.0040505, 0.23892, 1.7344, 0.44545, 2.7426, 0.14476, 1.8153, 0.45331, 150.2, 0.0014882, 0.0034354, 0.087787, 5.9931, 0.8122, 420.66, 0.12582
30, -8.4048, 0.15779, 0.0073328, 0.16751, 1.1003, 0.62696, 2.7426, 0.10555, 2.0486, 0.55002, 165.25, 0.0014882, 0.0037596, 0.087787, 5.3922, 0.68776, 420.66, 0.12582
31, -8.4059, 0.15779, 0.005735, 0.19915, 1.6405, 0.44545, 2.7426, 0.20958, 2.0821, 0.45331, 224.79, 0.0014882, 0.0037596, 0.087787, 5.9931, 0.68776, 420.66, 0.12582
32, -8.4101, 0.079576, 0.003854, 0.13695, 2.0731, 0.44545, 1.6524, 0.14476, 2.0821, 0.45331, 151.28, 0.0014882, 0.0037596, 0.087787, 5.3022, 0.68776, 420.66, 0.12582
33, -8.4400, 0.15779, 0.005735, 0.19915, 1.6405, 0.44545, 2.7426, 0.16607, 2.0821, 0.50284, 151.28, 0.0014882, 0.0037596, 0.087787, 5.9931, 0.88975, 420.66, 0.12582
34, -8.4416, 0.15779, 0.0052754, 0.10267, 1.6405, 0.34814, 2.7426, 0.14476, 2.0821, 0.45331, 151.28, 0.0014882, 0.0025743, 0.087787, 5.9931, 0.68776, 420.66, 0.13265
35, -8.4452, 0.15779, 0.0078506, 0.19915, 1.6405, 0.44545, 2.7426, 0.14476, 2.0821, 0.45331, 151.28, 0.0014882, 0.0022417, 0.087787, 5.9665, 0.68776, 420.66, 0.12582
36, -8.4479, 0.15779, 0.005735, 0.19915, 1.6921, 0.65168, 2.7426, 0.164, 2.0821, 0.45331, 151.28, 0.0014882, 0.0037596, 0.12722, 5.9931, 0.68776, 420.66, 0.12582
