Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -6.1839, 1.7632, 0.0021214, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 407.98, 2.7252, 0.0048156, 0.10572, 11.084, 1.8063, 8.791, 3.0702
1, -6.2861, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 4.0742, 0.0048156, 0.11912, 13.301, 1.8063, 8.791, 3.0702
2, -6.3145, 1.6231, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 14.6, 1.8063, 8.791, 3.0702
3, -6.3192, 1.6421, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 13.301, 1.8063, 8.791, 3.0702
4, -6.3268, 2.814, 0.0027383, 0.023887, 414.05, 0.028051, 14.417, 3.744, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 13.301, 1.8063, 8.791, 3.0702
5, -6.3309, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 412.76, 2.7252, 0.0048156, 0.09426, 13.301, 1.6994, 8.791, 3.0702
6, -6.3314, 2.814, 0.003625, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 3.2313, 0.0043783, 0.10572, 16.682, 1.8063, 8.791, 3.0702
7, -6.3337, 2.1687, 0.0027383, 0.019014, 283.72, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0058604, 0.10572, 13.985, 1.8063, 8.791, 3.0702
8, -6.3385, 2.609, 0.0027383, 0.017025, 208.51, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10225, 15.928, 1.8063, 8.791, 3.0702
9, -6.3488, 2.814, 0.0027383, 0.019014, 226.4, 0.028051, 18.7, 3.562, 0.27896, 0.015881, 437.34, 3.254, 0.0048156, 0.10572, 10.45, 1.8063, 8.791, 3.0702
10, -6.3628, 2.814, 0.0027383, 0.019014, 353.73, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 9.3734, 1.6075, 8.791, 3.0702
11, -6.3656, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0030231, 0.091606, 13.301, 1.8063, 8.791, 3.0702
12, -6.3661, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.34891, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 13.301, 1.5318, 8.791, 3.0702
13, -6.3718, 2.814, 0.002818, 0.019014, 348.59, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10732, 13.301, 1.9874, 8.791, 3.0702
14, -6.3753, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10428, 13.301, 1.8063, 8.791, 3.0702
15, -6.3756, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 15.709, 3.562, 0.35284, 0.015881, 437.34, 3.4121, 0.006618, 0.10572, 13.301, 1.8063, 8.791, 3.0702
16, -6.3769, 2.814, 0.0027383, 0.019014, 379.89, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 397.48, 2.7252, 0.0048156, 0.10572, 13.301, 1.8063, 8.791, 3.0702
17, -6.3796, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0069197, 0.10572, 13.301, 1.8063, 8.791, 3.0702
18, -6.3798, 2.814, 0.0027383, 0.019014, 403.37, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 13.301, 1.8063, 8.791, 3.0702
19, -6.3798, 2.814, 0.0027383, 0.017272, 364.8, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0044984, 0.10572, 13.301, 1.8063, 8.791, 3.0702
20, -6.3804, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0060574, 0.10572, 13.301, 1.8063, 8.791, 3.0702
21, -6.3817, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 13.301, 1.8063, 8.791, 3.0702
22, -6.3818, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 14.04, 1.8063, 8.791, 3.0702
23, -6.3823, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 8.3255, 1.8063, 8.791, 3.0702
24, -6.3829, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 18.704, 1.8063, 8.791, 3.0702
25, -6.3834, 2.814, 0.0027383, 0.019014, 603.2, 0.037602, 20.576, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0043793, 0.10572, 13.301, 1.8063, 8.791, 3.0702
26, -6.3855, 2.1719, 0.0027383, 0.014559, 482.31, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 17.44, 1.6931, 8.791, 3.0702
27, -6.3864, 2.814, 0.0027383, 0.019014, 542.59, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.089335, 13.301, 1.8063, 8.791, 3.0702
28, -6.4061, 2.814, 0.0027383, 0.019014, 220.6, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 439.08, 2.7252, 0.0067681, 0.10572, 13.301, 2.5679, 8.791, 3.0702
29, -6.4088, 2.814, 0.0027383, 0.013669, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 10.757, 1.8063, 8.791, 3.0721
30, -6.4175, 3.887, 0.0027383, 0.019014, 456.08, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0055362, 0.10572, 18.635, 1.8063, 8.791, 3.0702
31, -6.4198, 2.814, 0.0027337, 0.017967, 414.05, 0.028046, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 13.301, 2.3512, 8.791, 3.0702
32, -6.4344, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 13.996, 3.562, 0.35284, 0.015881, 437.34, 2.6267, 0.0048156, 0.10572, 13.301, 1.8063, 8.791, 3.0702
33, -6.4347, 2.814, 0.0027383, 0.011219, 569.55, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 3.5049, 0.0048156, 0.11041, 11.287, 2.6656, 8.791, 3.0702
34, -6.4417, 2.814, 0.0027383, 0.019014, 550.44, 0.019552, 14.417, 3.562, 0.26333, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 18.427, 1.8063, 8.791, 3.0702
35, -6.4523, 2.814, 0.0027383, 0.016907, 414.05, 0.028051, 14.417, 3.562, 0.32788, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 12.56, 1.8063, 8.791, 3.0702
36, -6.4592, 3.131, 0.0027383, 0.010283, 414.05, 0.027515, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10775, 13.301, 1.8063, 8.791, 3.0702
37, -6.4870, 1.8133, 0.0041042, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 13.301, 2.1703, 8.791, 3.0702
38, -6.4901, 1.9921, 0.0027383, 0.019014, 273.95, 0.028051, 12.971, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 13.301, 1.8063, 8.791, 3.0702
39, -6.5063, 3.9209, 0.0033728, 0.019014, 414.05, 0.028051, 14.417, 3.5255, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.077441, 11.204, 1.8063, 8.791, 3.0702
40, -6.5096, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 13.322, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0033963, 0.10572, 13.301, 1.9084, 8.791, 3.0702
41, -6.5380, 2.814, 0.0021883, 0.017122, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.016028, 437.34, 2.7252, 0.0048156, 0.10572, 16.918, 1.8063, 8.791, 3.0702
42, -6.5421, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.075287, 16.426, 1.8063, 8.791, 3.0702
43, -6.5461, 3.2935, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.12358, 17.988, 1.8063, 8.791, 3.0702
44, -6.5476, 2.814, 0.0040038, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.34594, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 13.301, 2.4582, 8.791, 3.0702
45, -6.5483, 2.1296, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.0863, 0.0048156, 0.10572, 13.301, 1.8063, 8.791, 3.0702
46, -6.5712, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 460.45, 4.0836, 0.0048156, 0.10572, 13.301, 1.8063, 8.791, 3.0702
47, -6.6222, 2.814, 0.0027383, 0.019014, 414.05, 0.028051, 17.642, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0048156, 0.10572, 19.57, 1.8063, 8.791, 3.0702
48, -6.6236, 2.814, 0.0027383, 0.019014, 414.05, 0.035968, 14.417, 3.0381, 0.35284, 0.020455, 437.34, 2.7252, 0.0048156, 0.10572, 13.301, 1.8063, 8.791, 3.0702
49, -6.6383, 2.814, 0.0023663, 0.019289, 414.05, 0.028051, 14.417, 3.562, 0.35284, 0.015881, 437.34, 2.7252, 0.0051589, 0.075168, 13.301, 1.8063, 8.791, 3.0702
