Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus
0, -7.5031, 9.9666, 0.71993, 0.15461, 0.18445, 0.30946, 39.702, 0.0027729, 351.53, 0.11098, 0.08014, 0.93492, 0.20141, 0.056598, 5.3392, 9.2352, 233.9, 0.38847, 0.51575,1e-26,0.61763,0.021844
1, -7.5194, 8.6561, 0.78754, 0.15461, 0.17573, 0.44136, 39.975, 0.0031836, 260.67, 0.088053, 0.08014, 1.373, 0.20141, 0.039493, 4.7333, 9.1638, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.025225
2, -7.5314, 8.6837, 1.0054, 0.15461, 0.13501, 0.30946, 25.646, 0.0032644, 394.3, 0.090037, 0.088734, 1.2203, 0.20141, 0.024563, 3.847, 8.3419, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.021844
3, -7.5332, 8.6561, 0.40685, 0.15461, 0.169, 0.30946, 46.366, 0.0032644, 394.3, 0.090469, 0.08014, 0.93492, 0.14813, 0.039493, 3.847, 9.1638, 268.01, 0.46195, 0.51575,1e-26,0.34822,0.021844
4, -7.5370, 8.6561, 0.78754, 0.077444, 0.17573, 0.30946, 39.975, 0.0032644, 394.3, 0.10451, 0.094835, 0.93492, 0.20141, 0.039493, 2.6562, 9.1638, 152.61, 0.46195, 0.68433,1e-26,0.61763,0.021844
5, -7.5373, 8.6561, 0.78754, 0.22168, 0.17573, 0.30946, 39.975, 0.0032644, 309.69, 0.090871, 0.08014, 0.93492, 0.13918, 0.039493, 3.847, 9.1638, 233.9, 0.46932, 0.51575,1e-26,0.55665,0.021844
6, -7.5493, 8.6561, 0.78754, 0.15461, 0.09678, 0.30946, 39.975, 0.0030215, 409.49, 0.11628, 0.08014, 1.3682, 0.20141, 0.039493, 4.582, 9.1638, 166.85, 0.46195, 0.43991,1e-26,0.61763,0.022905
7, -7.5506, 10, 0.78754, 0.2115, 0.17573, 0.30946, 22.683, 0.0036681, 394.3, 0.078419, 0.08014, 0.93492, 0.14357, 0.039493, 3.847, 9.1638, 233.9, 0.48594, 0.51575,1e-26,0.71846,0.021844
8, -7.5516, 5.6827, 0.78754, 0.15461, 0.17573, 0.30946, 39.975, 0.0032644, 332.56, 0.086756, 0.08014, 0.93492, 0.20141, 0.039493, 3.847, 9.1638, 153.83, 0.46195, 0.51575,1e-26,0.61763,0.029903
9, -7.5565, 10, 0.78754, 0.15461, 0.17573, 0.38027, 39.975, 0.0032644, 394.3, 0.078419, 0.11213, 0.93492, 0.20141, 0.039493, 3.847, 5.1821, 233.9, 0.50781, 0.7587,1e-26,0.61763,0.021844
10, -7.5593, 8.6561, 0.78754, 0.15461, 0.17573, 0.30946, 39.975, 0.0032644, 394.3, 0.078419, 0.11967, 0.71831, 0.18571, 0.039493, 3.847, 9.1638, 233.9, 0.49869, 0.51575,1e-26,0.61763,0.027854
11, -7.5620, 10, 0.69529, 0.13375, 0.17573, 0.30946, 39.975, 0.0047633, 394.3, 0.078419, 0.08014, 0.98495, 0.20141, 0.039493, 3.847, 5.4789, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.021844
12, -7.5621, 8.6561, 0.78754, 0.22085, 0.17573, 0.30946, 52.948, 0.0032644, 261.31, 0.078419, 0.08014, 0.93492, 0.20141, 0.039493, 2.0372, 9.1638, 237.29, 0.46195, 0.51575,1e-26,0.61763,0.021844
13, -7.5676, 6.8765, 0.60252, 0.22408, 0.17573, 0.28598, 39.975, 0.004186, 394.3, 0.078419, 0.08014, 0.93492, 0.20141, 0.050244, 3.847, 9.1638, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.030432
14, -7.5677, 10, 0.78754, 0.15461, 0.17573, 0.30946, 52.004, 0.004608, 394.3, 0.078419, 0.08014, 0.93492, 0.20141, 0.039493, 4.9202, 9.1638, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.021844
15, -7.5683, 8.6561, 0.78754, 0.15461, 0.17573, 0.30946, 39.975, 0.0032644, 490.66, 0.10909, 0.1193, 0.70674, 0.14142, 0.039493, 3.4336, 9.1638, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.031167
16, -7.5689, 8.6561, 0.78754, 0.15461, 0.17573, 0.30946, 39.975, 0.0032644, 294.97, 0.078419, 0.08014, 0.93492, 0.20141, 0.039493, 4.0035, 10, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.021844
17, -7.5692, 8.6561, 0.78754, 0.16886, 0.18003, 0.30946, 39.975, 0.0032644, 299.68, 0.078419, 0.08014, 0.93492, 0.20141, 0.047939, 3.847, 9.1638, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.012605
18, -7.5692, 8.6561, 0.78754, 0.15461, 0.17573, 0.30946, 39.975, 0.0032644, 300.73, 0.078419, 0.08014, 0.93492, 0.20141, 0.039493, 3.847, 9.1638, 233.9, 0.46195, 0.51575,1e-26,0.67405,0.011897
19, -7.5692, 8.6561, 0.78754, 0.15461, 0.17573, 0.30946, 39.975, 0.0032644, 302.55, 0.078419, 0.08014, 0.93492, 0.20141, 0.052279, 3.847, 9.1638, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.024091
20, -7.5692, 8.6561, 0.78754, 0.15461, 0.17573, 0.30946, 39.975, 0.004354, 394.3, 0.078419, 0.08014, 0.93492, 0.20141, 0.039493, 3.847, 9.1638, 233.9, 0.46195, 0.49177,1e-26,0.54479,0.021844
21, -7.5692, 8.6561, 0.78754, 0.15461, 0.17573, 0.35876, 39.975, 0.0032644, 291.84, 0.078419, 0.08014, 0.93492, 0.20141, 0.056562, 3.847, 9.1638, 204.77, 0.46195, 0.51575,1e-26,0.61763,0.019976
22, -7.5695, 8.6561, 0.78754, 0.15461, 0.17573, 0.30946, 39.975, 0.0041447, 394.3, 0.078419, 0.08014, 0.93492, 0.20141, 0.039493, 3.847, 5.6679, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.021844
23, -7.5698, 8.6561, 0.78754, 0.22411, 0.17196, 0.28943, 39.975, 0.0032644, 261.62, 0.078419, 0.08014, 0.93492, 0.20141, 0.039493, 3.847, 9.1638, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.021844
24, -7.5701, 8.7484, 0.78754, 0.15461, 0.14564, 0.30946, 39.975, 0.0032644, 394.3, 0.078419, 0.11598, 0.61572, 0.20141, 0.039493, 3.847, 9.1638, 233.9, 0.46195, 0.34989,1e-26,0.67226,0.021844
25, -7.5702, 8.6561, 0.78754, 0.15461, 0.17573, 0.30946, 39.975, 0.004519, 394.3, 0.078419, 0.08014, 0.93492, 0.20141, 0.039493, 3.847, 8.6601, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.021844
26, -7.5705, 8.6561, 0.8154, 0.17711, 0.17573, 0.30946, 39.975, 0.0045825, 394.3, 0.078419, 0.08014, 0.93492, 0.20141, 0.039493, 3.847, 9.1638, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.021844
27, -7.5706, 9.2428, 0.48565, 0.11052, 0.17573, 0.30946, 39.975, 0.0032644, 282.9, 0.078419, 0.08014, 0.93492, 0.20141, 0.039493, 3.847, 9.1638, 233.9, 0.46195, 0.34782,1e-26,0.56944,0.021844
28, -7.5708, 8.6561, 0.78754, 0.15461, 0.17573, 0.30946, 45.375, 0.0032644, 311.84, 0.078419, 0.08014, 0.93492, 0.20141, 0.039493, 3.847, 6.7, 233.9, 0.46195, 0.41394,1e-26,0.61763,0.021844
29, -7.5708, 8.6561, 0.78754, 0.15461, 0.22111, 0.45102, 58.14, 0.0042714, 394.3, 0.07807, 0.08014, 0.93492, 0.20141, 0.039493, 3.7367, 9.1638, 233.9, 0.46195, 0.51575,1e-26,0.61763,0.021844
