Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
0, -11.0889, 1.0518, 1.2235, 0.1, 1.3891, 0.020685, 25.451, 0.13882, 0.21241, 4.7105, 0.3398, 0.61269, 0.0056603, 0.14488, 0.49998, 4.3972, 0.12184, 326.34, 0.023015,0.08175
1, -11.1207, 1.0518, 0.88624, 0.1, 1.3417, 0.020685, 26.456, 0.10709, 0.13397, 5.5199, 0.3398, 0.61269, 0.0056603, 0.11969, 0.65451, 5.6401, 0.083738, 328.11, 0.023015,0.1077
2, -11.1330, 1.0518, 0.88624, 0.1, 1.124, 0.030945, 38.52, 0.10709, 0.21241, 4.7105, 0.3398, 0.42194, 0.0056603, 0.14488, 0.65451, 6.7966, 0.10767, 328.11, 0.023015,0.08175
3, -11.1442, 1.0518, 0.88624, 0.1, 1.3417, 0.020685, 28.192, 0.1532, 0.21241, 4.7105, 0.3398, 0.61269, 0.0056603, 0.14488, 0.65451, 6.7966, 0.086117, 328.11, 0.023015,0.05
4, -11.1466, 1.0518, 0.88624, 0.1, 1.3417, 0.025788, 38.52, 0.10709, 0.23549, 4.7105, 0.3398, 0.42946, 0.0084696, 0.14488, 0.65451, 6.7966, 0.12184, 328.11, 0.023351,0.093586
5, -11.1626, 1.0518, 0.88624, 0.12172, 1.4506, 0.031001, 38.52, 0.10709, 0.2847, 5.9787, 0.3398, 0.35019, 0.0056603, 0.14488, 0.85935, 6.7966, 0.12843, 328.11, 0.023015,0.08175
6, -11.1698, 0.57009, 0.50299, 0.1, 1.3417, 0.022173, 38.52, 0.10709, 0.21241, 4.7105, 0.38775, 0.41487, 0.0048825, 0.14488, 0.65451, 6.7966, 0.12184, 328.11, 0.023015,0.08175
7, -11.1712, 1.5222, 1.2348, 0.1, 1.6945, 0.020685, 38.52, 0.10709, 0.21241, 4.7105, 0.3398, 0.61269, 0.0035009, 0.1115, 0.65451, 6.7966, 0.12184, 328.11, 0.023015,0.08175
8, -11.1794, 1.0518, 0.88624, 0.1, 1.8156, 0.016492, 38.52, 0.10709, 0.21241, 4.7105, 0.20538, 0.38655, 0.0038752, 0.14488, 0.65451, 6.7966, 0.12184, 328.11, 0.023015,0.081708
9, -11.1801, 1.0518, 0.88624, 0.1, 1.788, 0.020685, 38.52, 0.10709, 0.21241, 4.7105, 0.3398, 0.41599, 0.0056603, 0.20197, 0.65451, 6.7966, 0.12184, 328.11, 0.023015,0.08175
10, -11.1822, 1.0518, 0.88624, 0.1, 1.3417, 0.020685, 38.52, 0.10709, 0.21241, 3.8836, 0.18716, 0.51813, 0.0056603, 0.14488, 0.65451, 6.4168, 0.12184, 328.11, 0.023015,0.08175
