Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus
0, -2.2166, 0.0056441, 1.2453, 10, 0.72561, 0.12066, 113.26, 0.032616, 407.17, 4.5582, 0.044475, 0.19789, 0.32464, 0.091304, 3.25, 0.63646, 364.76, 0.12771, 1.7149,0.0001,0.62127,0.0040073
1, -2.2190, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.020832, 407.17, 5.5014, 0.044475, 0.22914, 0.32464, 0.14348, 3.25, 0.64427, 364.76, 0.14247, 1.6836,0.00010075,0.62127,0.0040073
2, -2.2223, 0.0058751, 1.2703, 10, 0.79576, 0.14857, 112.21, 0.032616, 407.17, 5.5014, 0.044475, 0.20384, 0.32464, 0.14348, 3.25, 0.63646, 364.76, 0.12365, 1.6836,0.00010162,0.48645,0.0048145
3, -2.2274, 0.0056441, 1.2507, 10, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 5.5014, 0.044475, 0.20384, 0.32464, 0.15791, 3.25, 0.63646, 290.93, 0.13028, 1.6836,0.00010162,0.62127,0.0040073
4, -2.2424, 0.0056441, 1.2453, 5.4606, 0.72561, 0.19781, 150.08, 0.032616, 407.17, 8.2023, 0.044475, 0.20384, 0.32464, 0.14348, 3.25, 0.63646, 416.3, 0.11513, 2.3408,0.00010162,0.62127,0.0040073
5, -2.2431, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 5.5014, 0.044475, 0.20384, 0.32464, 0.19961, 3.25, 0.63646, 364.76, 0.11513, 1.2607,0.00010162,0.62127,0.0027222
6, -2.2432, 0.0056441, 0.96983, 5.5521, 0.72561, 0.14857, 112.21, 0.032616, 419.99, 5.5014, 0.034845, 0.18206, 0.32464, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.62127,0.0040073
7, -2.2434, 0.0056441, 1.688, 10, 0.4247, 0.14857, 112.21, 0.032616, 407.17, 6.2802, 0.044475, 0.20384, 0.32464, 0.17735, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.62127,0.0040073
8, -2.2457, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.028696, 501.97, 6.2298, 0.044475, 0.10787, 0.32464, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.62127,0.0040073
9, -2.2464, 0.0056203, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 7.4273, 0.044475, 0.20384, 0.43952, 0.082052, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.68933,0.0037164
10, -2.2471, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 113.92, 0.032616, 456.24, 7.5407, 0.044475, 0.24034, 0.35926, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.62178,0.0040073
11, -2.2489, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 5.5014, 0.044475, 0.20384, 0.32464, 0.14348, 3.25, 0.63684, 364.76, 0.11513, 1.6836,0.00010162,0.62127,0.0044867
12, -2.2491, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 5.5014, 0.034146, 0.20384, 0.32464, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6285,0.00010162,0.62127,0.0040073
13, -2.2491, 0.0072436, 1.2453, 7.822, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 5.5014, 0.044475, 0.28529, 0.44809, 0.14348, 3.5575, 0.63646, 364.76, 0.11513, 1.262,0.00010162,0.62127,0.0040073
14, -2.2492, 0.0056441, 1.2453, 10, 0.68898, 0.14857, 112.21, 0.02798, 328.82, 5.5014, 0.044475, 0.20384, 0.32464, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.0001,0.70325,0.0040073
15, -2.2507, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 111.55, 0.032616, 407.17, 5.5014, 0.044475, 0.16484, 0.32464, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.62127,0.0048354
16, -2.2516, 0.0056441, 1.2453, 10, 0.72561, 0.12256, 91.261, 0.032616, 407.17, 5.5014, 0.044475, 0.20384, 0.25929, 0.18163, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.0001,0.70245,0.0036921
17, -2.2517, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.041553, 407.17, 5.5014, 0.044475, 0.20384, 0.41387, 0.091308, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.62127,0.0040191
18, -2.2526, 0.0056441, 1.6079, 10, 0.72561, 0.14857, 112.21, 0.032616, 259.13, 5.7341, 0.03456, 0.20384, 0.32464, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 2.138,0.00012008,0.62127,0.0040073
19, -2.2530, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.041564, 407.17, 5.5014, 0.044475, 0.20384, 0.32464, 0.14348, 3.5675, 0.63646, 364.76, 0.11513, 1.6836,0.0001,0.52595,0.0040073
20, -2.2531, 0.0056441, 1.2453, 10, 0.72561, 0.18057, 112.21, 0.032616, 407.17, 5.5014, 0.043615, 0.23631, 0.32464, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6501,0.00010162,0.62127,0.0040073
21, -2.2534, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 5.5014, 0.044475, 0.20384, 0.26847, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.0001,0.62127,0.0040073
22, -2.2548, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 5.5014, 0.044475, 0.20384, 0.25692, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.83963,0.0030253
23, -2.2554, 0.0056441, 1.2453, 10, 0.60921, 0.14857, 112.21, 0.032616, 407.17, 5.5014, 0.02673, 0.20384, 0.32464, 0.14348, 3.25, 0.63646, 301.67, 0.11513, 1.6836,0.0001,0.62127,0.0040073
24, -2.2555, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 5.9732, 0.035712, 0.20384, 0.32464, 0.090053, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.89645,0.0031893
25, -2.2556, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.033977, 407.17, 5.5014, 0.044475, 0.20384, 0.32464, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.62127,0.0040073
26, -2.2563, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.032616, 244.98, 5.5014, 0.044475, 0.20384, 0.32464, 0.14348, 3.25, 0.63646, 307.7, 0.11513, 1.6836,0.00010162,0.42636,0.0040073
27, -2.2563, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 5.5014, 0.044475, 0.19454, 0.32464, 0.085621, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.62127,0.0040073
28, -2.2566, 0.0056441, 1.2916, 10, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 5.5969, 0.044475, 0.20384, 0.32464, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.62127,0.0040073
29, -2.2568, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 5.5014, 0.044475, 0.20384, 0.32464, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.62127,0.005145
30, -2.2569, 0.0049231, 1.0871, 10, 0.72561, 0.14857, 112.21, 0.032616, 407.17, 5.5014, 0.044475, 0.20384, 0.32464, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.9369,0.00010162,0.62127,0.00552
31, -2.2573, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 102.49, 0.048132, 559.12, 5.5014, 0.044475, 0.20384, 0.32464, 0.19262, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.62127,0.0040073
32, -2.2576, 0.0056441, 1.2453, 10, 0.72561, 0.14857, 98.448, 0.032616, 407.17, 5.5014, 0.044475, 0.20384, 0.44718, 0.14348, 3.25, 0.63646, 364.76, 0.11513, 1.6836,0.00010162,0.62127,0.0040073
