Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
0, -12.9077, 1.6347, 8.2466, 0.31039, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.10575, 0.86762, 0.79599, 0.053998, 0.7578, 71.363, 2.725, 32.641, 0.017052,0.025774
1, -12.9613, 1.5108, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 10, 0.08952, 0.0092092, 0.10575, 0.86762, 0.79599, 0.038306, 0.867, 61.243, 2.725, 36.648, 0.017052,0.025774
2, -12.9653, 1.5382, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.10575, 0.86762, 0.79599, 0.038306, 0.79649, 61.243, 2.725, 36.108, 0.017052,0.025774
3, -13.0209, 1.2393, 6.4737, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.10575, 0.86762, 0.79599, 0.038306, 0.7578, 61.243, 2.725, 40.809, 0.017052,0.025774
4, -13.0269, 1.6849, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.12962, 0.86762, 0.79599, 0.038306, 0.7578, 61.243, 2.725, 39.849, 0.015499,0.025774
5, -13.0398, 1.8531, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.012817, 0.10575, 0.86762, 0.79599, 0.039293, 0.7578, 49.029, 2.725, 32.056, 0.017052,0.025774
6, -13.0875, 1.4301, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 6.6292, 0.08952, 0.0092092, 0.10575, 0.86762, 0.79599, 0.038306, 0.7578, 37.899, 2.725, 42.612, 0.017052,0.025774
7, -13.0955, 1.3825, 8.2466, 0.26918, 0.013478, 2.1302, 0.046225, 8.2223, 0.08952, 0.0092092, 0.10575, 0.86762, 0.79599, 0.038306, 0.7578, 35.401, 2.725, 47.77, 0.017052,0.025774
8, -13.1008, 1.1523, 6.2963, 0.29213, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0079911, 0.061944, 0.86762, 0.79599, 0.038306, 0.7578, 61.243, 2.725, 46.398, 0.017052,0.025774
9, -13.1400, 1.698, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.10575, 0.86762, 0.79599, 0.038306, 0.7578, 61.243, 2.725, 40.687, 0.017052,0.029028
10, -13.1588, 1.2393, 5.3219, 0.33702, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.10575, 0.86762, 0.79599, 0.033811, 0.7578, 61.243, 2.725, 32.348, 0.017052,0.025774
11, -13.1657, 1.2393, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.10575, 0.82008, 0.79599, 0.038306, 0.7578, 61.243, 3.4103, 47.152, 0.017052,0.033876
12, -13.1693, 1.2393, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 9.9789, 0.08952, 0.0092092, 0.10575, 0.86762, 0.79599, 0.038306, 0.7578, 61.243, 3.2362, 52.177, 0.017052,0.013437
13, -13.1750, 1.2393, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.10575, 0.64791, 0.87642, 0.038306, 0.7578, 61.243, 3.7336, 45.656, 0.017052,0.025774
14, -13.1755, 1.2393, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.10575, 0.86762, 0.79599, 0.038306, 0.7578, 61.243, 3.3553, 46.36, 0.017052,0.025774
15, -13.1794, 1.2393, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.10575, 0.86762, 0.79599, 0.038306, 0.7578, 61.243, 3.3994, 48.849, 0.017052,0.025774
16, -13.1888, 1.2393, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.14577, 0.86762, 0.79599, 0.038306, 0.7578, 56.71, 2.913, 61.407, 0.016088,0.025774
17, -13.1910, 1.2393, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.011179, 0.11881, 0.86762, 0.79599, 0.038306, 0.7578, 61.243, 3.0793, 61.407, 0.016421,0.027768
18, -13.1947, 1.2393, 7.579, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0095909, 0.10575, 0.86762, 0.79599, 0.038306, 0.7578, 61.243, 2.725, 52.693, 0.017052,0.025774
19, -13.1960, 1.2393, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.10575, 0.86762, 1.1905, 0.038306, 0.7578, 31.142, 3.7273, 40.862, 0.017052,0.025774
20, -13.1988, 1.2393, 7.6915, 0.26918, 0.014921, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.10575, 0.94204, 0.79599, 0.038306, 0.7578, 86.578, 2.725, 61.407, 0.016185,0.025774
21, -13.2043, 1.2393, 8.2466, 0.26918, 0.011796, 1.6813, 0.046225, 8.2223, 0.08952, 0.0092092, 0.060963, 0.86762, 0.79599, 0.038306, 0.7578, 61.243, 3.1367, 49.904, 0.017052,0.025774
