Rank, Fitness, kfsr, krsr, kfmm, krmm, kf1x, kr1x, kfc, krc, krmmTriCoop, kx2, krx2, S0, R0, X0, X0_stimScale
0, -0.3115, 5.8448, 15.082, 0.057161, 0.014707, 0.083082, 0.11891, 8.2987, 0.61612, 10, 0.013495, 0.045037, 0.013913, 46.409, 12.129, 5.7408
1, -0.3181, 6.1145, 14.173, 0.057161, 0.014707, 0.083082, 0.079901, 8.5603, 0.61612, 10, 0.023414, 0.050735, 0.013913, 46.409, 10.488, 5.7408
2, -0.3183, 5.8448, 15.082, 0.057161, 0.014707, 0.083082, 0.068479, 8.5603, 0.61612, 10, 0.023414, 0.050803, 0.013913, 60.233, 9.3314, 8.0958
3, -0.3187, 5.8448, 17.615, 0.057161, 0.014707, 0.088515, 0.10643, 8.5603, 0.61612, 10, 0.01986, 0.050735, 0.013913, 49.567, 12.129, 5.7408
4, -0.3191, 5.8448, 15.082, 0.057161, 0.014707, 0.083082, 0.11913, 8.5603, 0.61612, 10, 0.023414, 0.057557, 0.013913, 46.409, 12.129, 5.7408
5, -0.3201, 5.8448, 15.082, 0.067105, 0.014707, 0.083082, 0.079901, 8.5603, 0.61612, 10, 0.023414, 0.047783, 0.013913, 53.524, 9.8611, 5.7408
6, -0.3216, 5.8448, 15.082, 0.057161, 0.014707, 0.083082, 0.11007, 8.5603, 0.61612, 10, 0.023414, 0.050735, 0.013913, 46.409, 12.129, 5.7408
7, -0.3222, 5.8448, 15.082, 0.057161, 0.014707, 0.064916, 0.079901, 4.6655, 0.61612, 10, 0.029285, 0.050735, 0.013913, 60.303, 12.129, 5.7901
8, -0.3229, 5.8448, 15.082, 0.057161, 0.017931, 0.083082, 0.10546, 8.5603, 0.54924, 10, 0.023537, 0.050735, 0.013913, 46.409, 12.129, 5.7408
9, -0.3231, 5.8448, 15.082, 0.057161, 0.014707, 0.083082, 0.10901, 8.5603, 0.61612, 10, 0.021398, 0.050735, 0.013913, 45.277, 12.129, 5.7408
10, -0.3231, 5.8448, 15.082, 0.057161, 0.014707, 0.083082, 0.079901, 4.9965, 0.61612, 10, 0.023414, 0.050735, 0.014823, 46.409, 12.129, 5.7408
11, -0.3231, 5.8448, 15.082, 0.057161, 0.014707, 0.083082, 0.10417, 8.5603, 0.61612, 10, 0.023414, 0.050735, 0.013913, 46.409, 12.129, 5.7408
