Rank, Fitness, kfsr, krsr, kfmm, krmm, kf1x, kr1x, kfc, krc, krmmTriCoop, kx2, krx2, S0, R0, X0, X0_stimScale
0, -0.1907, 3.7971, 0.061268, 0.0032163, 13.787, 0.001, 0.069708, 1.5082, 0.27713, 0.17444, 1.0767, 17.682, 7.0449, 2.9556, 385.69, 3.341
1, -0.1922, 2.2972, 0.068926, 0.0032163, 13.787, 0.001, 0.069708, 1.5082, 0.27713, 0.17444, 1.0767, 21.501, 7.0449, 2.9556, 385.69, 3.341
2, -0.1932, 3.7971, 0.10378, 0.0032163, 13.787, 0.0014664, 0.086462, 1.5082, 0.27713, 0.17444, 1.0767, 17.682, 4.4037, 2.9556, 385.69, 3.341
3, -0.1936, 3.7971, 0.10378, 0.0032163, 13.787, 0.0014664, 0.069708, 1.5082, 0.27713, 0.19164, 1.0767, 14.425, 5.0958, 2.9556, 385.69, 3.2025
4, -0.1941, 3.7971, 0.10378, 0.0032163, 15.093, 0.0014664, 0.088823, 1.5082, 0.27713, 0.17444, 1.0767, 17.682, 7.0449, 2.9556, 385.69, 3.341
5, -0.1943, 3.7971, 0.10432, 0.0032163, 13.787, 0.0015121, 0.082982, 1.5007, 0.27713, 0.18664, 1.1931, 17.682, 7.0449, 2.9556, 385.69, 3.341
6, -0.1944, 2.3912, 0.10378, 0.0032163, 7.2887, 0.0014664, 0.087434, 1.5082, 0.27713, 0.17444, 1.0767, 17.682, 7.0449, 2.9556, 385.69, 3.341
7, -0.1944, 3.7971, 0.10378, 0.0032163, 13.787, 0.0014847, 0.098658, 1.5082, 0.15667, 0.17444, 1.0767, 17.682, 7.6033, 2.9556, 385.69, 3.341
8, -0.1945, 5.4217, 0.10378, 0.0032163, 13.787, 0.0014664, 0.10293, 1.5082, 0.17289, 0.17444, 1.0767, 17.682, 8.655, 2.9556, 395.47, 3.341
9, -0.1946, 4.4366, 0.10948, 0.0032163, 13.787, 0.0014664, 0.10112, 1.5082, 0.27713, 0.17444, 1.0767, 17.682, 7.0449, 2.9556, 385.69, 3.341
10, -0.1950, 2.8208, 0.10378, 0.0042843, 13.787, 0.0014664, 0.099782, 1.5082, 0.17429, 0.17444, 1.0767, 17.682, 8.0473, 2.9556, 385.69, 3.341
11, -0.1953, 3.7971, 0.10378, 0.0041284, 13.787, 0.0014664, 0.080665, 1.5082, 0.27713, 0.17444, 1.0767, 17.682, 7.0449, 2.9556, 385.69, 3.341
12, -0.1953, 3.7971, 0.10378, 0.0032163, 13.787, 0.0014664, 0.069708, 1.5082, 0.27713, 0.17444, 1.0767, 17.682, 7.0449, 2.9556, 385.69, 2.9405
13, -0.1954, 3.7971, 0.10378, 0.0032163, 13.787, 0.0013655, 0.10446, 1.5082, 0.23476, 0.17444, 1.0767, 17.682, 7.0449, 2.9556, 385.69, 3.341
14, -0.1954, 3.7971, 0.10378, 0.0032163, 13.787, 0.0014664, 0.097884, 1.5082, 0.27713, 0.17444, 1.0767, 17.682, 9.6352, 2.9556, 385.69, 3.341
