Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eMLoop, eDF, kfdd, stimUpSR, S0, R0, X0, C0, kfcm, krcm, eCA, kclus, eDLoop
22, -7.1886, 1.428, 0.012156, 0.01339, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 741.28, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
23, -7.1887, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 188.3, 0.5727, 48.525, 1.2346, 3.049, 0.39512, 2.7481, 0.16116, 535.47, 1.7047,1.8484, 1e-26,987.18,3.7353, 1e-26, 4.8695
24, -7.1888, 0.96921, 0.012156, 0.015641, 0.18847, 0.61846, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.5439, 0.35783, 2.5885, 0.18151, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
25, -7.1888, 1.428, 0.012156, 0.013988, 0.18847, 1.0502, 0.10676, 0.0026102, 168.85, 0.5727, 48.525, 1.1634, 3.049, 0.35783, 2.8596, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
26, -7.1889, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.063384, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.2639, 0.35783, 2.5804, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
27, -7.1889, 1.428, 0.012156, 0.018845, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 3.9245, 0.12549, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
28, -7.1890, 1.428, 0.012156, 0.015641, 0.18847, 0.91622, 0.11754, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7138, 0.16116, 270.67, 1.7047,1.355, 1e-26,987.18,1.9081, 1e-26, 4.8695
29, -7.1890, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.2441, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
30, -7.1891, 1.428, 0.012156, 0.015641, 0.23605, 1.0502, 0.081041, 0.0037099, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.10807, 535.47, 1.7047,1.4913, 1e-26,1000,3.7353, 1e-26, 4.8695
31, -7.1891, 1.428, 0.012156, 0.015641, 0.18847, 1.1696, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.6749, 3.049, 0.35783, 2.7481, 0.16116, 335.94, 1.7047,1.355, 1e-26,1000,3.7353, 1e-26, 4.8695
32, -7.1892, 1.3048, 0.012156, 0.015641, 0.18847, 1.0502, 0.047331, 0.0023049, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,0.82227, 1e-26,987.18,3.7353, 1e-26, 4.8695
33, -7.1894, 1.428, 0.017875, 0.015641, 0.18847, 1.5568, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 361.79, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
34, -7.1894, 1.428, 0.012156, 0.015641, 0.18847, 0.84978, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.6507,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
35, -7.1895, 1.428, 0.013573, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.24922, 3.2197, 0.14948, 535.47, 1.7047,0.96794, 1e-26,987.18,3.7353, 1e-26, 4.8695
36, -7.1895, 1.428, 0.012156, 0.016842, 0.18847, 1.5073, 0.081041, 0.0026102, 224.21, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.20242, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
37, -7.1897, 1.1844, 0.017116, 0.010236, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.22186, 535.47, 1.7047,1.355, 1e-26,987.18,3.0882, 1e-26, 4.8695
38, -7.1899, 1.428, 0.012156, 0.012775, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.34033, 2.7481, 0.16116, 535.47, 1.7092,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
39, -7.1899, 1.519, 0.01744, 0.014558, 0.18847, 1.3625, 0.078491, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 3.8812, 0.16116, 535.47, 1.7047,1.355, 1e-26,1000,3.7353, 1e-26, 4.8695
40, -7.1899, 1.428, 0.012156, 0.015883, 0.18847, 1.0502, 0.081041, 0.0026102, 183.17, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.14319, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
41, -7.1899, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0021381, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.41537, 2.7481, 0.18212, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
42, -7.1900, 1.1042, 0.014352, 0.015641, 0.1678, 1.0342, 0.082088, 0.0026102, 232.18, 0.5727, 48.525, 1.8076, 2.4579, 0.35783, 1.7261, 0.16116, 535.47, 1.7047,0.97349, 1e-26,987.18,4.9371, 1e-26, 4.8695
43, -7.1901, 1.428, 0.012156, 0.015641, 0.22016, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 342.31, 1.7047,1.355, 1e-26,894.74,3.3573, 1e-26, 4.8695
44, -7.1901, 1.428, 0.0098495, 0.015641, 0.18847, 1.2839, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 0.7293, 3.049, 0.47079, 2.7481, 0.16116, 342.25, 1.7047,1.355, 1e-26,976.13,3.7353, 1e-26, 4.8695
45, -7.1902, 0.79748, 0.012156, 0.018372, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.7999, 0.35783, 3.2815, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
46, -7.1902, 1.428, 0.012156, 0.015641, 0.18847, 0.9764, 0.081041, 0.0026102, 168.85, 0.57846, 48.525, 1.2346, 4.3067, 0.35783, 2.7481, 0.21476, 651.51, 1.7047,1.355, 1e-26,807.5,3.7353, 1e-26, 4.8695
47, -7.1905, 1.428, 0.012156, 0.020816, 0.18847, 0.64336, 0.081041, 0.0026102, 216.29, 0.5727, 48.525, 0.98135, 3.049, 0.46485, 4.0717, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.9429
48, -7.1905, 1.428, 0.01419, 0.010101, 0.18847, 1.0413, 0.081237, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.21244, 2.7481, 0.20786, 535.47, 1.7047,0.79666, 1e-26,987.18,3.7353, 1e-26, 4.8695
49, -7.1907, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0022322, 168.85, 0.5727, 48.525, 1.7496, 3.049, 0.35783, 2.7481, 0.19593, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
50, -7.1908, 1.428, 0.01255, 0.015641, 0.18847, 1.0502, 0.089464, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 1.8714, 0.16116, 374.22, 1.7047,1.355, 1e-26,738.18,3.218, 1e-26, 4.8695
