Rank, Fitness, kfsr, krsr_nostim, krsr_stim, kfmm, krmm, kfc_nostim, kfc_stim, S0, R0, D1, D1_over_D2
4812, -140.1812, 10, 352.4, 1.0217, 0.014433, 3.113, 0.062198, 0.0085075, 9.5148, 433.19, 0.05, 4.0471
4813, -140.1881, 10, 791.12, 0.24603, 0.0047443, 0.015302, 0.01992, 0.0058548, 10, 500, 0.05, 1.7233
4814, -140.1941, 10, 126.21, 0.27188, 0.053756, 1.7839, 0.048393, 0.015916, 7.0678, 500, 0.10267, 5
4815, -140.2096, 10, 436.37, 0.24908, 0.030753, 2.7639, 0.055619, 0.02144, 7.4743, 500, 0.05, 2.1607
4816, -140.2163, 10, 137.74, 0.1, 0.04441, 2.8538, 0.05614, 0.018389, 2.3316, 500, 0.079602, 1.5
4817, -140.2259, 4.3845, 264.29, 0.88167, 0.04415, 0.96331, 0.076051, 0.012411, 9.8702, 232.01, 0.08477, 5
4818, -140.2393, 10, 69.607, 0.1, 0.014809, 0.27353, 0.021829, 0.0083072, 10, 500, 0.090097, 2.5497
4819, -140.2468, 10, 149.74, 0.17658, 0.0099274, 0.44164, 0.044675, 0.0081119, 5.7414, 500, 0.1237, 5
4820, -140.2623, 10, 226.54, 0.40428, 0.020509, 1.0219, 0.030702, 0.02369, 10, 239.12, 0.088256, 1.7306
4821, -140.2664, 3.9014, 470.66, 0.10477, 0.019181, 0.040211, 0.056939, 0.019887, 10, 500, 0.13925, 5
4822, -140.2709, 10, 231.2, 0.1, 0.011792, 0.34373, 0.04031, 0.0075883, 8.6457, 500, 0.05, 5
4823, -140.2818, 10, 87.945, 0.50415, 0.044669, 0.41055, 0.010664, 0.013982, 5.1627, 500, 0.05, 1.5
4824, -140.2944, 7.4391, 339.22, 0.26221, 0.035477, 1.0492, 0.066201, 0.0067127, 10, 500, 0.051687, 1.8655
4825, -140.3145, 6.4814, 67.499, 0.88042, 0.059841, 2.1872, 0.04315, 0.0132, 6.9651, 500, 0.0594, 1.5
4826, -140.3156, 10, 221.21, 0.2975, 0.098069, 0.94545, 0.01856, 0.0057034, 9.1049, 500, 0.085576, 5
4827, -140.3161, 10, 284.77, 0.6081, 0.0025301, 1.5111, 0.053411, 0.0080018, 9.1518, 500, 0.05, 1.5
4828, -140.3192, 10, 45.445, 0.83904, 0.060937, 2.3905, 0.022021, 0.0079993, 4.685, 500, 0.057725, 5
4829, -140.3227, 10, 393.54, 0.77433, 0.052321, 2.0617, 0.086256, 0.019175, 6.5439, 500, 0.05, 3.2743
4830, -140.3234, 7.7953, 205.43, 0.1, 0.019105, 2.6853, 0.071174, 0.024664, 10, 500, 0.05, 5
4831, -140.3261, 10, 303.54, 0.38061, 0.025671, 2.0006, 0.080205, 0.012411, 5.0107, 316.61, 0.080944, 5
4832, -140.3491, 9.6933, 257.81, 27.509, 0.3131, 0.5834, 0.091266, 0.032378, 2.5975, 179.15, 0.25553, 5
4833, -140.3820, 4.1517, 117.79, 0.22903, 0.0015778, 0.15901, 0.076174, 0.020883, 10, 500, 0.09901, 5
4834, -140.3916, 10, 361.21, 0.1754, 0.014063, 0.10756, 0.074345, 0.022411, 6.7793, 197.85, 0.05, 4.4816
4835, -140.3942, 6.3375, 46.055, 0.30239, 0.001, 1.8342, 0.072925, 0.017252, 5.695, 500, 0.072133, 2.1037
4836, -140.4076, 8.8655, 235.01, 0.66645, 0.028973, 2.6075, 0.038796, 0.0078282, 5.823, 500, 0.05, 3.2819
4837, -140.4365, 7.1361, 43.451, 0.18504, 0.077791, 1.3749, 0.033646, 0.018619, 3.8284, 500, 0.082763, 2.9626
4838, -140.4502, 7.7247, 513.02, 0.11634, 0.0064797, 0.2388, 0.050191, 0.0059441, 10, 500, 0.083691, 5
4839, -140.4633, 9.0648, 289.85, 0.80439, 0.060817, 0.90322, 0.054533, 0.019859, 10, 368, 0.12395, 2.6477
4840, -140.4668, 6.5309, 173.37, 0.1, 0.021367, 0.2716, 0.027106, 0.02082, 10, 500, 0.12709, 5
4841, -140.4690, 10, 180.14, 0.88395, 0.013021, 1.7945, 0.016632, 0.0094848, 10, 500, 0.05, 2.2625
4842, -140.4818, 10, 257.18, 0.24816, 0.010076, 0.19558, 0.041115, 0.011582, 9.3627, 500, 0.05, 4.6347
4843, -140.4990, 10, 61.12, 0.34333, 0.18908, 2.1322, 0.012489, 0.012008, 1.8809, 500, 0.1171, 5
4844, -140.5054, 10, 144.55, 0.44692, 0.071635, 0.20879, 0.048726, 0.01685, 2.4885, 500, 0.12823, 3.7517
4845, -140.5097, 5.4583, 395.11, 1.0232, 0.050771, 1.7136, 0.077683, 0.014542, 8.0474, 493.38, 0.099682, 5
4846, -140.5617, 10, 323.35, 0.49023, 0.03353, 2.522, 0.049202, 0.012411, 8.7998, 493.38, 0.1274, 5
4847, -140.5953, 10, 200.11, 0.1, 0.020779, 0.20734, 0.035073, 0.022672, 10, 235.71, 0.05, 5
4848, -140.6020, 10, 230.55, 0.50157, 0.054639, 0.98062, 0.041278, 0.014266, 8.8046, 246.78, 0.054523, 5
4849, -140.6400, 10, 30.736, 0.48619, 0.011284, 0.030032, 0.014243, 0.013522, 7.0513, 457.96, 0.086679, 5
4850, -140.6408, 10, 648.95, 0.11555, 0.0072523, 0.35375, 0.052242, 0.014892, 9.3627, 500, 0.05, 5
4851, -140.6485, 7.21, 66.506, 0.25803, 0.043113, 3.1703, 0.052616, 0.018868, 1.708, 493.38, 0.05, 2.4062
4852, -140.6534, 4.2422, 15.619, 0.26364, 0.033997, 3.4484, 0.046845, 0.011962, 0.81591, 500, 0.05, 3.2048
4853, -140.6572, 10, 224.24, 0.1241, 0.021808, 0.015183, 0.046879, 0.012006, 1.2438, 500, 0.065417, 5
4854, -140.6937, 10, 829.09, 0.35859, 0.022459, 0.22029, 0.060424, 0.023166, 10, 390.22, 0.15516, 4.2841
4855, -140.7138, 10, 363.02, 0.11078, 0.020107, 0.3211, 0.075427, 0.02276, 4.0425, 500, 0.11965, 5
4856, -140.7142, 10, 344.1, 0.4215, 0.023108, 0.88016, 0.042386, 0.017634, 5.5449, 493.38, 0.10949, 2.5656
4857, -140.7219, 6.2839, 602.21, 0.45232, 0.020084, 0.080348, 0.05288, 0.018213, 6.8801, 500, 0.086679, 1.585
4858, -140.7429, 10, 123.58, 0.23748, 0.014447, 0.47753, 0.017357, 0.007562, 10, 500, 0.05, 3.5614
4859, -140.7636, 10, 613.98, 0.60142, 0.02202, 0.45678, 0.057019, 0.0098618, 7.3105, 500, 0.05, 5
4860, -140.7668, 10, 224.24, 0.40173, 0.0047603, 0.61789, 0.078609, 0.0095312, 9.1287, 424.77, 0.05, 5
4861, -140.7682, 1.6218, 24.895, 0.1, 0.021143, 0.46173, 0.058473, 0.0085226, 6.7516, 500, 0.095676, 5
4862, -140.7872, 7.84, 334.91, 0.54927, 0.0037513, 1.512, 0.037726, 0.018609, 9.4182, 493.38, 0.05, 1.5
4863, -140.8036, 3.083, 157.19, 0.4438, 0.006066, 0.28267, 0.082178, 0.021179, 10, 500, 0.05, 1.5
4864, -140.8175, 6.4301, 502.33, 0.48426, 0.011338, 0.27353, 0.061846, 0.024272, 10, 444.21, 0.064077, 3.9928
4865, -140.8379, 10, 293.84, 0.49006, 0.030753, 0.59566, 0.078848, 0.023464, 4.6799, 493.38, 0.060735, 5
4866, -140.8482, 10, 64.43, 0.30657, 0.010196, 0.43854, 0.046503, 0.013878, 4.0703, 500, 0.05, 2.0078
4867, -140.8998, 9.1595, 219.81, 53.306, 0.020065, 1.2333, 0.22022, 0.071814, 2.401, 267.78, 0.050139, 1.5403
4868, -140.9052, 10, 28.337, 0.90251, 0.043416, 0.16282, 0.010621, 0.014309, 7.7651, 500, 0.11728, 5
4869, -140.9190, 10, 297.34, 0.67468, 0.025072, 1.5545, 0.036562, 0.0062565, 9.9667, 500, 0.05, 2.8663
4870, -140.9239, 10, 205.62, 0.11119, 0.064762, 3.1904, 0.055348, 0.02161, 3.2888, 443.95, 0.071688, 1.5
4871, -140.9288, 10, 121.06, 0.82003, 0.030316, 1.798, 0.035078, 0.017723, 7.2256, 500, 0.11461, 5
4872, -140.9574, 10, 58.655, 1.0352, 0.042117, 2.5224, 0.032071, 0.008039, 3.9473, 500, 0.05, 5
4873, -140.9698, 10, 309.59, 0.30157, 0.014862, 0.34494, 0.052433, 0.010767, 9.3627, 399.02, 0.10053, 1.5
4874, -140.9729, 0.91696, 57.587, 0.11297, 0.05608, 0.15441, 0.022316, 0.0098826, 9.9345, 500, 0.05, 5
4875, -140.9941, 6.8828, 113.97, 0.11297, 0.001195, 0.052498, 0.038358, 0.014891, 9.6216, 500, 0.05, 5
4876, -141.0002, 10, 35.61, 0.23383, 0.028151, 1.7484, 0.044182, 0.011677, 2.7726, 500, 0.05, 5
4877, -141.0287, 10, 706.89, 0.49578, 0.018506, 0.19039, 0.069688, 0.01561, 6.9137, 444.21, 0.05, 1.5
4878, -141.0361, 10, 287.92, 0.98328, 0.019917, 2.3822, 0.028098, 0.014812, 6.9752, 500, 0.068644, 1.9206
4879, -141.0367, 10, 224.24, 0.89301, 0.012835, 1.6172, 0.084502, 0.02253, 3.9001, 500, 0.05, 5
4880, -141.0458, 10, 224.24, 0.1, 0.030753, 1.7018, 0.072196, 0.022143, 7.897, 500, 0.061974, 5
4881, -141.0696, 10, 346.08, 0.12277, 0.021215, 0.3324, 0.041981, 0.013704, 10, 500, 0.14227, 5
4882, -141.0726, 10, 256.71, 0.30157, 0.022756, 0.059224, 0.021937, 0.01486, 3.242, 444.21, 0.13528, 2.1088
4883, -141.0829, 9.6671, 224.24, 0.86773, 0.059828, 0.12481, 0.030953, 0.013071, 2.3745, 500, 0.05, 5
4884, -141.0887, 7.8549, 515.14, 0.1, 0.017263, 0.27353, 0.077787, 0.01229, 10, 500, 0.1467, 5
4885, -141.1071, 5.4984, 120.23, 0.2052, 0.022449, 0.32534, 0.026728, 0.016673, 7.0884, 500, 0.1465, 5
4886, -141.1728, 10, 470.86, 0.43709, 0.018077, 0.27353, 0.015084, 0.016174, 10, 500, 0.10585, 3.9974
4887, -141.1847, 7.5054, 427.3, 0.30372, 0.023024, 0.090758, 0.054358, 0.0091905, 10, 500, 0.082064, 1.5
4888, -141.2023, 10, 200.85, 0.50639, 0.045905, 0.34285, 0.071539, 0.021934, 10, 173.81, 0.15924, 5
4889, -141.2074, 1.9092, 31.499, 0.28577, 0.030753, 1.677, 0.056184, 0.012411, 8.241, 500, 0.050277, 5
4890, -141.2109, 10, 30.501, 0.65265, 0.055039, 1.3592, 0.026459, 0.012688, 4.8295, 493.38, 0.10421, 5
4891, -141.2252, 10, 17.554, 0.17846, 0.058035, 2.726, 0.014135, 0.013359, 10, 500, 0.0515, 2.5887
4892, -141.2345, 10, 43.141, 0.1, 0.0060592, 0.19583, 0.014704, 0.021906, 10, 362.87, 0.11145, 5
4893, -141.2468, 10, 37.026, 0.35812, 0.045783, 2.8952, 0.011992, 0.015438, 9.8381, 500, 0.052307, 5
4894, -141.2554, 9.1546, 561.16, 0.1708, 0.0076336, 0.052976, 0.037145, 0.020575, 10, 500, 0.15354, 5
4895, -141.2721, 4.4724, 224.24, 0.15567, 0.001, 1.9495, 0.063214, 0.011239, 10, 500, 0.05, 1.5
4896, -141.2791, 10, 48.056, 0.9241, 0.047868, 1.5548, 0.013838, 0.0073923, 5.9658, 500, 0.10985, 5
4897, -141.3028, 3.8682, 304.32, 0.77171, 0.048108, 0.13834, 0.063925, 0.014652, 9.0714, 497.52, 0.084143, 1.5706
4898, -141.3224, 10, 287.75, 0.62573, 0.16472, 0.86164, 0.068568, 0.0091671, 3.1502, 500, 0.05, 4.0831
4899, -141.3257, 10, 507.07, 0.1, 0.018052, 0.19289, 0.066947, 0.010125, 5.352, 500, 0.15606, 4.3548
4900, -141.3349, 10, 89.299, 0.1, 0.046488, 2.6559, 0.03714, 0.012054, 8.0867, 500, 0.05, 1.5
4901, -141.3419, 10, 149.84, 0.77076, 0.055818, 2.5601, 0.067974, 0.01736, 5.823, 500, 0.11053, 5
4902, -141.3471, 3.9502, 65.336, 0.53758, 0.038509, 0.31109, 0.075855, 0.01878, 2.2184, 500, 0.053855, 2.715
4903, -141.3576, 7.7952, 349.16, 0.10202, 0.011792, 0.1554, 0.036282, 0.015395, 5.6933, 500, 0.05, 3.6947
4904, -141.3792, 4.5788, 21.708, 0.1, 0.087481, 1.7781, 0.014806, 0.01144, 5.8295, 500, 0.05, 4.1009
4905, -141.3901, 9.1092, 187.45, 0.23214, 0.0054394, 0.24699, 0.049324, 0.020448, 9.5101, 461.67, 0.05, 2.7674
4906, -141.3997, 10, 10.728, 0.1, 0.010385, 0.11371, 0.034351, 0.017052, 3.3829, 236.02, 0.085049, 4.1516
4907, -141.4085, 10, 427.3, 0.41337, 0.015121, 0.16937, 0.079184, 0.0096146, 9.3167, 351.67, 0.086679, 1.5
4908, -141.4155, 10, 163.02, 0.76111, 0.017568, 3.3653, 0.04315, 0.011978, 3.4023, 500, 0.067518, 5
4909, -141.4401, 10, 593.92, 0.28563, 0.01208, 0.41188, 0.03193, 0.014538, 10, 433.76, 0.05, 1.5
4910, -141.4624, 10, 271.78, 0.1, 0.01377, 0.12639, 0.035762, 0.018968, 7.6367, 500, 0.05839, 2.32
4911, -141.4882, 1.4685, 20.072, 0.1866, 0.003228, 0.30556, 0.040422, 0.0086625, 10, 500, 0.05, 3.8674
4912, -141.4912, 0.69851, 9.8563, 0.1, 0.01138, 0.47806, 0.041115, 0.022442, 9.4133, 431.64, 0.057806, 2.2555
4913, -141.5204, 10, 347.61, 0.36126, 0.26758, 4.5082, 0.062787, 0.014765, 10, 348.37, 0.14509, 4.3001
4914, -141.5258, 10, 240.91, 0.27195, 0.030753, 0.7732, 0.071923, 0.012411, 8.258, 500, 0.065185, 5
4915, -141.5314, 10, 676.23, 0.29794, 0.20051, 5.222, 0.029491, 0.023445, 10, 497.52, 0.096827, 5
4916, -141.5368, 10, 148.28, 0.74709, 0.054482, 2.3808, 0.04315, 0.019926, 7.3731, 500, 0.05, 1.5
4917, -141.5412, 10, 818.21, 0.56176, 0.016152, 0.45623, 0.074562, 0.010327, 10, 500, 0.05, 1.5
4918, -141.5469, 10, 105.89, 0.50639, 0.058221, 2.3142, 0.049301, 0.018356, 5.1667, 479.97, 0.098886, 2.426
4919, -141.5638, 4.6162, 14.808, 0.36208, 0.0096901, 3.4534, 0.012776, 0.014672, 7.0919, 500, 0.071087, 4.9049
4920, -141.6105, 8.3836, 22.894, 0.66906, 0.013399, 1.1396, 0.02194, 0.010936, 7.4161, 461.79, 0.053194, 5
4921, -141.6469, 10, 62.342, 0.68416, 0.0053158, 0.095946, 0.016009, 0.020847, 8.6732, 500, 0.089669, 5
4922, -141.6740, 10, 10.62, 0.82072, 0.028068, 2.3651, 0.063125, 0.014697, 0.84102, 500, 0.075031, 1.5
4923, -141.6920, 10, 342.18, 0.18298, 0.011792, 0.017874, 0.018023, 0.018241, 6.6269, 500, 0.14661, 4.6121
4924, -141.7093, 5.4542, 47.364, 0.2975, 0.045329, 2.2928, 0.048816, 0.013897, 5.4374, 500, 0.054362, 5
4925, -141.7281, 10, 250.26, 0.36809, 0.029477, 1.5843, 0.045291, 0.010363, 9.1949, 288.74, 0.084851, 5
4926, -141.7442, 10, 180.64, 0.1, 0.0091098, 0.10596, 0.027815, 0.012935, 10, 500, 0.12371, 3.9271
4927, -141.7619, 6.9567, 93.668, 0.26665, 0.022687, 0.01, 0.013129, 0.015336, 4.9876, 500, 0.12396, 3.8572
4928, -141.7744, 10, 82.055, 0.28739, 0.0028512, 0.40674, 0.031606, 0.0092996, 10, 500, 0.05, 5
4929, -141.7771, 5.7367, 389.32, 0.40722, 0.041013, 0.26693, 0.067134, 0.010559, 6.1717, 361.73, 0.16632, 5
4930, -141.8178, 10, 167.29, 0.12725, 0.001, 1.1544, 0.064099, 0.012411, 5.06, 384.75, 0.074803, 5
4931, -141.8259, 2.4371, 25.692, 0.81764, 0.039234, 2.4553, 0.05807, 0.016432, 4.9611, 500, 0.11159, 5
4932, -141.8304, 10, 380.06, 1.0049, 0.0053596, 3.0839, 0.082953, 0.024051, 6.7241, 264.58, 0.08477, 2.3648
4933, -141.8331, 10, 224.24, 1.0202, 0.014096, 2.4581, 0.065469, 0.007049, 6.5903, 500, 0.082989, 5
4934, -141.8367, 10, 443.46, 0.46078, 0.019026, 0.27353, 0.035651, 0.022432, 10, 500, 0.05, 2.9426
4935, -141.8463, 10, 285.94, 0.12277, 0.0064127, 0.48202, 0.059914, 0.0070247, 8.1656, 480.83, 0.05, 5
4936, -141.8678, 8.1268, 475.83, 47.092, 0.17321, 0.46706, 0.17165, 0.02807, 5.2581, 295.15, 0.08329, 1.9226
4937, -141.8891, 10, 409.51, 0.1, 0.017014, 0.63996, 0.058218, 0.012177, 8.2137, 500, 0.13068, 3.194
4938, -141.8933, 7.9514, 114.73, 0.12504, 0.017284, 0.3782, 0.019853, 0.0061201, 10, 500, 0.10261, 4.6302
4939, -141.9093, 10, 40.152, 0.57112, 0.050849, 3.5701, 0.011708, 0.0098557, 6.9096, 500, 0.05, 2.9196
4940, -141.9218, 3.3783, 47.762, 0.7755, 0.030753, 0.66543, 0.04315, 0.015576, 7.2995, 242.53, 0.05, 2.3701
4941, -141.9244, 10, 748.33, 0.1, 0.015349, 0.31436, 0.069796, 0.017135, 9.3627, 500, 0.05, 1.5195
4942, -141.9315, 10, 693.52, 0.5928, 0.014204, 0.14778, 0.041115, 0.0054971, 10, 461.09, 0.12555, 5
4943, -141.9325, 10, 224.24, 0.42307, 0.036166, 2.4793, 0.077423, 0.019327, 9.7089, 500, 0.072356, 5
4944, -141.9433, 10, 390.57, 0.73281, 0.046689, 0.12689, 0.044219, 0.009796, 10, 376.21, 0.074002, 2.1891
4945, -141.9461, 10, 236.39, 0.92095, 0.050579, 1.3177, 0.04315, 0.0099153, 10, 500, 0.12797, 5
4946, -141.9685, 10, 469.51, 0.53173, 0.0031012, 0.042113, 0.071974, 0.022557, 8.7151, 500, 0.078593, 5
4947, -141.9699, 8.3793, 86.276, 0.11881, 0.017814, 1.804, 0.064584, 0.0085104, 5.0183, 500, 0.097051, 5
4948, -141.9972, 1.034, 13.415, 0.63717, 0.030838, 3.2135, 0.049092, 0.019239, 8.3956, 500, 0.05, 5
4949, -142.0340, 10, 202.69, 0.42427, 0.0081214, 0.19626, 0.048868, 0.016407, 9.3627, 404.77, 0.05, 3.573
4950, -142.0510, 10, 93.491, 0.25348, 0.050849, 1.0868, 0.017335, 0.017402, 7.4516, 500, 0.055787, 5
4951, -142.0513, 10, 156.96, 0.1, 0.32768, 1.936, 0.038547, 0.0098135, 4.6345, 500, 0.14146, 5
4952, -142.0632, 4.6002, 43.38, 19.122, 0.67791, 13.372, 0.19318, 0.11536, 2.9413, 166.45, 0.10504, 5
4953, -142.1061, 10, 253.22, 0.58103, 0.048099, 0.048298, 0.011788, 0.010688, 3.3283, 476.11, 0.15506, 5
4954, -142.1365, 10, 556.46, 0.10905, 0.0077307, 0.16493, 0.036998, 0.024475, 10, 500, 0.05, 4.3545
4955, -142.1441, 10, 92.462, 0.19794, 0.078095, 1.7735, 0.03974, 0.02154, 3.6492, 494.82, 0.082763, 1.5
4956, -142.1595, 10, 171.98, 0.82322, 0.041845, 2.4879, 0.050732, 0.016015, 9.1501, 500, 0.077976, 1.5
4957, -142.1599, 10, 508.64, 0.52749, 0.019442, 0.18978, 0.07888, 0.012581, 10, 444.21, 0.05, 1.5
4958, -142.1618, 7.5287, 144.55, 0.30281, 0.043088, 1.1646, 0.03756, 0.007994, 3.0844, 500, 0.05, 1.7752
4959, -142.2030, 10, 244.57, 0.32715, 0.010601, 0.47493, 0.072363, 0.016245, 10, 500, 0.095309, 3.857
4960, -142.2076, 4.1229, 35.894, 0.1, 0.057511, 2.9911, 0.034423, 0.016462, 6.3667, 230.86, 0.080662, 4.9352
4961, -142.2119, 10, 51.614, 0.76405, 0.017619, 0.68976, 0.039605, 0.016123, 4.6554, 500, 0.075703, 5
4962, -142.2120, 10, 236.23, 1.0602, 0.011453, 0.51705, 0.036246, 0.012411, 9.3451, 492.03, 0.11494, 2.3289
4963, -142.2481, 3.577, 135.85, 0.87928, 0.038184, 1.6284, 0.04006, 0.022411, 6.6946, 500, 0.05, 5
4964, -142.2684, 10, 509.24, 0.42863, 0.0026913, 0.31085, 0.041115, 0.023414, 10, 500, 0.05, 1.634
4965, -142.2690, 10, 431.85, 0.37769, 0.014919, 1.0501, 0.050063, 0.012411, 10, 376.39, 0.12755, 5
4966, -142.2842, 4.6581, 114.8, 0.522, 0.026425, 0.61708, 0.042586, 0.0066104, 6.4603, 500, 0.090506, 1.5
4967, -142.2901, 10, 405.13, 0.46629, 0.032118, 0.42804, 0.081665, 0.010302, 10, 500, 0.099175, 2.5125
4968, -142.2981, 10, 190.52, 0.72277, 0.053213, 0.027158, 0.011384, 0.014096, 3.841, 500, 0.086266, 5
4969, -142.3023, 10, 323.21, 0.53758, 0.023845, 3.1599, 0.085774, 0.017954, 10, 207.22, 0.053274, 5
4970, -142.3072, 10, 316.14, 0.22154, 0.022623, 0.11496, 0.029568, 0.0092407, 10, 500, 0.067469, 5
4971, -142.3095, 10, 87.195, 0.1, 0.057648, 0.93286, 0.024361, 0.019946, 4.5755, 500, 0.11936, 3.4319
4972, -142.3132, 10, 58.905, 0.3149, 0.064936, 3.0994, 0.021184, 0.010039, 3.2666, 500, 0.094804, 1.5
4973, -142.3205, 10, 739.35, 0.1, 0.017745, 0.04248, 0.046136, 0.0077024, 9.3627, 500, 0.15153, 3.6179
4974, -142.3281, 10, 18.745, 0.98183, 0.050668, 1.1698, 0.04898, 0.012765, 0.3084, 500, 0.11117, 4.6859
4975, -142.3433, 9.7926, 224.24, 0.91022, 0.00723, 0.80704, 0.084647, 0.016299, 10, 500, 0.05, 2.2615
4976, -142.3740, 5.5073, 268.85, 30.28, 0.22586, 1.5339, 0.16624, 0.026774, 7.4178, 148.6, 0.1079, 3.7973
4977, -142.3816, 10, 281.5, 0.18167, 0.27958, 0.91719, 0.025529, 0.016942, 8.5404, 500, 0.11981, 5
4978, -142.4186, 10, 55.099, 0.40222, 0.022122, 0.31782, 0.021322, 0.011509, 1.4078, 444.21, 0.14065, 5
4979, -142.4205, 10, 254.46, 0.88348, 0.039789, 0.95951, 0.04315, 0.0068409, 8.7318, 500, 0.12257, 5
4980, -142.4227, 10, 402.95, 0.2384, 0.02008, 0.73883, 0.024485, 0.018379, 8.6053, 500, 0.11073, 3.1654
4981, -142.4307, 10, 394, 0.28283, 0.060645, 1.4014, 0.0287, 0.024392, 8.4179, 500, 0.05, 5
4982, -142.4317, 10, 260.51, 0.48923, 0.010087, 2.8623, 0.059384, 0.017346, 5.6655, 500, 0.10043, 5
4983, -142.4341, 10, 98.494, 0.53758, 0.051436, 3.0929, 0.04315, 0.019232, 5.8525, 213.23, 0.065193, 5
4984, -142.4399, 7.2881, 161.5, 0.34866, 0.01031, 0.27353, 0.022107, 0.02111, 10, 500, 0.12834, 5
4985, -142.4557, 9.1546, 337.04, 0.1, 0.001, 0.26239, 0.036282, 0.010327, 8.4015, 500, 0.05, 5
4986, -142.4603, 10, 368.3, 0.36741, 0.015364, 0.96839, 0.077261, 0.0085164, 10, 421, 0.05, 5
4987, -142.4879, 10, 412.62, 0.1, 0.017531, 0.33216, 0.026404, 0.0075691, 10, 500, 0.15057, 5
4988, -142.5005, 10, 471.93, 0.41629, 0.011792, 0.20949, 0.061599, 0.015736, 5.4022, 449.02, 0.05, 1.5
4989, -142.5098, 7.6597, 600.87, 0.2245, 0.014106, 0.35238, 0.069433, 0.024078, 8.8737, 312.93, 0.067667, 3.5614
4990, -142.5300, 10, 339.37, 0.35297, 0.047957, 0.15497, 0.040055, 0.020323, 5.823, 500, 0.098018, 5
4991, -142.5308, 10, 224.1, 0.24662, 0.013509, 0.53459, 0.05834, 0.01229, 5.5499, 500, 0.10259, 1.5
4992, -142.5598, 10, 224.24, 1.0548, 0.0365, 1.2433, 0.040535, 0.01744, 9.4832, 500, 0.05, 5
4993, -142.5620, 10, 131.68, 0.2975, 0.063181, 0.039098, 0.017658, 0.01483, 4.882, 500, 0.083854, 2.5895
4994, -142.5681, 5.5473, 335.37, 0.35786, 0.0055894, 0.11541, 0.034437, 0.023988, 10, 473.37, 0.053332, 5
4995, -142.5730, 6.7874, 37.989, 0.18142, 0.0036324, 0.3708, 0.034907, 0.015252, 9.0288, 415.69, 0.05, 5
4996, -142.5806, 5.6878, 329.55, 0.18595, 0.010497, 0.042757, 0.05148, 0.017014, 6.9812, 500, 0.098516, 1.5
4997, -142.5916, 6.7155, 444.1, 0.26954, 0.014044, 0.54464, 0.064669, 0.0079172, 10, 473.56, 0.05, 5
4998, -142.5964, 9.497, 6.8902, 0.1, 0.001, 0.22447, 0.016297, 0.018991, 5.845, 500, 0.05, 5
4999, -142.5971, 3.9657, 206.92, 0.31699, 0.001, 0.1915, 0.046163, 0.018841, 10, 500, 0.079945, 1.5
5000, -142.6089, 4.8853, 40.825, 0.24423, 0.0084201, 0.12666, 0.015822, 0.0097044, 4.8957, 368.07, 0.086679, 5
5001, -142.6195, 10, 282.04, 59.371, 0.36848, 0.15467, 0.080379, 0.056092, 5.9211, 132.81, 0.26176, 5
5002, -142.6218, 10, 320.66, 0.1, 0.030753, 1.6175, 0.022668, 0.0065559, 10, 500, 0.077494, 1.5
5003, -142.6401, 10, 564.59, 0.1846, 0.0086524, 0.45885, 0.063813, 0.0062773, 9.3627, 500, 0.090151, 3.5614
5004, -142.6700, 9.778, 224.24, 0.1, 0.015937, 2.8096, 0.04315, 0.012411, 5.3153, 500, 0.087817, 1.5
5005, -142.6777, 10, 16.101, 0.67076, 0.051761, 3.4466, 0.014521, 0.017569, 4.4527, 492.36, 0.05, 3.4113
5006, -142.6846, 3.3636, 139.36, 0.64558, 0.0035692, 1.7445, 0.03964, 0.018062, 8.7313, 500, 0.05, 5
5007, -142.6912, 10, 175.5, 1.0694, 0.024638, 1.5677, 0.041706, 0.022813, 10, 500, 0.059935, 1.5
5008, -142.6917, 10, 26.393, 0.36152, 0.0068095, 0.45091, 0.017525, 0.016407, 7.3728, 497.77, 0.05, 2.4028
5009, -142.6919, 10, 392.9, 0.30422, 0.012847, 0.5352, 0.018605, 0.013683, 9.3627, 500, 0.079996, 5
5010, -142.7189, 10, 253.54, 0.55766, 0.071544, 0.76348, 0.054779, 0.017948, 8.8858, 392.47, 0.082763, 1.5
5011, -142.7199, 10, 441.52, 0.1, 0.016103, 0.23418, 0.069361, 0.0072364, 10, 500, 0.069276, 5
5012, -142.7285, 10, 149.02, 0.52192, 0.022026, 1.6191, 0.034423, 0.007665, 3.6662, 500, 0.05, 1.7606
5013, -142.7420, 10, 175.75, 0.41971, 0.058414, 1.1002, 0.078659, 0.018697, 9.6119, 164.19, 0.095587, 5
5014, -142.7427, 7.9142, 169.72, 0.93862, 0.049771, 2.295, 0.085247, 0.0077906, 3.5993, 500, 0.05, 5
5015, -142.7459, 10, 646.54, 0.1, 0.10365, 0.70096, 0.034423, 0.017876, 10, 500, 0.05, 4.3864
5016, -142.7480, 10, 88.854, 43.651, 0.37401, 18.866, 0.23205, 0.10302, 2.9254, 186.53, 0.098799, 4.3196
5017, -142.7556, 10, 85.22, 0.39427, 0.033993, 1.798, 0.026025, 0.02201, 6.0502, 500, 0.05, 5
5018, -142.7573, 10, 460.28, 0.50683, 0.011792, 0.3523, 0.072247, 0.0062077, 10, 500, 0.10947, 5
5019, -142.7579, 10, 243.04, 0.1, 0.016284, 0.14117, 0.018926, 0.018267, 4.6874, 500, 0.058764, 4.5104
