Rank, Fitness, kfsr, krsr_nostim, krsr_stim, kfmm, krmm, kfc_nostim, kfc_stim, S0, R0, D1, D1_over_D2
47, -66.8861, 10, 456.53, 0.47696, 0.011792, 0.26356, 0.047918, 0.01148, 8.3321, 500, 0.074004, 3.5614
48, -66.9042, 10, 394.37, 0.1, 0.0078883, 0.25476, 0.052776, 0.021865, 10, 282.44, 0.086679, 3.5392
49, -66.9919, 10, 96.424, 0.13255, 0.034266, 1.4147, 0.056256, 0.01144, 2.427, 500, 0.090406, 3.1449
50, -67.2031, 10, 460.45, 0.40077, 0.10106, 3.7105, 0.030589, 0.012658, 10, 500, 0.087736, 3.4748
51, -67.3181, 3.3873, 57.983, 0.53758, 0.045018, 1.4071, 0.04315, 0.012574, 3.1554, 500, 0.083808, 5
52, -67.3823, 10, 521.83, 0.1, 0.022265, 0.27353, 0.04553, 0.010327, 7.0442, 500, 0.084483, 4.2251
53, -67.5238, 10, 234.09, 0.11457, 0.0034761, 0.52317, 0.03658, 0.014334, 9.3627, 500, 0.063397, 3.3694
54, -67.6335, 10, 173.38, 0.30128, 0.049303, 1.9316, 0.059347, 0.017646, 5.8912, 350.52, 0.08477, 5
55, -67.6796, 10, 427.3, 0.25812, 0.021081, 0.2248, 0.059569, 0.023851, 7.8769, 257.02, 0.12024, 5
56, -67.7192, 7.2819, 191.59, 0.16731, 0.011792, 0.28858, 0.062081, 0.010255, 4.3171, 500, 0.092287, 5
57, -67.8321, 10, 487.13, 0.18583, 0.0050823, 0.20714, 0.043604, 0.010327, 9.0831, 500, 0.079586, 4.7317
58, -67.9002, 10, 93.871, 0.1, 0.030753, 0.34653, 0.061706, 0.016294, 1.6751, 341.75, 0.085638, 5
59, -68.0658, 10, 387.95, 0.1, 0.010159, 0.22172, 0.044197, 0.010628, 9.3627, 500, 0.086679, 5
60, -68.0770, 5.2913, 38.894, 0.66256, 0.026169, 1.6726, 0.042248, 0.012411, 2.9762, 500, 0.08477, 5
61, -68.4095, 10, 430.7, 0.65815, 0.042912, 2.6597, 0.053591, 0.012411, 9.0644, 500, 0.071945, 5
62, -68.4124, 2.2855, 122.59, 0.2724, 0.012992, 0.18522, 0.024605, 0.012404, 10, 500, 0.088282, 4.3647
63, -68.4418, 10, 193.29, 0.52765, 0.020881, 0.51464, 0.06747, 0.012411, 3.6119, 500, 0.091439, 5
64, -68.5773, 10, 308.96, 0.95218, 0.026484, 2.7273, 0.072696, 0.019396, 7.8242, 354.44, 0.077921, 5
65, -68.7056, 10, 411.57, 0.34949, 0.022646, 0.51025, 0.066727, 0.023938, 9.9317, 238.82, 0.11189, 4.6898
66, -68.7324, 10, 260.24, 0.87511, 0.026005, 0.46151, 0.065999, 0.020677, 4.5839, 338.84, 0.11307, 5
67, -68.7385, 8.9108, 287.31, 0.3603, 0.019893, 0.5212, 0.054629, 0.013155, 7.8886, 423.69, 0.077702, 2.8823
68, -68.7397, 10, 320.8, 0.1, 0.057964, 1.9748, 0.030864, 0.014381, 10, 374.72, 0.093041, 5
69, -68.7996, 10, 570.53, 0.47191, 0.01513, 0.25403, 0.048082, 0.01229, 10, 500, 0.084679, 5
70, -68.8994, 10, 305.95, 0.5935, 0.058981, 2.684, 0.066813, 0.023423, 10, 256.51, 0.082351, 5
71, -68.9092, 10, 419.33, 1.0127, 0.038855, 0.35593, 0.043703, 0.0087814, 5.7307, 500, 0.11433, 3.6404
72, -68.9200, 10, 282.95, 0.13271, 0.018984, 0.33646, 0.050501, 0.01358, 4.4559, 500, 0.11052, 5
73, -69.0258, 10, 153.47, 0.86438, 0.022472, 3.361, 0.046201, 0.014766, 5.823, 500, 0.062118, 2.8606
74, -69.2126, 10, 262.49, 0.24114, 0.076821, 7.1908, 0.026653, 0.012369, 9.714, 500, 0.078882, 5
75, -69.2456, 10, 454.35, 0.59275, 0.31858, 6.2758, 0.057374, 0.011337, 7.7753, 500, 0.10018, 5
76, -69.3965, 7.5806, 141.52, 0.48456, 0.03917, 3.0955, 0.04315, 0.014274, 5.4133, 500, 0.093632, 5
77, -69.4696, 10, 179.19, 0.44962, 0.04265, 3.548, 0.029997, 0.012411, 8.3527, 500, 0.067502, 5
78, -69.7016, 9.0086, 175.02, 0.40844, 0.048435, 2.5305, 0.04913, 0.010423, 4.6874, 500, 0.097716, 4.3384
79, -69.9471, 9.5956, 355.76, 0.2148, 0.20051, 3.5092, 0.032602, 0.014219, 10, 444.49, 0.096827, 3.0491
80, -70.0215, 10, 330.37, 0.62177, 0.041341, 3.4803, 0.04315, 0.012411, 8.096, 500, 0.091268, 4.8746
81, -70.0474, 10, 170.92, 1.0137, 0.037733, 2.6661, 0.067009, 0.0127, 3.7789, 500, 0.069218, 5
82, -70.0613, 9.3354, 577.96, 0.53126, 0.01555, 0.21792, 0.041115, 0.013957, 9.3627, 500, 0.11369, 5
83, -70.0934, 10, 249.34, 0.22993, 0.061196, 0.84415, 0.03925, 0.012321, 3.6397, 500, 0.082763, 3.5843
84, -70.2254, 3.7275, 125.39, 0.30157, 0.019979, 0.11152, 0.026873, 0.01102, 5.0942, 444.21, 0.097077, 3.5614
85, -70.2406, 10, 344.41, 0.91298, 0.02559, 0.50171, 0.053882, 0.012411, 5.6464, 440.11, 0.11698, 5
86, -70.3539, 10, 617.44, 0.2631, 0.16507, 2.7403, 0.034277, 0.012658, 9.0707, 500, 0.10617, 5
87, -70.4110, 5.7818, 74.351, 0.23463, 0.027898, 3.585, 0.058445, 0.021549, 4.0498, 397.07, 0.071049, 4.1771
88, -70.4135, 10, 287.85, 0.64384, 0.052988, 2.6162, 0.0406, 0.012214, 8.4282, 403.91, 0.08477, 2.7412
89, -70.5285, 8.4378, 441.31, 0.5623, 0.040712, 0.29052, 0.063422, 0.014134, 6.0579, 365.48, 0.099584, 4.1652
90, -70.6041, 10, 141.96, 0.50924, 0.030575, 1.0276, 0.029403, 0.010467, 5.823, 500, 0.082699, 5
91, -70.7309, 10, 224.24, 0.8005, 0.058842, 2.8213, 0.04315, 0.012411, 4.4809, 500, 0.078123, 5
92, -70.8024, 10, 472.19, 0.1, 0.01219, 0.27353, 0.027296, 0.013617, 10, 476.34, 0.081403, 5
93, -70.8295, 10, 444.88, 0.95077, 0.05402, 2.3229, 0.045445, 0.010225, 8.9431, 500, 0.1029, 5
94, -70.9176, 10, 304.16, 0.1, 0.031287, 1.3334, 0.041465, 0.014595, 10, 432.55, 0.097384, 4.3203
95, -71.0959, 10, 347.61, 0.18935, 0.15358, 6.9465, 0.047602, 0.0097099, 10, 500, 0.084972, 5
96, -71.1819, 10, 232.08, 0.35167, 0.00165, 0.17375, 0.029276, 0.011719, 10, 500, 0.061224, 4.0244
97, -71.2972, 10, 149.22, 0.90653, 0.012814, 1.0234, 0.04315, 0.018259, 4.9845, 500, 0.074755, 5
98, -71.3812, 6.5069, 296.47, 0.21641, 0.014974, 0.2003, 0.049965, 0.013747, 6.6233, 500, 0.11312, 5
99, -71.4359, 10, 427.3, 0.27437, 0.023272, 0.27514, 0.041115, 0.010095, 9.3627, 410.38, 0.1104, 5
100, -71.6098, 10, 487.54, 0.26073, 0.021946, 0.32518, 0.049384, 0.010938, 10, 409.11, 0.10633, 3.5614
101, -71.6270, 10, 220.01, 0.46039, 0.051562, 2.4894, 0.034423, 0.013124, 6.825, 500, 0.084752, 2.2406
102, -71.6541, 5.3657, 224.24, 0.53758, 0.049399, 1.0546, 0.022896, 0.012666, 9.5553, 500, 0.08477, 5
103, -71.7513, 10, 285.94, 0.39865, 0.072287, 2.5002, 0.057475, 0.012441, 6.7295, 500, 0.097461, 5
104, -71.7543, 4.729, 132.36, 0.92768, 0.034997, 2.4128, 0.044535, 0.017743, 7, 500, 0.08477, 5
105, -71.7758, 10, 265.83, 0.31468, 0.050698, 2.8533, 0.031169, 0.016014, 10, 500, 0.076867, 5
106, -71.8520, 10, 122.16, 0.7393, 0.026426, 2.6167, 0.047472, 0.012411, 4.4426, 434.5, 0.085295, 5
107, -71.9897, 7.7314, 427.3, 0.11436, 0.019983, 0.44717, 0.065945, 0.016451, 10, 355.57, 0.076572, 4.4535
108, -72.0454, 10, 422.97, 0.53758, 0.033862, 1.4494, 0.040155, 0.012153, 9.6692, 500, 0.10771, 4.9065
109, -72.0559, 10, 501.71, 0.38086, 0.31251, 3.9055, 0.02943, 0.014998, 10, 500, 0.094985, 2.8932
110, -72.1605, 9.0857, 257.03, 0.40822, 0.058342, 1.5536, 0.043049, 0.013043, 9.0413, 387.15, 0.07527, 5
111, -72.1758, 9.686, 192.61, 0.17743, 0.021589, 0.39915, 0.036282, 0.012089, 5.1051, 500, 0.073825, 5
112, -72.2623, 4.5991, 89.988, 0.53695, 0.092907, 3.2391, 0.033353, 0.013575, 6.7078, 500, 0.10123, 4.9875
113, -72.2849, 10, 376.91, 0.87577, 0.053832, 3.2992, 0.053371, 0.020512, 9.5264, 299.41, 0.091488, 4.5287
114, -72.2915, 3.0295, 101.33, 0.10003, 0.018077, 0.52254, 0.05929, 0.012967, 8.5443, 421.31, 0.078899, 5
115, -72.3336, 10, 384.25, 0.53758, 0.027333, 2.1545, 0.03509, 0.016335, 10, 500, 0.075962, 4.2123
116, -72.3730, 4.8765, 304.43, 0.1675, 0.01682, 0.312, 0.0335, 0.01427, 10, 500, 0.087555, 5
117, -72.4135, 10, 265.05, 0.49086, 0.022147, 0.54564, 0.027636, 0.010597, 10, 500, 0.086679, 4.1508
118, -72.6093, 10, 97.389, 0.62623, 0.048085, 3.4812, 0.071721, 0.022367, 3.8603, 326.6, 0.073248, 5
119, -72.6105, 10, 193.91, 0.87479, 0.030753, 1.0259, 0.054784, 0.012925, 4.8316, 500, 0.087211, 2.775
120, -72.6691, 6.4882, 202.4, 0.1, 0.09168, 1.9794, 0.043616, 0.011326, 8.051, 500, 0.082763, 3.7517
121, -72.7218, 9.1546, 27.067, 0.17946, 0.015689, 0.44843, 0.04545, 0.012524, 0.62199, 500, 0.080093, 5
122, -72.7340, 10, 241.86, 0.72911, 0.030205, 1.7136, 0.06902, 0.018115, 7.0381, 331.44, 0.065258, 3.5851
123, -72.8225, 10, 393.77, 0.23591, 0.01996, 0.3124, 0.022261, 0.010327, 10, 500, 0.075471, 5
124, -72.8233, 10, 641.01, 0.28856, 0.018864, 0.33115, 0.065173, 0.011544, 10, 444.21, 0.09078, 5
125, -72.8617, 10, 156.99, 0.16167, 0.086954, 3.1525, 0.04997, 0.015882, 3.0025, 500, 0.082763, 3.7517
126, -72.8880, 7.3997, 305.92, 0.1, 0.29744, 4.6695, 0.022442, 0.014889, 10, 500, 0.10035, 5
127, -72.9190, 10, 427.3, 0.35499, 0.010752, 0.12795, 0.066392, 0.015246, 8.3432, 331.87, 0.086679, 5
128, -72.9653, 10, 172.37, 0.16625, 0.011792, 0.22606, 0.038529, 0.015906, 4.8884, 326.44, 0.086679, 4.1428
129, -72.9674, 10, 119.92, 0.46135, 0.076669, 2.6929, 0.04877, 0.018808, 2.8525, 461.39, 0.082763, 2.7496
