timePoints,preCluster,postCluster,pre,post
0.0,1.628065347447863,10.412443827569136,74.35066106628922,297.8622124900882
0.1,2.3898134888553204,11.408399469793975,75.00400378832065,297.9355642429006
0.2,3.1509313088949322,12.401003656990396,75.66898319352069,298.009240320677
0.30000000000000004,3.910734654248772,13.389354188043713,76.33287219577515,298.0828131395002
0.4,4.668602347088305,14.372168806592438,76.99513009412144,298.15618426565993
0.5,5.4237650746255355,15.34791339527402,77.65508587834304,298.22923687290483
0.6000000000000001,6.175350061790647,16.314912000723723,78.31197778623856,298.301841230768
0.7000000000000001,6.922418881176035,17.271432674356582,78.96498565574679,298.37386255590746
0.8,7.663998181140753,18.215753898848043,79.61325823906432,298.4451650155456
0.9,8.399105195148596,19.146213858121158,80.25593540166187,298.51561615549025
1.0,9.126768854559668,20.06124619642862,80.89216671742167,298.5850891424021
1.1,9.846046122948893,20.959405570291807,81.52112580085769,298.6534653114712
1.2000000000000002,10.55603454587562,21.839384102770516,82.1420213555004,298.7206353233267
1.3,11.255882112299112,22.700020618758174,82.75410585927783,298.7865001519277
1.4000000000000001,11.944794613830464,23.54030486284473,83.3566820571047,298.850971612726
1.5,12.622040816539267,24.359377560183955,83.94910754218961,298.9139724984853
1.6,13.286955679778966,25.156527064022132,84.53079762193263,298.9754365590944
1.7000000000000002,13.938941973518286,25.93118377350455,85.10122677996807,299.035308221963
1.8,14.577470840133802,26.682912833268098,85.65992921111088,299.093542184979
1.9000000000000001,15.202081331048142,27.41140578790676,86.20649845531823,299.150102929244
2.0,15.812379108037318,28.116471548301618,86.74058629708074,299.2049641407561
2.1,16.40803449831687,28.798026859324523,87.26190109556664,299.25810808284984
2.2,16.98877999058333,29.456086733832702,87.77020562165772,299.3095249529969
2.3000000000000003,17.55440738959575,30.09075502240181,88.26531459266761,299.3592122268915
2.4000000000000004,18.104764728016818,30.702215228619508,88.74709199134531,299.40717400797206
2.5,18.63975298459246,31.290721619611993,89.21544821215396,299.45342038905767
2.6,19.15932267823205,31.856590800815738,89.67033709608273,299.49796683307187
2.7,19.663470405369274,32.40019379116154,90.11175291299364,299.5408335809982
2.8000000000000003,20.152235358213602,32.92194861404627,90.53972732456214,299.5820450909952
2.9000000000000004,20.625695887527804,33.42231341377929,90.95432638394749,299.6216295094712
3.0,21.083966136622344,33.90178008881447,91.35564759563778,299.6596181742964
3.1,21.52719278978337,34.36086840420375,91.74381707358853,299.69604514959946
3.2,21.95555192726026,34.800120673503564,92.11898679103493,299.73094679866205
3.3000000000000003,22.369245974104054,35.22009693668422,92.48133191124887,299.7643613910752
3.4000000000000004,22.768500822129496,35.62137056904497,92.8310482679249,299.79632874050867
3.5,23.153563078796843,36.00452432180751,93.16834995613897,299.8268898736213
3.6,23.524697443864646,36.37014683312388,93.49346703397102,299.8560867334893
3.7,23.882184356353637,36.71882933156803,93.80664345937686,299.88396189747874
3.8000000000000003,24.226317670093195,37.051162922218936,94.10813505239832,299.9105583386258
3.9000000000000004,24.557402538334664,37.367736109886266,94.39820763933778,299.9359192057688
4.0,24.875753412984842,37.669132653359625,94.67713529701263,299.96008762952897
4.1000000000000005,25.18169216567909,37.955929592278835,94.94519870329285,299.98310654197786
4.2,25.475546524279476,38.2286957102657,95.20268376306748,300.0050185311981
