Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
30, -0.4928, 6.857, 44.078, 0.4651, 0.41126, 0.21476, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.011615, 0.041979, 0.23088, 61.263, 0.062777, 60.741, 0.069389
31, -0.4929, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.91097, 0.0095857, 0.026819, 0.23088, 45.293, 0.062777, 60.741, 0.069389
32, -0.4929, 6.857, 44.078, 0.59718, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.94422, 0.012795, 0.041979, 0.23001, 45.293, 0.062777, 60.741, 0.069389
33, -0.4930, 6.857, 44.078, 0.31409, 0.41126, 0.21275, 0.010047, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
34, -0.4931, 6.857, 44.078, 0.484, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.86213, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
35, -0.4932, 6.857, 44.078, 0.4651, 0.4026, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.58392, 0.0064942, 0.041979, 0.23088, 45.293, 0.06066, 60.741, 0.069389
36, -0.4936, 6.857, 44.078, 0.55376, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.014188, 0.022644, 0.18962, 45.293, 0.062777, 60.741, 0.069389
37, -0.4936, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.03671, 0.23088, 45.293, 0.062777, 60.543, 0.069389
38, -0.4936, 6.857, 44.078, 0.33324, 0.36013, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.052418, 0.2039, 45.293, 0.062777, 60.741, 0.069389
39, -0.4936, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.21154, 45.293, 0.062777, 60.741, 0.069389
40, -0.4936, 6.857, 44.078, 0.36887, 0.49619, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23091, 50.622, 0.062777, 60.741, 0.069389
41, -0.4936, 6.857, 44.078, 0.4651, 0.59489, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 33.84, 0.062777, 60.741, 0.069389
42, -0.4936, 6.857, 44.078, 0.25033, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
43, -0.4936, 6.857, 44.078, 0.30989, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
44, -0.4936, 6.857, 44.078, 0.27876, 0.33431, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.010117, 0.041979, 0.22643, 37.606, 0.062777, 60.741, 0.069389
