Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.7012, 9.0003, 0.001, 0.024874, 0.18619, 1.5027, 406.25, 0.34554, 0.53895, 3.2398, 122.75, 2.6711, 0.00095968, 0.013643, 9.5637, 0.01, 1.3956, 5.2348
1, -0.7160, 9.0003, 0.001, 0.033364, 0.18619, 1.5027, 567.14, 0.34554, 0.37453, 4.3646, 168.69, 2.3114, 0.00095968, 0.013643, 9.5637, 0.01, 1.3956, 5.2348
2, -0.7318, 9.0003, 0.001, 0.024874, 0.107, 1.5027, 406.25, 0.34554, 0.37453, 3.2398, 152.03, 3.4137, 0.00095968, 0.013643, 9.5637, 0.01, 1.3333, 5.2348
3, -0.7325, 9.0003, 0.001, 0.024874, 0.18619, 1.5027, 406.25, 0.34554, 0.43498, 3.2398, 168.69, 2.6711, 0.00095968, 0.013643, 9.5637, 0.01, 1.3956, 5.5871
4, -0.7354, 9.0003, 0.001, 0.029722, 0.20741, 1.5027, 406.25, 0.34554, 0.37453, 3.2398, 168.69, 2.6711, 0.00095968, 0.013643, 7.2812, 0.01, 1.3956, 5.2348
5, -0.7373, 9.0003, 0.001, 0.030971, 0.22005, 1.5027, 406.25, 0.34554, 0.37453, 3.2398, 168.69, 2.0971, 0.0011432, 0.013643, 9.5637, 0.01, 1.3956, 5.2348
6, -0.7391, 9.4741, 0.001, 0.024874, 0.18619, 1.5027, 406.25, 0.34554, 0.47668, 4.0574, 168.69, 2.5385, 0.00095968, 0.013643, 9.5637, 0.01, 1.3956, 5.2348
7, -0.7464, 9.0003, 0.001, 0.024874, 0.18619, 2.1461, 406.25, 0.34554, 0.55196, 3.2398, 168.69, 2.6711, 0.00095968, 0.013643, 9.5637, 0.01, 1.3956, 5.2348
8, -0.7532, 10, 0.001, 0.024874, 0.098534, 1.5027, 461.63, 0.34554, 0.37453, 3.2398, 168.69, 2.6711, 0.00095968, 0.012671, 9.7993, 0.01, 1.3956, 5.2348
9, -0.7533, 9.0003, 0.001, 0.024874, 0.18619, 1.5153, 406.25, 0.34554, 0.39953, 3.2398, 168.69, 2.6711, 0.00095968, 0.013643, 7.9297, 0.01, 1.3956, 5.2348
10, -0.7534, 10, 0.001, 0.024874, 0.18619, 1.5027, 406.25, 0.34554, 0.37453, 3.2398, 184.42, 2.6711, 0.00095968, 0.013643, 13.773, 0.01, 1.3956, 5.2348
11, -0.7535, 10, 0.001, 0.026743, 0.18619, 1.5027, 424.15, 0.34554, 0.37453, 3.2398, 168.69, 2.6711, 0.00095968, 0.013643, 7.6222, 0.01, 1.3956, 5.2348
12, -0.7539, 9.0003, 0.001, 0.029166, 0.18619, 1.7614, 406.25, 0.34554, 0.37453, 3.2398, 209.55, 2.6711, 0.00095968, 0.017235, 9.5637, 0.01, 1.3956, 5.2348
13, -0.7562, 9.0003, 0.001, 0.024874, 0.25907, 1.5027, 406.25, 0.34554, 0.51097, 3.2398, 138.06, 2.6711, 0.00095968, 0.013643, 9.5637, 0.01, 1.3956, 5.2348
14, -0.7579, 9.0003, 0.001, 0.033076, 0.18619, 1.5027, 406.25, 0.34554, 0.37453, 3.2398, 168.69, 2.6711, 0.00067631, 0.013643, 9.5637, 0.01, 1.3956, 5.2348
15, -0.7593, 10, 0.001, 0.027285, 0.18619, 1.7202, 550.36, 0.34554, 0.37453, 3.2398, 168.69, 2.6711, 0.00095968, 0.013643, 9.5637, 0.01, 1.3956, 5.2348
16, -0.7610, 7.3448, 0.001, 0.03314, 0.18619, 1.5027, 406.25, 0.34554, 0.35645, 3.2398, 168.69, 2.4589, 0.00095968, 0.013643, 11.978, 0.01, 1.3956, 5.2348
17, -0.7621, 9.0003, 0.001, 0.024874, 0.17591, 1.4527, 406.25, 0.34554, 0.37453, 3.2398, 168.69, 2.6711, 0.0010306, 0.013643, 9.5637, 0.01, 1.3956, 5.2348
18, -0.7633, 9.0003, 0.001, 0.025813, 0.18619, 1.5027, 406.25, 0.34554, 0.37453, 3.2398, 168.69, 2.6711, 0.00095968, 0.013643, 9.5637, 0.01, 1.3956, 5.2348
19, -0.7638, 9.0003, 0.001, 0.024874, 0.19691, 1.5027, 406.25, 0.34554, 0.37453, 3.2398, 168.69, 3.8346, 0.0012264, 0.013643, 9.92, 0.01, 1.3903, 5.2348
