Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.9321, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.26981, 0.78371, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.034447, 0.53649, 1.0678
1, -0.9370, 2.2638, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.74407, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.03866, 0.53649, 1.0678
2, -0.9379, 2.7801, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 5.0469, 1, 0.00039858, 0.22028, 12.105, 0.033657, 0.53649, 1.0678
3, -0.9565, 2.9799, 0.001, 0.84006, 0.025587, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.2237, 0.00039858, 0.20081, 10.485, 0.031868, 0.53649, 1.0678
4, -0.9625, 1.681, 0.001, 0.81437, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.2237, 0.00039858, 0.12589, 12.105, 0.056958, 0.53649, 1.0678
5, -0.9654, 3.0985, 0.001, 0.84006, 0.03395, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.4189, 0.00039858, 0.22028, 11.47, 0.030649, 0.53649, 1.0678
6, -0.9828, 1.7457, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.77018, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.056958, 0.53649, 1.0678
7, -1.0032, 3.0985, 0.001, 1.0865, 0.028441, 0.048336, 5.6743, 2.7139, 0.34975, 0.67865, 5.0942, 1.2237, 0.00024833, 0.22028, 7.5426, 0.056958, 0.60769, 1.0678
8, -1.0061, 3.0985, 0.001, 0.87322, 0.028441, 0.052549, 5.6743, 2.7139, 0.3469, 0.67865, 5.2781, 1.0705, 0.00023111, 0.11958, 12.105, 0.056958, 0.58952, 1.0678
9, -1.0067, 3.772, 0.001, 0.84006, 0.028441, 0.038718, 5.6743, 1.5691, 0.25334, 0.74104, 6.358, 1.2237, 0.00039858, 0.22028, 6.5276, 0.065542, 0.73122, 1.3962
10, -1.0094, 4.2118, 0.001, 0.84006, 0.023442, 0.048336, 5.6743, 1.7486, 0.25396, 0.67865, 5.0942, 1.2237, 0.00052984, 0.22028, 12.105, 0.038529, 0.67, 1.0678
11, -1.0104, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.035992, 0.53649, 1.0678
12, -1.0271, 1.5543, 0.0010948, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.2237, 0.00039858, 0.22028, 8.9335, 0.056958, 0.53649, 1.0678
13, -1.0299, 2.0886, 0.001, 1.1309, 0.028441, 0.048336, 5.6743, 2.1823, 0.25396, 0.67865, 3.4548, 1.2237, 0.00039858, 0.20803, 13.535, 0.056958, 0.53649, 1.0678
14, -1.0449, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.67, 0.25396, 0.67865, 5.0942, 1.2237, 0.00044195, 0.22028, 12.105, 0.038861, 0.53649, 1.0678
15, -1.0479, 2.2412, 0.001, 0.84006, 0.028441, 0.060112, 5.6743, 2.7139, 0.352, 0.67865, 5.0942, 1.2237, 0.00050145, 0.22028, 12.105, 0.056958, 0.53649, 1.0678
16, -1.0510, 3.0985, 0.001, 0.84006, 0.028583, 0.048336, 5.6743, 1.817, 0.25396, 0.9526, 3.413, 1.2237, 0.00039858, 0.22028, 8.6182, 0.056958, 0.53649, 1.0678
17, -1.0553, 4.1817, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.32704, 0.79893, 5.0942, 1.2237, 0.000259, 0.17044, 12.105, 0.040108, 0.53649, 1.0678
18, -1.0556, 1.7078, 0.001, 0.84006, 0.028441, 0.048336, 3.6297, 2.7139, 0.25396, 0.67865, 4.564, 1.2237, 0.00039858, 0.15082, 12.105, 0.037348, 0.4953, 1.0678
19, -1.0576, 1.8177, 0.001, 0.84006, 0.023169, 0.048336, 5.6743, 2.7139, 0.25396, 0.5689, 5.0942, 1.2237, 0.00039858, 0.22028, 13.425, 0.056958, 0.55731, 1.0678
20, -1.0630, 3.0985, 0.001, 0.77865, 0.028441, 0.048336, 6.5051, 2.7139, 0.27795, 0.67865, 5.0942, 1.272, 0.00039858, 0.22028, 12.105, 0.039507, 0.53649, 1.0678
21, -1.0674, 3.0985, 0.001, 0.64791, 0.028441, 0.048336, 5.6743, 2.7139, 0.29293, 0.82968, 5.0942, 1.2438, 0.00039858, 0.22028, 11.904, 0.056958, 0.53649, 1.0678
22, -1.0753, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.72753, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.04338, 0.53649, 1.0678
23, -1.0845, 2.5199, 0.001, 0.8697, 0.037564, 0.05696, 5.6743, 2.7139, 0.26266, 0.67865, 5.0942, 1, 0.00030422, 0.22028, 13.642, 0.056958, 0.53649, 1.0678
24, -1.0885, 3.0985, 0.001, 0.84006, 0.041517, 0.056546, 5.6743, 2.7139, 0.25396, 0.67865, 7.1363, 1.3655, 0.00036447, 0.22028, 12.105, 0.033982, 0.53649, 1.222
25, -1.0971, 3.0985, 0.001, 0.84006, 0.035528, 0.048336, 6.7511, 2.7139, 0.25396, 0.67865, 6.4645, 1.0731, 0.00039858, 0.22028, 12.105, 0.03288, 0.53649, 1.0678
26, -1.1033, 3.0985, 0.001, 0.68554, 0.019981, 0.048336, 5.6743, 2.7139, 0.27439, 0.67865, 5.0942, 1.3173, 0.00039858, 0.26859, 12.105, 0.041901, 0.53649, 1.0678
27, -1.1060, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.33525, 0.67865, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.056958, 0.57243, 1.0678
28, -1.1062, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.23891, 1.013, 6.6898, 1.2237, 0.00039858, 0.22028, 12.105, 0.04227, 0.53649, 0.87175
29, -1.1067, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 7.4179, 2.7139, 0.25396, 0.82061, 5.0942, 1.1588, 0.00039858, 0.22028, 12.105, 0.056958, 0.53649, 1.0678
30, -1.1083, 1.8374, 0.001, 0.84006, 0.028441, 0.047301, 3.9916, 2.7139, 0.25396, 0.67865, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.03366, 0.53649, 1.0678
31, -1.1128, 3.0985, 0.001, 0.84006, 0.028441, 0.049478, 5.6743, 2.7139, 0.34155, 0.66914, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.056958, 0.53649, 1.2222
32, -1.1129, 1.596, 0.001, 0.84006, 0.028441, 0.034911, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.056958, 0.53649, 1.0678
33, -1.1145, 3.0985, 0.001, 0.84006, 0.028441, 0.035401, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.031009, 0.53649, 1.0678
34, -1.1370, 2.5221, 0.001, 0.84006, 0.031333, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.056958, 0.53649, 1.0678
35, -1.1396, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.36708, 0.67865, 5.2218, 1.2237, 0.00029526, 0.28374, 12.105, 0.063255, 0.58817, 1.0678
36, -1.1402, 3.0781, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.34437, 0.9411, 5.0942, 1.2237, 0.00026389, 0.22028, 12.105, 0.073119, 0.53649, 1.2805
37, -1.1441, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.6735, 0.00024879, 0.22028, 12.105, 0.03246, 0.5088, 1.1412
38, -1.1461, 2.6039, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.32667, 0.67865, 5.0942, 1.2513, 0.00039858, 0.22028, 12.105, 0.058336, 0.53649, 1.4402
39, -1.1469, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 7.0967, 2.7139, 0.25396, 1.0031, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.056958, 0.53649, 1.0678
40, -1.1490, 3.0985, 0.001, 0.84006, 0.028441, 0.040733, 5.6743, 2.7139, 0.21031, 0.67865, 5.0942, 1.2237, 0.00054724, 0.22028, 12.105, 0.036866, 0.53649, 1.0678
41, -1.1589, 3.0985, 0.001, 1.1249, 0.028441, 0.048336, 7.3067, 2.7139, 0.25396, 0.78014, 4.4299, 1.2237, 0.00039858, 0.31209, 7.7253, 0.056958, 0.53649, 1.0678
42, -1.1647, 3.0985, 0.001, 0.84006, 0.036804, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.2237, 0.00039858, 0.30623, 13.779, 0.050029, 0.53649, 1.0678
43, -1.1658, 2.3034, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1, 0.00039858, 0.20178, 7.154, 0.068348, 0.53649, 1.0678
44, -1.1691, 2.4307, 0.001, 0.84006, 0.040784, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.5741, 0.00039858, 0.22028, 12.105, 0.056958, 0.53649, 1.0678
45, -1.1716, 2.1922, 0.001, 0.86061, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 6.2394, 1.2237, 0.00036845, 0.22028, 11.369, 0.056958, 0.53649, 1.0678
46, -1.1732, 2.6221, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.2237, 0.00043304, 0.22028, 12.105, 0.056958, 0.53649, 1.0678
47, -1.1756, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.86062, 5.0942, 1.2971, 0.00039858, 0.32254, 13.482, 0.048982, 0.53649, 1.0678
48, -1.1764, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 3.0589, 0.25396, 0.67865, 5.0942, 1.2237, 0.00035456, 0.20458, 12.105, 0.035381, 0.53649, 1.0678
49, -1.1794, 3.0985, 0.001, 0.84006, 0.028441, 0.048336, 5.6743, 2.7139, 0.3069, 0.67865, 5.0942, 1.2237, 0.00039858, 0.22028, 12.105, 0.056958, 0.53649, 1.3645
50, -1.1828, 3.0985, 0.001, 0.84006, 0.028441, 0.05785, 5.6743, 2.7139, 0.25396, 0.67865, 5.0942, 1.7198, 0.00049038, 0.22028, 14.508, 0.030819, 0.53649, 0.92513
51, -1.1897, 3.0985, 0.001, 0.57932, 0.028441, 0.048336, 5.6743, 2.7139, 0.25396, 0.80946, 5.0942, 1.2237, 0.00027738, 0.31611, 12.105, 0.056958, 0.53649, 1.0678
52, -1.1939, 3.0985, 0.001, 0.84006, 0.036199, 0.048336, 5.6743, 2.7139, 0.25396, 0.80314, 5.0942, 1.2237, 0.00049629, 0.22028, 12.105, 0.056958, 0.53649, 1.0678
