Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -1.8348, 5.0326, 0.0011613, 0.02507, 10.48, 3.095, 0.13877, 0.15765, 0.11688, 0.15216, 21.901, 70.901, 0.0043249, 0.022662, 4.3323, 0.001, 7.2628, 26.587
1, -1.8368, 5.0326, 0.0016964, 0.02507, 10.48, 2.6436, 0.11194, 0.17202, 0.11688, 0.15216, 20.709, 70.901, 0.0032699, 0.022662, 4.7286, 0.001, 9.3554, 28.494
2, -1.8405, 4.5635, 0.0016964, 0.027733, 10.48, 3.095, 0.081643, 0.18076, 0.11688, 0.17066, 18.828, 88.673, 0.002523, 0.022662, 4.3323, 0.001, 9.3554, 26.587
3, -1.8466, 2.6202, 0.001, 0.02507, 10.48, 3.095, 0.11247, 0.15765, 0.11688, 0.15216, 15.63, 70.901, 0.0032699, 0.018731, 4.3323, 0.001, 9.3554, 26.587
4, -1.8525, 5.0326, 0.0016964, 0.022837, 10.48, 3.095, 0.13877, 0.1678, 0.106, 0.15216, 21.087, 91.967, 0.0032699, 0.013491, 4.3323, 0.001, 11.764, 26.587
5, -1.8527, 5.0326, 0.0016964, 0.02507, 10.48, 3.095, 0.13877, 0.15765, 0.11688, 0.15216, 20.344, 70.901, 0.0032699, 0.022662, 4.3323, 0.001, 11.442, 26.587
6, -1.8532, 5.0326, 0.0016964, 0.02507, 10.48, 3.095, 0.13877, 0.15765, 0.14774, 0.20339, 21.292, 70.901, 0.0032699, 0.015936, 4.3323, 0.001, 9.3554, 26.587
7, -1.8540, 5.0326, 0.0016964, 0.02507, 8.9483, 3.095, 0.077951, 0.17788, 0.11688, 0.15216, 15.63, 70.901, 0.0032699, 0.022662, 3.4873, 0.001, 9.3554, 17.79
8, -1.8575, 5.0326, 0.0016964, 0.02507, 10.48, 2.4198, 0.13877, 0.15765, 0.14983, 0.15216, 15.63, 70.901, 0.002301, 0.01207, 5.6312, 0.001, 9.3554, 26.587
9, -1.8596, 4.1229, 0.0016964, 0.02507, 10.48, 1.9924, 0.086437, 0.15765, 0.11688, 0.16091, 15.63, 70.901, 0.0032699, 0.025824, 4.3323, 0.001, 9.3554, 26.587
10, -1.8608, 6.0846, 0.0016964, 0.02507, 10.48, 3.095, 0.083042, 0.15765, 0.11366, 0.15216, 15.63, 48.445, 0.003152, 0.016666, 4.3323, 0.001, 9.3554, 16.819
11, -1.8637, 5.0326, 0.0016964, 0.02507, 10.48, 2.5128, 0.13877, 0.15765, 0.11688, 0.15216, 18.941, 70.901, 0.0032699, 0.022662, 3.7149, 0.001, 9.3554, 26.587
12, -1.8655, 7.1372, 0.0016964, 0.02507, 11.833, 3.095, 0.074921, 0.15765, 0.11688, 0.12186, 15.63, 94.63, 0.0032699, 0.021532, 4.3323, 0.001, 9.3554, 26.587
13, -1.8667, 5.0326, 0.0010337, 0.02507, 10.48, 3.095, 0.13877, 0.1, 0.11688, 0.15216, 15.63, 70.901, 0.0032699, 0.021667, 4.3323, 0.001, 9.3554, 26.587
14, -1.8671, 5.0326, 0.001, 0.018291, 10.48, 3.6477, 0.13877, 0.1, 0.11688, 0.15216, 15.63, 70.901, 0.0032699, 0.022662, 4.3323, 0.001, 9.3554, 26.587
15, -1.8677, 5.0326, 0.001, 0.02507, 10.48, 3.095, 0.13877, 0.15765, 0.11688, 0.088329, 15.63, 70.901, 0.0032699, 0.022662, 4.3323, 0.001, 9.3554, 26.587
16, -1.8678, 5.0326, 0.0016964, 0.02507, 10.48, 3.095, 0.095309, 0.15765, 0.11797, 0.15216, 15.63, 70.901, 0.0032699, 0.019254, 4.8304, 0.001, 9.3554, 26.587
17, -1.8695, 5.0326, 0.0016964, 0.019108, 10.48, 3.095, 0.071546, 0.1682, 0.11688, 0.15069, 15.63, 70.901, 0.0032699, 0.029957, 4.3323, 0.001, 9.3554, 26.587
18, -1.8699, 5.0326, 0.0016964, 0.02507, 10.48, 3.095, 0.13877, 0.15765, 0.11688, 0.15216, 21, 70.901, 0.0032699, 0.022662, 3.5467, 0.001, 13.756, 26.587
19, -1.8703, 5.0326, 0.0016964, 0.02507, 10.48, 3.095, 0.087269, 0.15765, 0.11688, 0.15216, 15.63, 56.048, 0.0035328, 0.022662, 4.3323, 0.001, 9.3554, 26.587
20, -1.8708, 5.0326, 0.0016964, 0.02507, 10.48, 3.095, 0.091582, 0.15765, 0.11688, 0.15216, 15.528, 70.901, 0.0036862, 0.022662, 4.3323, 0.001, 9.3554, 26.587
21, -1.8715, 5.0326, 0.0016964, 0.02507, 8.6373, 3.095, 0.13877, 0.15765, 0.11688, 0.15216, 15.63, 70.901, 0.0032699, 0.011761, 4.3323, 0.001, 9.3554, 26.587
22, -1.8725, 5.0326, 0.0016964, 0.02507, 10.48, 3.095, 0.13877, 0.15765, 0.11688, 0.15216, 15.63, 70.901, 0.0032699, 0.012354, 4.3323, 0.001, 9.3554, 26.587
23, -1.8740, 5.0326, 0.0016964, 0.02507, 10.48, 3.095, 0.13877, 0.15765, 0.10776, 0.15216, 15.63, 70.901, 0.0032699, 0.011545, 4.3323, 0.001, 9.3554, 24.588
24, -1.8741, 4.9193, 0.0016964, 0.02507, 10.48, 3.095, 0.13877, 0.15765, 0.11688, 0.15216, 15.63, 70.901, 0.0040001, 0.012182, 3.186, 0.001, 9.3554, 26.587
25, -1.8745, 5.0326, 0.0016964, 0.02507, 9.1572, 3.095, 0.073673, 0.15765, 0.11688, 0.15216, 15.63, 70.901, 0.0044044, 0.027501, 4.3323, 0.001, 9.3554, 26.587
26, -1.8758, 6.1091, 0.0016964, 0.024596, 10.48, 3.095, 0.13877, 0.15765, 0.11688, 0.15216, 21.506, 77.553, 0.0032699, 0.033725, 4.3323, 0.001, 9.3554, 26.587
27, -1.8764, 5.0326, 0.0016964, 0.026581, 10.48, 3.095, 0.11649, 0.15765, 0.11688, 0.15216, 15.63, 70.901, 0.0032699, 0.022662, 2.7124, 0.001, 9.3554, 26.587
28, -1.8773, 5.0326, 0.0016964, 0.02507, 10.48, 3.095, 0.13877, 0.15765, 0.11688, 0.15216, 15.63, 70.901, 0.0032699, 0.015395, 4.3323, 0.001, 9.3554, 26.587
29, -1.8782, 5.0326, 0.0019309, 0.02507, 10.48, 3.095, 0.13877, 0.15765, 0.11688, 0.15216, 17.877, 70.901, 0.0032699, 0.022662, 2.5509, 0.001, 12.694, 26.587
30, -1.8783, 6.622, 0.001335, 0.030028, 10.48, 3.095, 0.13877, 0.15765, 0.11688, 0.095417, 15.63, 70.901, 0.0042233, 0.016473, 4.3323, 0.001, 9.3554, 26.587
31, -1.8784, 5.0326, 0.0016964, 0.02507, 14.877, 3.095, 0.13877, 0.15765, 0.11688, 0.15216, 15.63, 35.955, 0.0032699, 0.016086, 4.3323, 0.001, 9.3554, 26.587
32, -1.8784, 6.7446, 0.0016964, 0.02507, 11.347, 3.095, 0.17088, 0.15765, 0.16638, 0.15216, 18.141, 70.901, 0.0032699, 0.022662, 5.3689, 0.001, 9.3554, 26.587
33, -1.8784, 5.0326, 0.001, 0.035742, 10.48, 3.095, 0.13877, 0.15765, 0.11688, 0.083582, 15.63, 70.901, 0.00369, 0.022662, 4.3323, 0.001, 9.3554, 26.587
34, -1.8785, 5.0326, 0.0016964, 0.02507, 11.72, 2.3572, 0.13877, 0.15765, 0.11688, 0.15216, 15.63, 40.13, 0.003316, 0.013452, 4.3323, 0.001, 7.7034, 26.587
35, -1.8793, 5.0326, 0.0016964, 0.02507, 10.48, 3.095, 0.13877, 0.18189, 0.085951, 0.13859, 23.15, 58.344, 0.0032699, 0.022662, 4.3323, 0.001, 9.3554, 26.587
36, -1.8795, 5.0326, 0.0016964, 0.02507, 10.48, 3.095, 0.13048, 0.15765, 0.11688, 0.15216, 15.63, 70.901, 0.0032699, 0.020172, 4.3323, 0.001, 9.3554, 26.587
37, -1.8806, 5.0326, 0.0016964, 0.034148, 12.718, 3.095, 0.13877, 0.18309, 0.11688, 0.14898, 15.63, 70.901, 0.0032699, 0.015357, 6.0365, 0.001, 8.0192, 26.587
