Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.2922, 0.071683, 0.013251, 0.0048984, 0.87583, 3.0425, 0.55729, 3.3809, 0.08732, 1.633, 47.586, 3.9949, 0.010344, 0.017846, 53.663, 0.023927, 2.1805, 0.073628
1, -0.2958, 0.071683, 0.013376, 0.0048984, 1.6584, 3.9331, 0.55729, 3.3809, 0.08732, 1.633, 47.586, 3.9949, 0.009894, 0.017846, 53.663, 0.016299, 2.7102, 0.073628
2, -0.3001, 0.071683, 0.0090852, 0.0048984, 1.6584, 3.0425, 0.74737, 3.3809, 0.11115, 1.633, 47.586, 3.9949, 0.010344, 0.017846, 53.663, 0.023487, 2.1805, 0.073628
3, -0.3049, 0.092772, 0.0090852, 0.0048984, 2.1641, 3.0425, 0.72971, 3.6827, 0.11276, 1.633, 47.586, 3.9949, 0.010344, 0.017846, 39.094, 0.016299, 2.1805, 0.073628
4, -0.3107, 0.071683, 0.0090852, 0.0048984, 2.2428, 4.2239, 0.55729, 3.3809, 0.10946, 1.633, 48.291, 3.9949, 0.010344, 0.018301, 53.663, 0.016299, 2.1805, 0.073628
5, -0.3118, 0.071683, 0.011232, 0.0048984, 1.6584, 3.0425, 0.55729, 3.3809, 0.08732, 1.5037, 30.962, 3.9949, 0.0061507, 0.017846, 49.641, 0.016299, 2.716, 0.073628
6, -0.3139, 0.071683, 0.0090852, 0.0048984, 1.6584, 4.2665, 0.55729, 3.3809, 0.11149, 1.633, 47.586, 3.9949, 0.010344, 0.017846, 43.918, 0.016299, 2.1699, 0.073628
7, -0.3206, 0.071683, 0.0090852, 0.0048984, 1.6584, 4.3783, 0.55729, 3.3809, 0.11029, 1.633, 47.586, 3.3288, 0.010344, 0.017846, 53.663, 0.016299, 2.1805, 0.073628
8, -0.3217, 0.071683, 0.0090852, 0.0048984, 1.6584, 3.6984, 0.55729, 3.3809, 0.10359, 1.633, 47.586, 3.9949, 0.01539, 0.017846, 50.35, 0.016299, 2.1805, 0.073628
9, -0.3221, 0.071683, 0.0090852, 0.0048984, 1.6584, 4.0303, 0.55729, 2.1342, 0.08732, 1.633, 47.586, 3.9949, 0.010344, 0.017846, 53.663, 0.016299, 2.6784, 0.073628
