Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.6738, 3.0269, 0.0059747, 6.4026, 3.023, 0.0064173, 0.010041, 8.9117, 0.29987, 9.1144, 0.078608, 1.1177, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 81.401
1, -0.6755, 4.0196, 0.0060659, 9.0537, 3.023, 0.0052066, 0.010041, 8.9117, 0.43079, 9.1144, 0.14945, 1.4204, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 81.401
2, -0.6767, 2.9067, 0.0059747, 9.161, 3.023, 0.0064173, 0.010041, 10, 0.42435, 9.1144, 0.14945, 1.4836, 0.011264, 1, 8.0089, 0.01, 0.18687, 81.401
3, -0.6769, 2.9067, 0.0059747, 6.4026, 4.4893, 0.0052118, 0.010041, 8.5157, 0.29987, 9.1144, 0.14945, 1.1177, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 81.401
4, -0.6770, 3.0461, 0.0059747, 5.0236, 4.0062, 0.0064173, 0.010041, 8.9117, 0.29987, 9.1144, 0.14945, 1.1177, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 81.401
5, -0.6783, 3.0143, 0.0059747, 6.4026, 3.023, 0.0064173, 0.01, 8.9117, 0.29987, 9.1144, 0.14945, 1.1177, 0.011264, 0.92952, 12.174, 0.01, 0.18687, 81.401
6, -0.6788, 2.9067, 0.0059747, 5.8923, 4.2207, 0.0060631, 0.010041, 8.9117, 0.29987, 9.1144, 0.14945, 1.1177, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 81.401
7, -0.6789, 2.9067, 0.0059747, 6.4026, 1.7056, 0.0064173, 0.010041, 8.9117, 0.2871, 9.1144, 0.14945, 1.1177, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 81.401
8, -0.6792, 2.9067, 0.0058991, 6.4026, 4.2659, 0.0064173, 0.010041, 8.9117, 0.29987, 9.1144, 0.14786, 1.1177, 0.0074022, 0.92952, 9.6647, 0.01, 0.18687, 81.401
9, -0.6793, 2.4632, 0.0046843, 6.8794, 3.023, 0.0064173, 0.010041, 7.7645, 0.29987, 9.1144, 0.14945, 1.1177, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 81.401
10, -0.6793, 3.1446, 0.0059747, 6.4026, 3.023, 0.0066264, 0.010041, 8.9117, 0.29987, 9.1144, 0.14945, 1.1177, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 81.401
11, -0.6800, 2.9067, 0.0059747, 6.4026, 3.023, 0.0064173, 0.010041, 8.9117, 0.29987, 9.1144, 0.082182, 1.1177, 0.011264, 0.91381, 9.6647, 0.01, 0.18687, 81.401
12, -0.6800, 2.9067, 0.0059747, 6.4026, 3.023, 0.0064173, 0.01, 8.9117, 0.29987, 8.0645, 0.14945, 1.1299, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 77.753
13, -0.6801, 2.9067, 0.0059747, 6.4026, 3.023, 0.0064173, 0.010041, 8.9934, 0.29987, 9.1144, 0.14945, 1.479, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 81.401
14, -0.6801, 2.9067, 0.0059747, 6.3064, 3.023, 0.0064173, 0.010041, 8.9117, 0.29987, 9.1144, 0.088972, 1.1177, 0.0070099, 0.92952, 9.6647, 0.01, 0.18687, 81.401
15, -0.6802, 2.9067, 0.0059747, 6.4026, 3.023, 0.0064173, 0.014147, 8.9117, 0.29987, 9.1144, 0.10086, 1.1177, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 81.401
16, -0.6806, 3.4625, 0.006382, 6.4026, 1.9202, 0.0064173, 0.01, 8.9117, 0.29987, 9.1144, 0.14945, 1.1177, 0.011264, 0.92952, 10.678, 0.01, 0.18687, 81.401
17, -0.6809, 2.9067, 0.0059747, 6.4026, 3.023, 0.0064173, 0.010041, 8.9117, 0.29987, 10, 0.11796, 1.1177, 0.011264, 0.92952, 7.9848, 0.01, 0.18687, 81.401
18, -0.6811, 2.9067, 0.0059747, 6.4026, 3.023, 0.0063426, 0.01, 8.9117, 0.29987, 10, 0.14945, 1.1177, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 81.401
19, -0.6811, 2.9067, 0.0059747, 4.3087, 3.023, 0.0064173, 0.010041, 8.9117, 0.29987, 9.1144, 0.10769, 1.1177, 0.011264, 0.92952, 9.6647, 0.01, 0.18687, 81.401
20, -0.6813, 2.9067, 0.0059747, 6.4026, 3.023, 0.0064173, 0.010041, 8.9117, 0.29987, 9.986, 0.14945, 1.1177, 0.0063942, 1, 8.9591, 0.01, 0.18687, 81.401
21, -0.6813, 2.9067, 0.0059747, 6.4026, 3.757, 0.0064173, 0.010041, 8.9117, 0.29987, 10, 0.14945, 1.1177, 0.011264, 1, 9.6647, 0.01, 0.18687, 81.401
