Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
0, -0.7368, 0.0043785, 25.213, 0.55769, 4.4832, 0.0021449, 0.86843, 5.4748, 0.41507, 0.0020127, 1.4253, 0.37994, 0.0001, 0.025202, 0.53998, 3.0804, 1.5803, 4395.5, 0.094508,0.89091
1, -0.7540, 0.0043785, 25.213, 0.55769, 2.2557, 0.0017828, 0.86843, 5.4748, 0.43319, 0.0021908, 1.4253, 0.37994, 0.0001, 0.025202, 0.53998, 3.0804, 1.5803, 4395.5, 0.13029,0.89091
2, -0.7550, 0.0028022, 25.213, 0.55769, 4.4832, 0.0019167, 0.86843, 5.4748, 0.41507, 0.0013789, 1.4253, 0.37994, 0.0001, 0.025202, 0.69414, 3.0804, 2.3259, 4395.5, 0.13029,0.89091
3, -0.7574, 0.0043785, 25.213, 0.55769, 4.4832, 0.0020627, 0.86843, 6.8314, 0.42556, 0.0020127, 1.4253, 0.37994, 0.0001, 0.025202, 0.56363, 3.0804, 2.1771, 2487.5, 0.13029,1.0464
4, -0.7618, 0.0043785, 28.92, 0.55769, 4.4832, 0.0014743, 0.86843, 5.4748, 0.41507, 0.0020127, 2.0337, 0.37994, 0.0001, 0.025202, 0.53998, 3.0804, 1.8126, 4395.5, 0.13029,0.48238
5, -0.7622, 0.0043785, 25.213, 0.62862, 4.4832, 0.0014743, 0.86843, 5.4748, 0.41507, 0.0020127, 1.4253, 0.38079, 0.0001, 0.025202, 0.64827, 3.0804, 1.5803, 4395.5, 0.13029,0.5884
6, -0.7632, 0.0043785, 25.213, 0.65143, 4.4832, 0.0014743, 0.86843, 5.4748, 0.41507, 0.0020127, 1.4253, 0.37994, 0.0001, 0.025202, 0.70306, 3.0804, 1.5803, 4395.5, 0.13029,0.89091
7, -0.7632, 0.0043785, 25.213, 0.66008, 4.4832, 0.0014743, 0.86843, 5.4748, 0.41507, 0.0020127, 1.4253, 0.37994, 0.00011433, 0.025202, 0.53998, 3.0804, 1.5803, 4395.5, 0.13029,0.98771
8, -0.7639, 0.0043785, 25.213, 0.60759, 4.4832, 0.0014619, 0.86843, 5.4748, 0.41507, 0.0020127, 1.4253, 0.37994, 0.00011989, 0.025202, 0.53998, 4.3736, 1.5803, 4395.5, 0.13029,0.89091
9, -0.7651, 0.0043785, 25.213, 0.69027, 4.4832, 0.0014743, 0.86843, 5.4748, 0.41507, 0.002658, 1.4253, 0.37994, 0.0001378, 0.025202, 0.53998, 3.0804, 1.5803, 4395.5, 0.13029,0.89091
10, -0.7657, 0.0043785, 25.213, 0.54603, 4.0533, 0.0014743, 0.86843, 5.4748, 0.41507, 0.0020127, 1.5362, 0.37994, 0.00012041, 0.025202, 0.53998, 3.0804, 1.5803, 4395.5, 0.13029,0.81964
11, -0.7688, 0.0043785, 25.213, 0.55769, 4.4832, 0.0014743, 0.86843, 5.4748, 0.41561, 0.0012995, 1.3309, 0.37994, 0.00013689, 0.025202, 0.53998, 3.0804, 1.5803, 4395.5, 0.13029,0.89091
