Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
14549, -13.8463, 5.316, 3.3236, 1.7894, 0.65037, 2.2365, 353.54, 10, 0.058813, 0.0010446, 5.0069, 1.6913, 0.027138, 0.52288, 0.1, 3.7537, 0.0015564, 121.6, 0.013671,8.3732
14550, -13.8516, 5.316, 2.7895, 0.96938, 0.92798, 1.5352, 473.22, 6.1629, 0.058813, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54771, 0.11539, 1.9579, 0.0026185, 208.43, 0.013182,9.244
14551, -13.8550, 2.9568, 2.7895, 0.91728, 0.92798, 1.4745, 384.57, 4.4342, 0.080261, 0.0014924, 4.0352, 1.3744, 0.027138, 0.54133, 0.10262, 3.7537, 0.0026185, 222.58, 0.024623,9.244
14552, -13.8618, 7.3543, 1.856, 0.72748, 0.57058, 1.7033, 384.57, 5.1579, 0.078334, 0.0016935, 5.0069, 1.3744, 0.027138, 0.54133, 0.13232, 2.5134, 0.0028833, 291, 0.026586,9.244
14553, -13.8688, 5.316, 1.7601, 0.79244, 0.40289, 2.2365, 353.54, 10, 0.058813, 0.0013657, 5.0069, 1.3744, 0.027138, 0.52288, 0.11539, 3.7537, 0.0027817, 121.6, 0.036102,8.3732
14554, -13.8746, 7.3543, 2.2457, 1.35, 0.92798, 1.7033, 384.57, 7.1146, 0.058813, 0.0023681, 5.0069, 1.0768, 0.027138, 0.54133, 0.13232, 1.5122, 0.0034178, 222.58, 0.024623,9.244
14555, -13.8794, 7.3543, 2.2457, 1.7234, 0.92798, 1.7033, 195.3, 5.1579, 0.058813, 0.0016935, 5.0069, 1.3744, 0.027138, 0.54133, 0.11316, 2.5134, 0.0038576, 222.58, 0.024623,9.244
14556, -13.8916, 5.316, 2.7895, 0.93428, 0.8986, 0.96505, 325.7, 6.1629, 0.058813, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54133, 0.1, 3.7537, 0.0013748, 222.58, 0.024623,12.004
14557, -13.8923, 3.4749, 2.7895, 1.3911, 0.92798, 1.7033, 353.54, 5.1823, 0.058813, 0.001, 5.0069, 1.3744, 0.039608, 0.54133, 0.11539, 3.7537, 0.0030048, 112.07, 0.024623,9.244
14558, -13.8982, 7.2499, 2.7895, 1.3911, 0.92798, 1.7033, 353.54, 8.6555, 0.058813, 0.0012385, 5.0069, 0.78567, 0.027138, 0.54133, 0.11539, 3.7537, 0.0032259, 104.24, 0.024623,9.244
