Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.2440, 5.8837, 0.65723, 0.064908, 2.5863, 6.6294, 1.159, 0.53274, 0.052891, 4.1651, 71.155, 7.1352, 0.008099, 0.17296, 1.1912, 0.087618, 1.2083, 0.076801
1, -0.2456, 7.9803, 0.37962, 0.052263, 1.5619, 6.6294, 1.785, 0.54541, 0.048042, 4.1651, 71.155, 8.9347, 0.011588, 0.17628, 1.1912, 0.087618, 0.97929, 0.069418
2, -0.2462, 5.9199, 0.65723, 0.052263, 1.7203, 6.6294, 1.2852, 0.54541, 0.052891, 4.1651, 71.155, 10, 0.008099, 0.22872, 1.1912, 0.087618, 1.2083, 0.076801
3, -0.2492, 6.6488, 0.65723, 0.033724, 1.7681, 6.6294, 1.4279, 0.54541, 0.04935, 3.767, 90.992, 8.7511, 0.008099, 0.17628, 1, 0.087618, 1.2083, 0.076801
4, -0.2499, 7.9803, 0.65723, 0.0492, 2.5863, 8.3384, 1.793, 0.54541, 0.059264, 4.1651, 71.155, 6.7047, 0.0049205, 0.18614, 1.1912, 0.087618, 1.2083, 0.076801
5, -0.2516, 6.4611, 0.65723, 0.052263, 2.5863, 6.6294, 1.4209, 0.54541, 0.052891, 4.1651, 71.155, 8.9347, 0.008099, 0.17628, 1.1912, 0.087618, 1.2083, 0.076801
6, -0.2522, 7.9803, 0.68292, 0.052263, 3.1435, 7.9676, 2.1608, 0.54541, 0.052891, 4.1651, 71.155, 8.9347, 0.008099, 0.17628, 1.1912, 0.087618, 1.1676, 0.076801
7, -0.2535, 7.9803, 0.64528, 0.052263, 2.2849, 6.6294, 1.6658, 0.54541, 0.052891, 3.7553, 72.922, 8.9347, 0.008099, 0.25418, 1.1912, 0.087618, 1.2083, 0.076801
8, -0.2537, 7.9803, 0.65723, 0.052263, 2.5863, 6.6294, 2.1608, 0.56389, 0.052891, 4.1651, 96.83, 8.9347, 0.008099, 0.17628, 1.1912, 0.087618, 1.2083, 0.076801
9, -0.2541, 7.9803, 0.65723, 0.044082, 2.5863, 9.2938, 2.1608, 0.54541, 0.052891, 4.1651, 71.155, 4.6341, 0.008099, 0.17628, 1.1912, 0.087618, 1.2083, 0.074
10, -0.2545, 7.9803, 0.74318, 0.052263, 2.5863, 6.6294, 1.6974, 0.54541, 0.052891, 4.1651, 71.155, 8.9347, 0.008099, 0.16139, 1, 0.087618, 1.2083, 0.076801
11, -0.2551, 7.9803, 0.65723, 0.070441, 2.5863, 6.6294, 2.1608, 0.54541, 0.052091, 5.4572, 71.155, 10, 0.010871, 0.18669, 1.1912, 0.087618, 1.2083, 0.069021
12, -0.2566, 7.9803, 0.65723, 0.044835, 2.1664, 6.6294, 1.9186, 0.54541, 0.052891, 4.1651, 102.91, 10, 0.0050058, 0.17628, 1.1912, 0.087618, 1.2083, 0.076801
13, -0.2569, 7.9803, 0.65723, 0.056065, 3.5357, 6.6294, 2.1042, 0.54541, 0.052891, 4.1651, 42.194, 8.9347, 0.007503, 0.17628, 1.1912, 0.087618, 1.2083, 0.076165
