Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus
24, -6.2209, 0.014045, 0.90566, 0.5263, 2.403, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,6.2864,0.10724
25, -6.2215, 0.011729, 0.90566, 0.5263, 1.9034, 8.9652, 18.722, 0.022977, 881.75, 1.2003, 0.12764, 0.0064561, 0.066946, 0.12898, 23.463, 0.0539, 565.52, 0.13516, 2.908,0.00016308,9.3518,0.10724
26, -6.2221, 0.013698, 1.0422, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.16601, 16.461, 0.0539, 565.52, 0.13516, 3.2752,0.00022192,5.0189,0.15208
27, -6.2223, 0.011729, 0.90566, 0.5263, 1.9034, 10, 21.324, 0.022977, 881.75, 1.3999, 0.12764, 0.0064561, 0.066946, 0.12898, 8.9586, 0.0539, 565.52, 0.13516, 2.9992,0.00010055,9.3518,0.10724
28, -6.2225, 0.011729, 0.90566, 0.5263, 1.8143, 8.4427, 21.324, 0.022977, 881.75, 1.1898, 0.12764, 0.0044183, 0.066946, 0.17925, 9.3854, 0.056906, 565.52, 0.13516, 3.0689,0.00016308,9.3518,0.10724
29, -6.2225, 0.012671, 0.90566, 0.5263, 1.9034, 7.414, 21.324, 0.022977, 881.75, 1.438, 0.12258, 0.0064561, 0.066946, 0.12898, 17.066, 0.0539, 565.52, 0.13516, 1.5261,0.00016308,9.3518,0.10271
30, -6.2228, 0.011729, 0.90566, 0.5263, 1.8458, 8.4427, 21.324, 0.022977, 881.75, 1.5032, 0.12764, 0.0064561, 0.066946, 0.18426, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.0001169,7.4308,0.10724
31, -6.2228, 0.011207, 0.81088, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 20.778, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,5.5039,0.10724
32, -6.2249, 0.011729, 0.90566, 0.5263, 1.7314, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.10613, 0.0064561, 0.074768, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 1.7534,0.00016308,9.3518,0.078786
33, -6.2252, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0062778, 0.066946, 0.12898, 16.461, 0.05747, 565.52, 0.13516, 1.7333,0.0001712,10.484,0.10724
34, -6.2254, 0.0099298, 0.90566, 0.5263, 1.9034, 10, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.059217, 565.52, 0.13516, 2.971,0.00016308,5.9265,0.10724
35, -6.2260, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 19.915, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
36, -6.2263, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.4943, 0.12764, 0.0064561, 0.066946, 0.12898, 18.035, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
37, -6.2265, 0.011729, 0.90566, 0.5263, 1.9034, 8.904, 22.866, 0.022977, 881.75, 1.438, 0.12764, 0.0049611, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.078686
38, -6.2268, 0.011729, 0.90566, 0.54367, 1.9034, 8.4427, 21.324, 0.026457, 881.75, 1.438, 0.12764, 0.0064561, 0.082045, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.14774
39, -6.2278, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 870.32, 1.438, 0.11836, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
40, -6.2296, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 29.728, 0.017992, 1000, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 711.8, 0.13516, 3.361,0.00016308,6.1943,0.10724
41, -6.2298, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00015983,7.7898,0.10724
42, -6.2298, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,7.24,0.10724
43, -6.2298, 0.011729, 0.90546, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.5941,0.10724
44, -6.2299, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 1.8559,0.00016308,9.3518,0.080182
45, -6.2299, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.8537,0.13172
46, -6.2299, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 9.8005, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.12466
47, -6.2299, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.11527
48, -6.2299, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 11.466, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.11439
49, -6.2299, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 22.363, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
50, -6.2299, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
51, -6.2299, 0.011729, 0.90566, 0.6671, 1.9034, 10, 21.324, 0.022977, 1000, 1.438, 0.12764, 0.0064561, 0.086873, 0.071814, 16.461, 0.048539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
52, -6.2300, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12411, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,8.5535,0.10724
53, -6.2302, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 20.082, 0.022977, 881.75, 1.438, 0.12764, 0.0058143, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00021556,9.3518,0.10724
54, -6.2304, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 18.048, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.073242, 0.10129, 12.454, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.059828
55, -6.2308, 0.011729, 0.90566, 0.5263, 1.9034, 10, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 22.629, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,8.4602,0.10724
56, -6.2308, 0.011729, 0.90566, 0.5263, 1.9034, 10, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 10.441, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
57, -6.2308, 0.011729, 0.90566, 0.5263, 1.9034, 10, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.090271, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
58, -6.2309, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0053299, 0.066946, 0.14575, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
59, -6.2321, 0.011729, 0.90566, 0.5263, 1.9034, 8.678, 21.369, 0.022977, 881.75, 1.7027, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13367, 2.9992,0.00016308,9.3518,0.10724
60, -6.2332, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 17.097, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.085398, 0.12898, 23.226, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
61, -6.2346, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.671, 0.018742, 881.75, 2.0639, 0.12764, 0.0064561, 0.066946, 0.16515, 11.621, 0.0539, 565.52, 0.13516, 2.9992,0.00015207,9.3518,0.090998
62, -6.2359, 0.011729, 0.90566, 0.5263, 1.9034, 10, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.09771, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,10.757,0.13049
63, -6.2362, 0.011541, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.4818, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
64, -6.2362, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.02891, 881.75, 1.438, 0.12764, 0.0064561, 0.077976, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,5.0383,0.10724
