Rank, Fitness, kfsr, krsr, kfmm, krmm, kf1x, kr1x, kfc, krc, krmmTriCoop, kx2, krx2, S0, R0, X0, X0_stimScale
0, -0.2920, 0.086327, 1.8002, 0.058352, 2.1925, 0.019772, 68.79, 0.73974, 0.1, 10, 5.1415, 19.43, 0.46446, 120.74, 30.33, 2.6635
1, -0.2922, 0.086327, 1.8002, 0.076018, 2.1925, 0.020735, 41.566, 0.73974, 0.1, 10, 5.1415, 30.04, 0.46446, 120.74, 30.33, 2.2272
2, -0.2960, 0.086327, 2.1543, 0.067474, 2.1925, 0.019772, 51.592, 0.73974, 0.1, 10, 5.1415, 30.04, 0.59084, 120.74, 30.33, 2.6635
3, -0.2980, 0.086327, 1.8002, 0.058099, 2.1925, 0.023401, 68.476, 0.73974, 0.1, 10, 5.1415, 30.04, 0.50759, 120.74, 30.33, 2.6635
4, -0.2985, 0.086327, 1.8002, 0.10167, 2.1925, 0.01654, 44.537, 0.73974, 0.1, 10, 5.1415, 30.04, 0.46446, 120.74, 30.33, 2.6635
5, -0.2989, 0.096423, 1.8002, 0.10167, 2.1925, 0.019772, 68.79, 0.73974, 0.1, 10, 2.7155, 30.04, 0.41857, 120.74, 30.33, 2.6635
6, -0.2998, 0.086327, 1.8002, 0.1373, 3.0622, 0.019772, 68.79, 0.76035, 0.1, 10, 2.5908, 30.04, 0.46446, 120.74, 30.33, 2.6635
7, -0.3011, 0.086327, 1.8891, 0.10167, 2.1925, 0.019772, 68.79, 0.73974, 0.1, 10, 5.1415, 24.658, 0.46446, 120.74, 30.33, 2.6635
8, -0.3014, 0.086327, 1.8002, 0.10167, 3.185, 0.014324, 50.925, 0.93195, 0.1, 10, 5.1415, 30.04, 0.46446, 120.74, 30.33, 2.6635
9, -0.3028, 0.086327, 1.8002, 0.10167, 2.1925, 0.019259, 68.79, 0.73974, 0.1, 10, 3.0415, 30.04, 0.46446, 120.74, 30.33, 2.6635
10, -0.3033, 0.086261, 1.8002, 0.10167, 2.1925, 0.019772, 68.79, 0.73974, 0.1, 10, 4.1401, 30.04, 0.46446, 120.74, 30.33, 2.6635
11, -0.3035, 0.086327, 1.8002, 0.10167, 2.1925, 0.019772, 68.79, 0.73974, 0.1, 10, 5.1415, 24.759, 0.46446, 120.74, 23.704, 2.6635
12, -0.3037, 0.086327, 1.8002, 0.12355, 3.1049, 0.019772, 47.212, 0.66849, 0.1, 10, 5.1415, 30.04, 0.46446, 120.95, 30.33, 2.6635
13, -0.3046, 0.086327, 1.8002, 0.10167, 2.1925, 0.020418, 65.723, 0.73974, 0.1, 10, 5.1415, 30.04, 0.46446, 120.74, 30.33, 2.6635
14, -0.3047, 0.086327, 1.8002, 0.10167, 2.1925, 0.019772, 68.79, 0.73109, 0.1, 10, 3.9195, 30.04, 0.46446, 120.74, 30.33, 2.6635
15, -0.3047, 0.086327, 1.8002, 0.10167, 2.1925, 0.019772, 66.898, 0.73974, 0.1, 10, 5.1415, 30.04, 0.46446, 120.74, 30.33, 2.6635
16, -0.3049, 0.086327, 2.4402, 0.10167, 1.7611, 0.023912, 68.79, 0.73974, 0.1, 10, 3.8664, 30.04, 0.69628, 100, 30.33, 2.6635
17, -0.3050, 0.086327, 1.8002, 0.10167, 2.8726, 0.02566, 81.662, 0.73974, 0.1, 10, 5.1415, 30.04, 0.46446, 120.74, 30.33, 2.6635
18, -0.3051, 0.086327, 1.8002, 0.10167, 2.1925, 0.0201, 68.79, 0.73974, 0.1, 10, 5.1415, 30.04, 0.46446, 120.74, 30.33, 2.6635
19, -0.3052, 0.086327, 1.8002, 0.10167, 2.1925, 0.019772, 61.086, 0.73974, 0.1, 10, 5.7669, 30.04, 0.46446, 120.74, 30.33, 2.6635
20, -0.3057, 0.086327, 1.8002, 0.068895, 2.1925, 0.019772, 45.319, 0.73974, 0.1, 10, 5.1415, 30.04, 0.46446, 120.74, 30.33, 2.5763
21, -0.3058, 0.086327, 1.8002, 0.10167, 2.1925, 0.019772, 68.79, 0.73974, 0.1, 10, 4.9682, 30.04, 0.46446, 120.74, 30.33, 2.6635
22, -0.3061, 0.086327, 1.8002, 0.10167, 2.0442, 0.019772, 68.79, 0.73974, 0.10807, 10, 5.1415, 30.04, 0.46446, 120.74, 30.33, 2.5933
23, -0.3064, 0.086327, 1.8002, 0.10167, 2.1925, 0.019772, 68.79, 0.73974, 0.1, 10, 5.1415, 30.04, 0.46446, 120.74, 30.33, 2.6635
24, -0.3065, 0.086327, 1.8002, 0.10167, 2.1925, 0.019772, 68.79, 0.73974, 0.1, 9.9708, 5.1415, 30.04, 0.46446, 120.74, 30.33, 2.6635
25, -0.3066, 0.1105, 2.3056, 0.10167, 2.1925, 0.019772, 68.79, 0.73974, 0.1, 10, 5.1415, 30.04, 0.46446, 120.74, 30.33, 2.6635
