Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.6373, 0.0099223, 0.21661, 1.3631, 2.042, 3.3253, 165.5, 0.20147, 0.01659, 4.7403, 0.015509, 0.65117, 0.037301, 0.049386, 4.038, 0.75656, 8.8691, 0.092926
1, -0.6504, 0.0099223, 0.21661, 1.4306, 2.042, 3.3178, 119.55, 0.24041, 0.01659, 7.0144, 0.01181, 0.65117, 0.037301, 0.049386, 4.038, 0.75656, 9.8435, 0.087054
2, -0.6825, 0.011369, 0.21661, 1.3631, 1.9629, 5.9508, 159.69, 0.20147, 0.022007, 6.4408, 0.01181, 0.65117, 0.037301, 0.069927, 4.038, 0.75656, 6.5723, 0.087054
3, -0.6825, 0.0099223, 0.27016, 1.3631, 2.042, 4.1552, 165.5, 0.20965, 0.01659, 4.7403, 0.01181, 0.65117, 0.037301, 0.049386, 4.038, 0.7885, 9.8547, 0.087054
4, -0.6881, 0.0099223, 0.21661, 1.1783, 2.042, 5.9508, 165.5, 0.20147, 0.01659, 6.9344, 0.01, 0.65117, 0.037301, 0.049386, 4.038, 0.92389, 6.5723, 0.087054
5, -0.6960, 0.0099223, 0.21661, 1.3631, 1.5723, 5.9508, 165.5, 0.20147, 0.010163, 4.7403, 0.01181, 0.65117, 0.038685, 0.049386, 4.4439, 0.75656, 6.5723, 0.087054
6, -0.7053, 0.0099223, 0.21661, 1.683, 1.738, 5.9508, 233.2, 0.20147, 0.014142, 5.5335, 0.01181, 0.65117, 0.037301, 0.049386, 4.3886, 0.75656, 6.5723, 0.085153
7, -0.7079, 0.0099223, 0.21661, 1.3631, 1.4631, 5.2603, 165.5, 0.20147, 0.018918, 4.7403, 0.015463, 0.57359, 0.03386, 0.049386, 4.0995, 0.75656, 6.5723, 0.087054
8, -0.7125, 0.0093216, 0.16245, 1.3631, 2.4553, 5.9508, 165.5, 0.20147, 0.0175, 4.7403, 0.014114, 0.65117, 0.044948, 0.055601, 4.038, 0.75656, 6.5723, 0.087054
9, -0.7162, 0.010461, 0.17034, 0.99247, 1.8406, 5.9508, 229.35, 0.20147, 0.01659, 4.7403, 0.014519, 0.65117, 0.037301, 0.064542, 4.038, 0.75656, 6.5723, 0.087054
10, -0.7267, 0.0099223, 0.17995, 1.3631, 1.5122, 3.2216, 165.5, 0.20147, 0.01659, 5.9107, 0.01181, 0.65192, 0.037301, 0.049386, 3.7976, 0.75656, 6.5723, 0.087054
11, -0.7294, 0.0099223, 0.21661, 1.3631, 2.042, 5.9508, 245.52, 0.20147, 0.021341, 4.7403, 0.01181, 0.65117, 0.039355, 0.049386, 4.7221, 0.75656, 6.5723, 0.087054
12, -0.7307, 0.0099223, 0.21661, 1.3631, 2.042, 5.3522, 165.5, 0.20147, 0.01659, 4.7403, 0.01629, 0.65117, 0.035229, 0.049386, 4.4225, 0.75656, 6.5723, 0.087054
13, -0.7323, 0.011704, 0.21661, 1.3631, 2.042, 5.9508, 208.25, 0.20147, 0.01659, 4.7403, 0.01181, 0.65117, 0.037301, 0.049386, 4.038, 0.54048, 9.0901, 0.087054
14, -0.7344, 0.0099223, 0.11893, 0.96835, 2.042, 5.9508, 165.5, 0.19613, 0.01, 4.7403, 0.01181, 0.41455, 0.037301, 0.060748, 4.7791, 0.49804, 6.5723, 0.087054
15, -0.7348, 0.0099223, 0.21661, 0.97941, 2.042, 5.9508, 165.5, 0.20147, 0.012849, 4.7403, 0.01181, 0.65117, 0.03828, 0.049386, 4.038, 0.97885, 6.5723, 0.087054
16, -0.7362, 0.0099223, 0.21661, 1.4264, 2.042, 5.9508, 165.5, 0.22084, 0.01, 4.7403, 0.01181, 0.65117, 0.037301, 0.050872, 4.8161, 0.75656, 6.5723, 0.087054
17, -0.7369, 0.0099223, 0.21661, 1.3631, 2.042, 5.9508, 165.5, 0.20147, 0.01659, 4.7403, 0.01181, 0.65117, 0.037301, 0.049386, 4.038, 0.75656, 7.1114, 0.087054
18, -0.7386, 0.0091352, 0.21661, 1.3631, 2.042, 5.9508, 165.5, 0.20147, 0.015417, 4.8975, 0.01, 0.65117, 0.037301, 0.049386, 4.038, 0.75656, 7.7884, 0.087054
19, -0.7390, 0.0077837, 0.21661, 2.0324, 2.042, 4.1344, 165.5, 0.20147, 0.01659, 4.7403, 0.01181, 0.65117, 0.037301, 0.049386, 4.038, 0.96466, 6.5723, 0.087054
