Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.6682, 0.55261, 0.001, 0.029858, 7.1495, 0.027097, 0.010184, 4.3407, 0.19526, 4.9133, 4.7357, 72.228, 0.00086736, 0.022001, 56.964, 0.01, 0.2105, 61.832
1, -0.6689, 0.55261, 0.001, 0.0391, 7.1495, 0.027097, 0.010184, 4.3407, 0.19526, 4.9133, 4.7357, 72.228, 0.00156, 0.023105, 74.289, 0.01, 0.2105, 61.832
2, -0.6690, 0.55261, 0.001, 0.041107, 7.1495, 0.027097, 0.010184, 4.3407, 0.19526, 4.9133, 4.7357, 72.228, 0.00156, 0.023225, 56.964, 0.01, 0.2105, 61.832
3, -0.6691, 0.55261, 0.001, 0.0391, 7.1495, 0.027097, 0.010184, 4.3407, 0.19526, 4.9133, 4.7357, 72.228, 0.00156, 0.023404, 56.376, 0.01, 0.2105, 61.832
4, -0.6700, 0.55261, 0.001, 0.0391, 7.1495, 0.027097, 0.010184, 4.3407, 0.19526, 4.9133, 4.7357, 72.228, 0.00156, 0.024984, 56.964, 0.01, 0.2105, 61.832
5, -0.6739, 0.55261, 0.001, 0.0391, 7.1495, 0.027097, 0.010184, 4.3407, 0.2074, 4.9133, 4.7357, 72.228, 0.00156, 0.027999, 79.079, 0.01, 0.2105, 61.832
6, -0.6742, 0.55261, 0.001, 0.0391, 7.1495, 0.027097, 0.010184, 4.3407, 0.19526, 4.9133, 4.7357, 90.024, 0.00156, 0.03236, 56.964, 0.01, 0.2105, 61.832
7, -0.6743, 0.55261, 0.001, 0.030698, 7.1495, 0.027097, 0.01, 4.3407, 0.19526, 7.1173, 5.1349, 72.228, 0.0016326, 0.033596, 56.964, 0.01, 0.2105, 61.832
8, -0.6744, 0.55261, 0.001, 0.0391, 4.6529, 0.027097, 0.010184, 4.3407, 0.19526, 4.9133, 4.7357, 72.228, 0.0013657, 0.032771, 56.964, 0.01, 0.2105, 61.832
9, -0.6747, 0.55261, 0.001, 0.0391, 7.1495, 0.027097, 0.010184, 4.748, 0.22161, 3.9184, 4.7357, 79.139, 0.00156, 0.042723, 55.407, 0.01, 0.2105, 71.937
