Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.4116, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.20315, 0.051109, 4.945, 0.0042146, 466.83, 0.11805
1, -0.4160, 0.018984, 0.097284, 3.6688, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0225, 62.798, 3.1554, 0.15777, 0.051028, 6.7693, 0.0042608, 466.83, 0.11805
2, -0.4182, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.17377, 4.7632, 2.428, 1.0409, 42.262, 3.1554, 0.15777, 0.043793, 4.945, 0.0042608, 466.83, 0.11805
3, -0.4182, 0.018984, 0.097284, 4.4056, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.17342, 0.055409, 4.945, 0.0042608, 466.83, 0.11805
4, -0.4186, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.6063, 0.15777, 0.052073, 4.4494, 0.0042608, 466.83, 0.11805
5, -0.4203, 0.018984, 0.097284, 4.1544, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 53.59, 3.1709, 0.14876, 0.050262, 4.945, 0.0042608, 466.83, 0.11805
6, -0.4204, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.23161, 5.1093, 2.428, 1.44, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
7, -0.4235, 0.018984, 0.097284, 3.887, 829.03, 1.1787, 0.18312, 5.1093, 2.428, 1.0409, 39.56, 3.1554, 0.11756, 0.039911, 4.945, 0.0042608, 466.83, 0.11805
8, -0.4235, 0.018984, 0.097284, 3.887, 450.8, 1.2592, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042378, 466.83, 0.11805
9, -0.4243, 0.018984, 0.097284, 2.287, 664.99, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.046586, 4.945, 0.0042608, 466.83, 0.11805
10, -0.4244, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 4.0398, 0.15777, 0.037495, 6.1499, 0.0040919, 466.83, 0.11805
11, -0.4249, 0.018334, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.20387, 0.037495, 4.945, 0.0042928, 466.83, 0.11805
12, -0.4255, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 3.0177, 1.533, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
13, -0.4257, 0.018984, 0.097284, 2.1296, 829.03, 1.2975, 0.18312, 5.1093, 2.5327, 1.0409, 46.622, 3.1554, 0.20247, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
14, -0.4260, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.1959, 45.824, 3.1554, 0.20642, 0.037495, 4.945, 0.0042608, 466.83, 0.11118
15, -0.4265, 0.018984, 0.097284, 4.3612, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.044061, 6.4377, 0.0042608, 466.83, 0.11805
16, -0.4266, 0.024383, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 62.789, 3.1554, 0.19772, 0.037495, 4.945, 0.0042608, 357.53, 0.11805
17, -0.4268, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.579, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
18, -0.4278, 0.018984, 0.097284, 3.887, 829.03, 1.5437, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0038794, 466.83, 0.11805
19, -0.4284, 0.018984, 0.097284, 4.8881, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 462.16, 0.11805
20, -0.4284, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 449.19, 0.11805
21, -0.4286, 0.018984, 0.098197, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
22, -0.4287, 0.018984, 0.097284, 2.7265, 829.03, 1.2975, 0.21948, 5.7188, 2.428, 1.0409, 45.824, 3.1554, 0.082049, 0.037495, 5.8998, 0.0042608, 466.83, 0.11805
23, -0.4298, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 0.97881, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
24, -0.4299, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 4.3585, 0.15777, 0.037495, 7.1633, 0.0042608, 466.83, 0.11805
25, -0.4301, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0017, 45.824, 3.1554, 0.082824, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
26, -0.4302, 0.018837, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
27, -0.4316, 0.018984, 0.097284, 3.992, 1000, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 40.137, 4.1865, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
28, -0.4324, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.6244, 1.0409, 45.824, 3.1554, 0.1311, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
29, -0.4330, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 0.95054, 45.824, 3.1554, 0.15777, 0.037495, 4.9476, 0.0042608, 466.83, 0.11805
30, -0.4334, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.6306, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
31, -0.4335, 0.018984, 0.097284, 5.8031, 829.03, 1.2975, 0.20482, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
32, -0.4336, 0.022647, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 3.5401, 1.0409, 45.824, 3.2267, 0.15777, 0.037495, 4.1911, 0.0042608, 466.83, 0.11805
33, -0.4338, 0.018984, 0.097284, 2.475, 966.92, 1.2064, 0.18312, 5.1093, 2.428, 1.16, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
34, -0.4340, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.4675, 0.12791, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
35, -0.4341, 0.018984, 0.097284, 3.1815, 829.03, 1.2975, 0.2044, 5.1093, 2.428, 1.0409, 46.145, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
36, -0.4342, 0.018984, 0.097284, 4.1325, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 51.889, 2.3017, 0.15777, 0.044331, 5.8285, 0.0042608, 466.83, 0.11805
37, -0.4349, 0.018984, 0.097284, 5.1642, 562.17, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 5.7034, 0.0042608, 466.83, 0.11805
38, -0.4350, 0.018984, 0.097284, 3.887, 444.41, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
39, -0.4355, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 56.583, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
40, -0.4358, 0.018984, 0.097284, 3.887, 784.05, 1.2975, 0.20376, 5.1093, 2.428, 1.0409, 62.46, 3.1554, 0.086098, 0.037495, 4.522, 0.0042608, 466.83, 0.11805
41, -0.4359, 0.018984, 0.097284, 3.887, 652.51, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.12192, 0.037495, 6.7902, 0.0042608, 466.83, 0.11805
42, -0.4359, 0.018984, 0.097284, 2.4179, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 65.049, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
43, -0.4361, 0.018984, 0.097284, 4.4287, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
44, -0.4361, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.034517, 2.9489, 0.0042608, 466.83, 0.11442
45, -0.4362, 0.018984, 0.097284, 2.9844, 608.5, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.23496, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
46, -0.4362, 0.018984, 0.097284, 3.9831, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
47, -0.4363, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
48, -0.4363, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.20935, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
49, -0.4363, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.22151, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
50, -0.4363, 0.018984, 0.097284, 3.8085, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 7.0163, 0.0042608, 466.83, 0.11805
51, -0.4365, 0.018984, 0.097284, 3.3423, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.11768, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
52, -0.4365, 0.018984, 0.097284, 3.887, 1000, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
53, -0.4366, 0.018984, 0.097284, 3.0119, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
54, -0.4367, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 42.328, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
55, -0.4373, 0.018984, 0.097284, 3.887, 792.73, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 38.717, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
56, -0.4396, 0.018984, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 30.932, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
57, -0.4401, 0.018984, 0.097284, 3.887, 1000, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 30.308, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
58, -0.4403, 0.01906, 0.097284, 3.887, 829.03, 1.2975, 0.18312, 5.1093, 2.428, 1.0409, 45.824, 3.1554, 0.15777, 0.037495, 4.945, 0.0042608, 466.83, 0.11805
