Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
0, -4.0603, 0.35575, 0.078668, 4.4254, 1.8333, 0.36028, 96.103, 4.3169, 0.044058, 2.8561, 0.021062, 1.1891, 1.316, 0.89363, 0.81018, 2.3153, 0.0080922, 22.921, 0.038066,0.040124
1, -4.1505, 0.53334, 0.078668, 2.9738, 1.8333, 0.34646, 157.53, 4.4126, 0.044058, 2.8561, 0.021062, 1.1891, 1.316, 0.89363, 0.81018, 3.4559, 0.0080922, 22.921, 0.029935,0.040124
2, -4.1985, 0.53334, 0.078668, 2.9738, 1.8333, 0.36028, 88.853, 3.2782, 0.044058, 2.8561, 0.021062, 1.1891, 1.316, 0.89363, 0.81018, 2.3153, 0.0080922, 22.921, 0.029288,0.040124
3, -4.2766, 0.53334, 0.11363, 2.9738, 1.8333, 0.52798, 157.53, 3.9613, 0.044058, 2.8561, 0.021062, 1.229, 1.316, 0.89363, 0.81018, 2.3153, 0.0080922, 22.921, 0.038066,0.053037
4, -4.3243, 0.53334, 0.078668, 3.8025, 2.4908, 0.36028, 83.669, 3.2782, 0.044058, 2.8561, 0.021062, 1.1891, 1.316, 0.89363, 0.7975, 2.3153, 0.0080922, 22.921, 0.026839,0.040124
5, -4.3410, 0.38559, 0.081566, 2.9738, 1.8333, 0.36028, 157.53, 4.3858, 0.044058, 2.8561, 0.021062, 1.1891, 1.316, 0.89363, 0.96444, 2.3153, 0.0080922, 24.297, 0.038066,0.040124
6, -4.3649, 0.53334, 0.078668, 3.4167, 1.8333, 0.36028, 157.53, 4.6985, 0.044058, 2.8561, 0.021062, 1.1891, 1.316, 0.89363, 0.81018, 2.3153, 0.0080922, 22.921, 0.03026,0.040124
7, -4.4119, 0.53334, 0.078668, 2.9738, 1.8333, 0.497, 157.53, 3.2782, 0.044058, 3.8913, 0.021558, 1.1891, 1.316, 0.89363, 0.81018, 2.3153, 0.0080922, 22.921, 0.03345,0.040124
8, -4.4164, 0.53334, 0.10435, 2.9738, 1.8333, 0.36028, 157.53, 4.5542, 0.044058, 2.8561, 0.016994, 1.1891, 1.316, 0.89363, 0.81018, 2.3153, 0.0080922, 22.921, 0.038066,0.040124
9, -4.4236, 0.53334, 0.078668, 2.6329, 2.6246, 0.36028, 157.53, 4.4128, 0.044058, 2.8561, 0.021062, 1.1891, 1.316, 0.89363, 0.81018, 2.3153, 0.0080922, 22.921, 0.032978,0.040124
