Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.3216, 0.28972, 0.10216, 5.27, 132.05, 3.7735, 1.9035, 0.38395, 0.050102, 2.4815, 1.7844, 4.2646, 0.0017167, 0.23954, 3.8521, 0.0035456, 39.082, 0.074846
1, -0.3239, 0.36644, 0.10216, 7.2935, 72.56, 3.7735, 1.9035, 0.38395, 0.036732, 3.3134, 1.7844, 4.2646, 0.0017167, 0.21409, 3.8521, 0.0023021, 39.082, 0.073654
2, -0.3249, 0.28972, 0.10216, 5.27, 132.05, 5.6536, 1.9451, 0.38395, 0.051369, 2.4815, 1.4769, 4.2646, 0.0017167, 0.23954, 3.8521, 0.0030787, 39.082, 0.074846
3, -0.3287, 0.26138, 0.10216, 5.27, 132.05, 3.1264, 1.9035, 0.49316, 0.036732, 2.9222, 1.7844, 5.8659, 0.0017167, 0.23954, 3.8521, 0.0030787, 39.082, 0.074846
4, -0.3306, 0.28972, 0.090716, 5.27, 132.05, 3.7735, 2.373, 0.38395, 0.037325, 2.4815, 1.7844, 4.2646, 0.0017167, 0.23954, 3.8521, 0.0030787, 39.082, 0.074846
5, -0.3314, 0.28972, 0.10216, 7.3664, 132.05, 2.8703, 1.9035, 0.38395, 0.036732, 2.4815, 1.7844, 4.2646, 0.0017167, 0.23954, 3.8521, 0.0035229, 39.082, 0.074846
6, -0.3327, 0.28972, 0.10216, 7.7272, 132.05, 3.7735, 1.9035, 0.38395, 0.036732, 2.537, 1.7844, 4.2646, 0.0017167, 0.23954, 3.8521, 0.0030787, 39.082, 0.074846
7, -0.3334, 0.28972, 0.10216, 5.27, 96.781, 3.7735, 1.9035, 0.38395, 0.036732, 2.4815, 1.7844, 5.4147, 0.0025608, 0.23954, 3.8521, 0.0030787, 39.082, 0.074846
8, -0.3336, 0.28972, 0.10216, 5.27, 118.73, 3.7735, 1.9035, 0.38395, 0.036732, 2.4815, 1.7844, 6.2778, 0.0023513, 0.12459, 3.8521, 0.0030787, 39.082, 0.074846
9, -0.3339, 0.28972, 0.10216, 5.27, 72.48, 3.7735, 1.9035, 0.38395, 0.036732, 2.4815, 1.7844, 4.2646, 0.0017167, 0.23954, 4.1021, 0.0030787, 39.082, 0.074846
