Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
0, -11.8664, 0.0047026, 0.018214, 0.33804, 1.2297, 0.010781, 0.4464, 1.849, 0.28191, 0.0030223, 177.91, 0.23231, 0.061709, 0.35848, 1.4294, 29.906, 1.6057, 19.669, 0.016468,0.50284
1, -11.8987, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.26404, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.036495, 0.5265, 1.4294, 21.922, 1.6057, 24.195, 0.016468,0.50284
2, -11.9174, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.2728, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 15.542, 1.6057, 24.195, 0.016468,0.50284
3, -11.9215, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.26475, 1.849, 0.46861, 0.003558, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.894, 20.947, 0.016468,0.50284
4, -11.9289, 0.0050701, 0.018214, 0.33804, 1.4635, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 0.74094, 29.906, 1.6057, 21.691, 0.016468,0.50284
5, -11.9309, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.25998, 2.2401, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 17.479, 1.6057, 24.195, 0.016468,0.37367
6, -11.9397, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.29925, 0.0037775, 177.91, 0.26189, 0.061709, 0.5265, 1.1892, 29.906, 1.6057, 22.081, 0.016468,0.50284
7, -11.9418, 0.0047026, 0.018214, 0.35959, 2.1111, 0.0077016, 0.4464, 2.5782, 0.46861, 0.0037775, 208.14, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 21.327, 0.016468,0.50284
8, -11.9449, 0.0047026, 0.018214, 0.33804, 2.1111, 0.011396, 0.3211, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 15.072, 1.6057, 24.195, 0.016468,0.50284
9, -11.9591, 0.0047026, 0.018214, 0.33804, 2.2751, 0.008546, 0.4464, 1.849, 0.24015, 0.0037775, 177.91, 0.23231, 0.061709, 0.4023, 1.4294, 21.24, 1.6057, 24.195, 0.016468,0.50284
10, -11.9627, 0.0064778, 0.018214, 0.33804, 2.1111, 0.008546, 0.29584, 1.849, 0.3592, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 17.552, 0.016468,0.38688
11, -11.9640, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.42315, 1.849, 0.26945, 0.0037775, 177.91, 0.23231, 0.061709, 0.57977, 1.4294, 29.906, 1.6057, 22.689, 0.016468,0.50284
12, -11.9646, 0.0047026, 0.018214, 0.33804, 2.1111, 0.009884, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.030933, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
13, -11.9648, 0.0047026, 0.018214, 0.33804, 2.1111, 0.012638, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.2534, 15.805, 1.6057, 24.195, 0.016468,0.50284
14, -11.9664, 0.0047026, 0.018214, 0.33804, 2.1111, 0.010834, 0.4464, 2.3491, 0.46861, 0.0020669, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 19.883, 1.6057, 24.195, 0.016468,0.50284
15, -11.9668, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.34151, 1.849, 0.46861, 0.0037775, 177.91, 0.20551, 0.032554, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
16, -11.9706, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.29464, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 20.238, 1.6057, 24.195, 0.016468,0.50284
17, -11.9805, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.24867, 1.849, 0.32829, 0.0037775, 177.91, 0.23231, 0.035314, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.54459
18, -11.9842, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.50105, 0.0037775, 177.91, 0.23231, 0.031375, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
19, -11.9850, 0.0047026, 0.016938, 0.33804, 2.1111, 0.0090984, 0.4464, 2.2382, 0.46861, 0.0044969, 177.91, 0.19154, 0.049528, 0.5265, 1.4294, 24.6, 1.6057, 24.195, 0.016468,0.50284
20, -11.9855, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.031421, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
21, -11.9932, 0.0047026, 0.018214, 0.33804, 2.1111, 0.0095318, 0.4464, 1.849, 0.46861, 0.0037775, 187.97, 0.23231, 0.033426, 0.75995, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
22, -11.9941, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 2.3287, 0.46861, 0.0037775, 177.91, 0.23231, 0.032759, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
23, -11.9963, 0.0047026, 0.018214, 0.33804, 2.1111, 0.011916, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.26569, 0.048694, 0.5265, 1.4294, 20.193, 1.6057, 24.195, 0.016468,0.50284
24, -11.9970, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0055104, 177.91, 0.11736, 0.036345, 0.5265, 1.4294, 27.564, 1.6057, 24.195, 0.016468,0.50284
25, -11.9982, 0.0054267, 0.018214, 0.41928, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 17.955, 0.016468,0.50284
26, -11.9993, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 2.5056, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 22.219, 1.6057, 24.195, 0.016468,0.50284
27, -11.9994, 0.0047026, 0.017489, 0.33804, 2.1111, 0.008546, 0.4464, 2.3422, 0.28556, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
28, -11.9995, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.13477, 0.061709, 0.5265, 1.4294, 17.707, 1.6057, 24.195, 0.016468,0.50284
29, -11.9999, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0050232, 177.91, 0.23231, 0.032787, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
30, -12.0001, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.2318, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 2.1199, 17.439, 1.6057, 24.195, 0.016468,0.50284
31, -12.0009, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.032885, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
32, -12.0014, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.12366, 0.033431, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
33, -12.0018, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.29863, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 0.72648, 23.736, 1.6057, 24.195, 0.016468,0.50284
34, -12.0033, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 212.41, 0.23231, 0.033122, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.64957
35, -12.0037, 0.0047026, 0.01579, 0.33804, 2.1111, 0.008546, 0.4464, 2.6265, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 23.389, 0.016468,0.50284
36, -12.0042, 0.0047026, 0.018214, 0.33804, 1.3472, 0.008546, 0.25804, 2.335, 0.46861, 0.0037775, 177.91, 0.23231, 0.040924, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
37, -12.0058, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.49648, 2.425, 0.46861, 0.0037775, 177.91, 0.23231, 0.033464, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
38, -12.0067, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.30792, 1.849, 0.46861, 0.0037775, 169.17, 0.23231, 0.038737, 0.51363, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
39, -12.0096, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.033744, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.3289
40, -12.0106, 0.0047026, 0.018214, 0.33804, 1.693, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 135.51, 0.23231, 0.061709, 0.5265, 0.90427, 17.098, 1.6057, 24.195, 0.016468,0.50284
41, -12.0117, 0.0048707, 0.018214, 0.33804, 2.3028, 0.008546, 0.4464, 1.849, 0.25741, 0.0037775, 177.91, 0.34042, 0.061709, 0.45807, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
42, -12.0135, 0.0051712, 0.018214, 0.33804, 2.1111, 0.008546, 0.30338, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 0.90952, 29.906, 1.6057, 24.195, 0.016468,0.50284
43, -12.0143, 0.0047026, 0.017311, 0.33804, 2.1111, 0.008546, 0.4464, 2.6011, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
44, -12.0190, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.40264, 1.849, 0.46861, 0.0037775, 129.61, 0.23231, 0.061709, 0.5265, 1.4294, 15.051, 1.6057, 24.195, 0.016468,0.50284
45, -12.0203, 0.0047026, 0.018214, 0.33804, 2.3201, 0.008546, 0.38537, 1.849, 0.46861, 0.0037775, 124.55, 0.23231, 0.038098, 0.5265, 1.4294, 28.498, 1.6057, 24.195, 0.016468,0.50284
46, -12.0205, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.043188, 0.5265, 0.89461, 28.27, 1.6057, 24.195, 0.016468,0.50284
47, -12.0221, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.36289, 0.0051883, 177.78, 0.23231, 0.061709, 0.41558, 1.4294, 22.173, 1.6057, 24.195, 0.016468,0.50284
48, -12.0231, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0043565, 177.91, 0.12413, 0.061709, 0.5265, 0.78539, 29.906, 1.6876, 24.195, 0.016468,0.50284
49, -12.0233, 0.0047026, 0.018214, 0.33804, 2.1777, 0.012777, 0.37467, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.42744, 1.4294, 29.906, 1.8292, 23.54, 0.016468,0.50284
50, -12.0233, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.44564, 0.0037775, 177.91, 0.23231, 0.061709, 0.69516, 1.4294, 15.955, 1.6057, 24.195, 0.016468,0.50284
51, -12.0253, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 2.4438, 0.25062, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 0.77567, 29.906, 1.6057, 24.195, 0.016468,0.50284
52, -12.0255, 0.0047026, 0.016972, 0.48054, 2.1111, 0.008546, 0.4464, 2.7375, 0.46861, 0.0037775, 160.58, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
53, -12.0263, 0.0047026, 0.017074, 0.33804, 2.1111, 0.0097261, 0.38158, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 17.206, 1.6057, 24.195, 0.016468,0.50284
54, -12.0267, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.040882, 0.5265, 0.9696, 29.906, 1.6057, 24.195, 0.016468,0.50284
55, -12.0268, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 213.15, 0.17501, 0.061709, 0.5265, 1.4294, 18.001, 1.6057, 24.195, 0.016468,0.28209
56, -12.0269, 0.0047026, 0.018214, 0.38719, 2.1111, 0.008546, 0.31873, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.069711, 0.5265, 1.4294, 16.405, 1.6057, 24.195, 0.016468,0.50284
57, -12.0274, 0.0049949, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.039581, 0.5265, 1.4294, 39.773, 1.6057, 24.195, 0.016468,0.50284
58, -12.0316, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0019443, 168.21, 0.23231, 0.035995, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
59, -12.0323, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 2.5944, 0.46861, 0.0037775, 243.01, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 23.571, 0.016468,0.50284
60, -12.0327, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.37487, 1.849, 0.46861, 0.0028019, 177.91, 0.23231, 0.039041, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
61, -12.0332, 0.0047026, 0.018214, 0.33804, 2.1111, 0.0083123, 0.4464, 1.849, 0.32932, 0.0037775, 177.91, 0.23231, 0.034969, 0.5265, 2.0317, 29.906, 1.6057, 24.195, 0.016468,0.50284
62, -12.0335, 0.0050671, 0.018214, 0.33804, 2.1111, 0.010729, 0.4464, 2.2315, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016236,0.50284
63, -12.0342, 0.0047026, 0.018214, 0.33804, 2.2563, 0.008546, 0.31277, 2.1893, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.46049, 0.79248, 29.906, 1.6057, 24.195, 0.016468,0.50284
64, -12.0343, 0.0047026, 0.018214, 0.33804, 2.1111, 0.012733, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.1491, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 21.8, 0.016468,0.53319
65, -12.0343, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.33158, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.7172, 24.195, 0.016468,0.50284
66, -12.0351, 0.0047026, 0.018214, 0.33804, 2.1111, 0.0094532, 0.66445, 2.6789, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 20.333, 1.7828, 24.195, 0.016468,0.50284
67, -12.0358, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.23886, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.75, 24.195, 0.016468,0.50284
68, -12.0361, 0.0047026, 0.018214, 0.33804, 1.3092, 0.008546, 0.29926, 2.6353, 0.46861, 0.0037775, 177.91, 0.23231, 0.045141, 0.47862, 1.4192, 29.906, 1.6057, 24.195, 0.016468,0.50284
69, -12.0363, 0.0047026, 0.018214, 0.33804, 2.1111, 0.012582, 0.4464, 1.849, 0.2688, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
70, -12.0368, 0.0047026, 0.016679, 0.33804, 2.1111, 0.008546, 0.43309, 2.2065, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
71, -12.0374, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.5528, 0.46861, 0.0037775, 177.91, 0.19441, 0.043583, 0.26917, 1.4294, 20.72, 1.6057, 24.195, 0.016468,0.50284
72, -12.0387, 0.0047026, 0.017758, 0.33804, 2.1111, 0.008546, 0.4464, 2.5075, 0.46861, 0.0027457, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
73, -12.0388, 0.0047026, 0.016019, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.25301, 0.0037775, 177.91, 0.33808, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
74, -12.0399, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 2.1508, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 29.906, 1.6057, 22.351, 0.016468,0.50284
75, -12.0403, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 2.379, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 25.107, 1.6057, 24.195, 0.016468,0.50284
76, -12.0407, 0.0047026, 0.018214, 0.33804, 2.1111, 0.010363, 0.4464, 2.7542, 0.46861, 0.0037775, 148.06, 0.23231, 0.091975, 0.5265, 1.4294, 29.906, 1.6057, 24.195, 0.016468,0.50284
77, -12.0422, 0.0047026, 0.018214, 0.33804, 2.1111, 0.008546, 0.4464, 1.849, 0.46861, 0.0037775, 177.91, 0.23231, 0.061709, 0.5265, 1.4294, 15.403, 1.6057, 24.195, 0.016468,0.50284
