Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.4597, 0.28006, 7.117, 8.6974, 1.1577, 9.0093, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.001, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
1, -0.4636, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18684, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
2, -0.4651, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.56688, 4.8472, 0.0070945, 363.86, 0.13884
3, -0.4651, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
4, -0.4664, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.001, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
5, -0.4666, 0.28006, 7.117, 8.6974, 1.1577, 6.0493, 0.23962, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.001, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
6, -0.4668, 0.28006, 7.117, 8.6974, 1.1584, 7.8227, 0.18237, 0.002736, 0.063437, 0.96678, 22.85, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.14739
7, -0.4675, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.17579, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
8, -0.4684, 0.28006, 7.117, 8.6974, 1.1577, 8.7953, 0.1602, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
9, -0.4694, 0.28006, 7.117, 8.6974, 1.1577, 9.9123, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 0.98769, 0.001, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
10, -0.4702, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18362, 0.002736, 0.057912, 0.89875, 18.458, 1, 0.0010236, 0.25465, 4.8472, 0.0070945, 363.86, 0.13884
11, -0.4705, 0.28006, 7.117, 8.6974, 1.0936, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
12, -0.4732, 0.24242, 5.9896, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
13, -0.4733, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 20.249, 1, 0.0010236, 0.30946, 4.8472, 0.0070945, 363.86, 0.13884
14, -0.4747, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.1602, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
15, -0.4752, 0.3199, 7.117, 6.5634, 1.1577, 7.8227, 0.19174, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.001, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
16, -0.4756, 0.28006, 7.117, 7.4008, 0.91254, 7.8227, 0.18237, 0.002736, 0.04495, 0.82383, 18.458, 1, 0.0010236, 0.52381, 4.8472, 0.0070945, 363.86, 0.13884
17, -0.4770, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.1602, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010726, 0.52824, 4.6963, 0.0070945, 363.86, 0.13884
18, -0.4793, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.0017508, 0.065703, 1.1353, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
19, -0.4798, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.15099, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.5603, 4.8472, 0.0070945, 363.86, 0.13884
20, -0.4804, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.16653, 0.002736, 0.044042, 0.82383, 20.113, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
21, -0.4806, 0.28006, 7.117, 7.8932, 1.1577, 7.8658, 0.1602, 0.0030211, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 387.46, 0.13884
22, -0.4809, 0.28006, 6.8193, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
23, -0.4812, 0.28006, 7.117, 8.6974, 1.1577, 8.2993, 0.23556, 0.002736, 0.056743, 0.82383, 18.458, 1, 0.0010236, 0.43676, 4.8472, 0.0070945, 363.86, 0.13884
24, -0.4814, 0.28006, 7.117, 8.6974, 1.373, 7.8227, 0.20724, 0.002736, 0.06249, 0.85025, 18.458, 0.76295, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
25, -0.4819, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.1602, 0.002736, 0.042541, 0.82383, 20.499, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
26, -0.4821, 0.28006, 6.8062, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
27, -0.4829, 0.28006, 7.117, 8.6974, 1.1577, 5.9095, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 0.97647, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
28, -0.4836, 0.28006, 8.1804, 8.6974, 1.4856, 9.9817, 0.1602, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 439.52, 0.13884
29, -0.4842, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.051618, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
30, -0.4845, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 21.645, 1, 0.0010236, 0.33661, 4.8472, 0.0070945, 363.86, 0.13884
31, -0.4861, 0.28006, 7.117, 8.6974, 1.6667, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.001, 0.32284, 4.8472, 0.0070945, 438.08, 0.13884
32, -0.4863, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.59845, 18.458, 1, 0.001, 0.43766, 4.8472, 0.0070945, 363.86, 0.15491
33, -0.4865, 0.23965, 7.417, 8.2776, 1.1577, 9.6357, 0.1602, 0.002736, 0.058989, 0.94541, 18.458, 1, 0.001, 0.61636, 4.8472, 0.0089143, 363.86, 0.13884
34, -0.4873, 0.28006, 7.117, 7.5964, 1.1577, 7.8227, 0.23768, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.48178, 4.8472, 0.0070945, 363.86, 0.13884
35, -0.4910, 0.28006, 7.117, 8.6974, 1.3671, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
36, -0.4922, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0074566, 363.86, 0.13884
37, -0.4923, 0.28006, 7.117, 8.6974, 1.1577, 5.6036, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.001, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
38, -0.4937, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 22.551, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
39, -0.4944, 0.32556, 7.6344, 7.236, 1.1577, 5.9397, 0.18493, 0.002736, 0.044042, 0.82383, 19.68, 0.95553, 0.0010236, 0.67004, 4.8472, 0.0070945, 363.86, 0.13884
40, -0.4946, 0.28006, 7.117, 6.2496, 0.76487, 5.9397, 0.18094, 0.002736, 0.044042, 0.82383, 19.68, 0.95553, 0.0010236, 0.67004, 4.8472, 0.0070945, 363.86, 0.13884
41, -0.4952, 0.28006, 7.117, 7.4474, 1.1577, 10, 0.18237, 0.0023337, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
42, -0.4960, 0.28006, 7.117, 8.8669, 1.2735, 5.9397, 0.18094, 0.002736, 0.044042, 0.82383, 19.68, 0.95553, 0.0010236, 0.67004, 4.8472, 0.0070945, 363.86, 0.13884
43, -0.4969, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.68193, 14.86, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
44, -0.4972, 0.28006, 7.117, 10, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.63198, 4.8472, 0.0070945, 363.86, 0.13884
45, -0.4993, 0.28006, 7.117, 10, 1.1577, 7.8227, 0.1602, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
46, -0.4995, 0.33598, 7.117, 6.5848, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
47, -0.5009, 0.28006, 7.117, 6.2496, 1.0487, 8.6036, 0.18094, 0.002736, 0.048819, 0.82383, 19.68, 0.95553, 0.0010236, 0.45176, 4.8472, 0.0080432, 363.86, 0.13884
48, -0.5011, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0067812, 363.86, 0.13884
49, -0.5019, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.17776, 0.002736, 0.055, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
50, -0.5024, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.1602, 0.0023436, 0.044042, 0.82383, 18.458, 1, 0.001, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
51, -0.5025, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.001, 0.43766, 4.8472, 0.00753, 363.86, 0.13884
52, -0.5049, 0.28006, 7.117, 8.6974, 1.1577, 7.8227, 0.18237, 0.002736, 0.044042, 0.54462, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.15924
53, -0.5050, 0.19954, 7.117, 6.2496, 0.84346, 5.9397, 0.18094, 0.002736, 0.044042, 0.82383, 19.68, 1, 0.0010236, 0.67004, 4.8472, 0.0070945, 494.35, 0.13884
54, -0.5050, 0.28006, 10.26, 8.6974, 1.1577, 7.8227, 0.15997, 0.002736, 0.052689, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 514.6, 0.13884
55, -0.5100, 0.31602, 7.117, 6.2496, 1.1577, 5.9397, 0.18094, 0.002736, 0.044042, 0.82383, 19.68, 0.95553, 0.0010236, 0.67004, 4.8472, 0.0070945, 363.86, 0.13884
56, -0.5106, 0.32757, 7.117, 6.2496, 1.1847, 5.9397, 0.18094, 0.002736, 0.044042, 0.82383, 19.68, 0.95553, 0.001, 0.67004, 4.8472, 0.0070945, 363.86, 0.13884
57, -0.5115, 0.28006, 7.117, 10, 1.1577, 10, 0.18237, 0.002736, 0.044369, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 363.86, 0.13884
58, -0.5123, 0.28006, 6.1868, 8.6974, 1.0628, 5.1447, 0.1602, 0.002736, 0.044042, 0.82383, 18.458, 1, 0.0010236, 0.43766, 4.8472, 0.0070945, 315.16, 0.13884
