Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
0, -0.4515, 0.021967, 0.024222, 0.093837, 71.874, 0.43735, 9.2924, 4.5635, 0.014632, 0.19043, 203.88, 3.7477, 3.3561, 0.23704, 0.68091, 4.856, 0.0038381, 254.61, 0.031772,30.425
1, -0.4525, 0.021967, 0.024222, 0.093837, 70.131, 0.43735, 13.577, 3.5639, 0.014632, 0.11922, 223.47, 3.7477, 2.6309, 0.27567, 0.68091, 4.856, 0.004818, 254.61, 0.031772,30.425
2, -0.4549, 0.021967, 0.025513, 0.093837, 66.131, 0.34111, 9.2924, 3.5639, 0.014632, 0.19043, 203.88, 3.7477, 3.8778, 0.23704, 0.68091, 4.7271, 0.0050597, 254.61, 0.031772,30.425
3, -0.4590, 0.021967, 0.024222, 0.093837, 70.131, 0.27939, 9.2924, 3.5639, 0.014632, 0.19043, 203.88, 3.7477, 2.6309, 0.23704, 0.68091, 4.856, 0.0050407, 254.61, 0.031772,30.425
4, -0.4601, 0.021967, 0.024222, 0.093837, 100, 0.33038, 13.27, 3.5639, 0.014632, 0.18451, 203.88, 3.7477, 3.1141, 0.22187, 0.68091, 4.856, 0.0050597, 254.61, 0.031772,37.705
5, -0.4605, 0.021967, 0.024222, 0.093837, 42.913, 0.33471, 12.073, 3.5639, 0.014632, 0.19043, 203.88, 3.7477, 1.4434, 0.23704, 0.68091, 4.856, 0.0050597, 254.61, 0.031772,30.425
6, -0.4607, 0.021967, 0.024222, 0.093837, 70.131, 0.22666, 7.6136, 3.5639, 0.014632, 0.16668, 203.88, 3.7477, 2.6137, 0.23704, 0.37913, 4.856, 0.0050597, 254.61, 0.031772,23.361
7, -0.4608, 0.021967, 0.024222, 0.059795, 70.131, 0.27666, 9.2924, 3.5639, 0.014632, 0.15361, 203.88, 3.7477, 2.6309, 0.1566, 0.68091, 4.856, 0.0050597, 254.61, 0.031772,30.425
8, -0.4609, 0.021967, 0.024222, 0.050957, 70.131, 0.43735, 9.2924, 3.5639, 0.014632, 0.25357, 203.88, 3.7477, 2.6309, 0.23704, 0.68091, 4.856, 0.0035918, 254.19, 0.034451,30.425
9, -0.4623, 0.021967, 0.024222, 0.073618, 52.741, 0.43735, 12.077, 3.5639, 0.014632, 0.22483, 293.8, 3.7477, 2.9238, 0.23704, 0.68091, 4.7026, 0.0050597, 254.61, 0.031772,30.425
10, -0.4626, 0.021967, 0.024222, 0.093837, 98.861, 0.28936, 9.2924, 3.5639, 0.014632, 0.24767, 203.88, 3.7477, 2.7073, 0.23704, 0.54904, 4.856, 0.0050597, 254.61, 0.031772,30.425
11, -0.4634, 0.021967, 0.024222, 0.082221, 83.39, 0.43735, 12.946, 4.256, 0.014632, 0.19043, 203.88, 3.7477, 1.7351, 0.23704, 0.68091, 4.856, 0.0045518, 254.61, 0.031772,30.425
12, -0.4646, 0.021967, 0.024222, 0.082929, 70.131, 0.30033, 9.2924, 3.5639, 0.014632, 0.19043, 157.82, 3.7477, 2.6309, 0.23704, 1.0082, 4.856, 0.0050597, 254.61, 0.031772,30.425
13, -0.4656, 0.021967, 0.024222, 0.093837, 70.131, 0.24604, 10.732, 3.5639, 0.013603, 0.19043, 203.88, 3.7477, 2.6027, 0.23704, 0.68091, 4.856, 0.0050597, 254.61, 0.031772,30.425
14, -0.4659, 0.021967, 0.024222, 0.080995, 70.131, 0.30241, 9.2924, 3.5639, 0.014632, 0.19043, 203.88, 3.7477, 2.6309, 0.14592, 0.68091, 4.856, 0.0043551, 315.93, 0.031772,30.425
15, -0.4670, 0.021967, 0.021263, 0.093837, 70.131, 0.43735, 9.2924, 3.5639, 0.014632, 0.19043, 112.74, 3.7477, 2.6309, 0.23704, 0.68091, 4.856, 0.0040412, 254.61, 0.031772,30.425
