Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eMLoop, eDF, kfdd, stimUpSR, S0, R0, X0, C0, kfcm, krcm, eCA, kclus, eDLoop
0, -2.4904, 0.020414, 8.7301, 0.022438, 448.67, 3.408, 1.0581, 0.24538, 0.033322, 5.3271, 0.065402, 10, 0.0026731, 0.016062, 1.0182, 4.4482, 514.41, 0.060577,10, 1e-26,145.7,1.6426, 1e-26, 0.15907
1, -2.6243, 0.027998, 9.6043, 0.022438, 392.73, 3.408, 1.285, 0.24538, 0.034122, 3.8905, 0.065402, 10, 0.0030102, 0.016062, 1, 4.4103, 518.06, 0.056545,10, 1e-26,119.99,1.6426, 1e-26, 0.15907
2, -2.7174, 0.027998, 8.7301, 0.022438, 626.35, 4.2964, 1.0581, 0.34792, 0.024904, 4.7331, 0.065402, 10, 0.0022287, 0.016062, 1, 4.4482, 386.49, 0.05,10, 1e-26,119.99,1.6426, 1e-26, 0.15907
3, -2.7177, 0.027998, 12.997, 0.022438, 448.67, 4.1863, 1.0581, 0.24538, 0.024904, 4.2607, 0.065402, 10, 0.002695, 0.010998, 1.0182, 4.4482, 676.13, 0.055277,10, 1e-26,119.99,1.6426, 1e-26, 0.15907
4, -2.7315, 0.027998, 8.7301, 0.022438, 507.13, 3.408, 1.2483, 0.24538, 0.024904, 3.8905, 0.065402, 10, 0.002695, 0.016062, 1.0182, 4.4482, 518.06, 0.054706,10, 1e-26,169.04,1.6426, 1e-26, 0.15907
5, -2.7420, 0.027998, 8.7301, 0.030529, 566.25, 3.408, 1.0581, 0.33961, 0.024904, 5.2574, 0.065402, 10, 0.002695, 0.016062, 1.0182, 4.4482, 417.32, 0.05,10, 1e-26,104.93,1.6426, 1e-26, 0.15907
6, -2.7464, 0.027998, 8.7301, 0.022438, 448.67, 3.408, 1.0581, 0.24538, 0.024904, 3.8905, 0.065402, 10, 0.002695, 0.016062, 1.0182, 4.4482, 518.06, 0.056058,10, 1e-26,119.99,1.6426, 1e-26, 0.15907
7, -2.7485, 0.027998, 8.7301, 0.022438, 448.67, 3.3284, 1.0581, 0.24538, 0.024904, 3.8905, 0.066527, 10, 0.0034488, 0.016062, 1.0182, 4.4482, 518.06, 0.056562,10, 1e-26,119.99,1.3905, 1e-26, 0.15907
8, -2.7497, 0.018961, 8.7301, 0.022438, 617.43, 3.408, 1.0581, 0.24538, 0.024904, 5.2735, 0.065402, 10, 0.002695, 0.016062, 1.0182, 6.1243, 518.06, 0.05,10, 1e-26,119.99,1.6426, 1e-26, 0.17138
9, -2.7579, 0.027998, 8.7301, 0.022438, 448.67, 3.408, 1.0622, 0.24538, 0.024904, 3.9081, 0.065402, 10, 0.002695, 0.016062, 1, 3.6523, 518.06, 0.062288,10, 1e-26,119.99,2.1151, 1e-26, 0.15907
10, -2.7607, 0.027998, 8.7301, 0.022438, 448.67, 3.408, 1.0581, 0.24538, 0.031026, 3.8905, 0.065402, 10, 0.002695, 0.016062, 1.0182, 4.4482, 518.06, 0.052061,10, 1e-26,119.99,1.6426, 1e-26, 0.15907
