Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
29, -7.7569, 0.010514, 0.030441, 0.1, 2.6455, 1.7633, 0.089244, 7.3209, 0.010394, 1.9165, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.503, 0.41648, 0.1
30, -7.9693, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010611, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.38893, 0.1
31, -8.0336, 0.0096273, 0.042389, 0.1, 1.132, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 55.865, 1.4556, 0.44921, 0.1
32, -8.0635, 0.010514, 0.034462, 0.1, 1.2568, 1.7633, 0.089244, 7.3209, 0.015101, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.43993, 0.1
33, -8.0732, 0.015615, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.01, 2.1393, 0.24139, 0.1956, 0.14047, 0.16338, 74.685, 1.2709, 0.43542, 0.1
34, -8.3030, 0.010514, 0.037802, 0.13318, 2.668, 1.7633, 0.089244, 7.3209, 0.010036, 2.3261, 0.24139, 0.19864, 0.30628, 0.16338, 59.705, 1.0473, 0.40156, 0.1
35, -8.3738, 0.013665, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 6.9589, 0.010394, 3.0913, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.2149, 0.34034, 0.1
36, -8.3984, 0.010514, 0.030441, 0.1, 2.5679, 1.7633, 0.089244, 10, 0.010394, 2.2296, 0.31132, 0.19864, 0.23281, 0.16338, 89.901, 1.0473, 0.3592, 0.1
37, -8.4127, 0.010514, 0.030441, 0.1, 1.8936, 1.0826, 0.092189, 7.3209, 0.010394, 2.1393, 0.24139, 0.23562, 0.25192, 0.16338, 67.017, 1.0473, 0.36995, 0.1
38, -8.5224, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 10, 0.010394, 2.8797, 0.24139, 0.15533, 0.23281, 0.16922, 74.685, 0.68003, 0.38448, 0.1
39, -8.5462, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.044976, 7.3209, 0.010394, 2.7087, 0.14494, 0.19864, 0.25269, 0.16338, 74.685, 1.0473, 0.36233, 0.1
