0	0	0
0.5	596.488	145.413925275401
1	993.784	171.051865215723
1.5	839.9	186.251090377121
2	1251.928	185.539217518382
2.5	1643.332	187.56716282619
3	1591.652	168.07285912696
3.5	2157.796	144.57052011773
4	1982.616	163.541680689256
4.5	1721.068	198.890351572027
5	2189.316	186.789869575414
5.5	1847.688	242.381647255361
6	1816.668	255.530306829629
6.5	2155.444	182.255801231858
7	1882.168	183.85176365032
7.5	1993.332	271.580598950334
8	1596.444	238.72706516578
8.5	1571.272	269.298980700303
9	1639.656	303.504054123389
9.5	1837.568	355.928752461001
